time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_PGenPu;BUSGEN_bus_p_v_0_;BUSHV_bus_p_v_0_;
0.001740;0.999999;0.942525;0.621909;0.938590;1.003394;
0.001760;0.999999;0.941179;0.620486;0.934184;0.997128;
0.001780;0.999999;0.939652;0.618960;0.929771;0.990816;
0.001800;0.999999;0.937966;0.617348;0.925337;0.984470;
0.001820;0.999999;0.936142;0.615670;0.920870;0.978103;
0.001840;0.999999;0.934205;0.613944;0.916356;0.971725;
0.001860;0.999999;0.932179;0.612191;0.911782;0.965350;
0.001880;0.999999;0.930089;0.610429;0.907136;0.958988;
0.001900;0.999999;0.927963;0.608678;0.902405;0.952651;
0.001920;0.999999;0.925825;0.606960;0.897578;0.946350;
0.001940;0.999999;0.923704;0.605293;0.892644;0.940094;
0.001960;0.999999;0.921625;0.603696;0.887594;0.933892;
0.001980;0.999999;0.919615;0.602189;0.882417;0.927752;
0.002000;0.999999;0.917699;0.600789;0.877106;0.921682;
0.002020;0.999999;0.915901;0.599513;0.871654;0.915686;
0.002040;0.999999;0.914245;0.598376;0.866056;0.909770;
0.002060;0.999999;0.912753;0.597394;0.860308;0.903939;
0.002080;0.999999;0.911446;0.596578;0.854406;0.898192;
0.002100;0.999999;0.910343;0.595940;0.848348;0.892533;
0.002120;0.999999;0.909461;0.595488;0.842135;0.886961;
0.002140;0.999999;0.908816;0.595231;0.835767;0.881475;
0.002160;0.999999;0.908419;0.595172;0.829247;0.876071;
0.002180;0.999999;0.908283;0.595314;0.822578;0.870746;
0.002200;0.999999;0.908414;0.595657;0.815766;0.865494;
0.002220;0.999999;0.908817;0.596198;0.808817;0.860310;
0.002240;0.999999;0.909496;0.596932;0.801739;0.855186;
0.002260;0.999999;0.910448;0.597851;0.794539;0.850113;
0.002280;0.999999;0.911671;0.598945;0.787228;0.845083;
0.002300;0.999999;0.913156;0.600201;0.779815;0.840085;
0.002320;0.999999;0.914893;0.601604;0.772312;0.835108;
0.002340;0.999999;0.916868;0.603136;0.764730;0.830142;
0.002360;0.999999;0.919064;0.604779;0.757081;0.825173;
0.002380;0.999999;0.921461;0.606510;0.749378;0.820191;
0.002400;0.999999;0.924036;0.608307;0.741633;0.815183;
0.002420;0.999999;0.926761;0.610147;0.733860;0.810135;
0.002440;0.999999;0.929610;0.612002;0.726070;0.805036;
0.002460;0.999999;0.932551;0.613849;0.718278;0.799874;
0.002480;0.999999;0.935551;0.615661;0.710493;0.794636;
0.002500;0.999999;0.938575;0.617411;0.702730;0.789311;
0.002520;0.999999;0.941589;0.619073;0.694997;0.783888;
0.002540;0.999999;0.944554;0.620623;0.687307;0.778357;
0.002560;0.999999;0.947436;0.622037;0.679668;0.772708;
0.002580;0.999999;0.950198;0.623291;0.672090;0.766932;
0.002600;0.999999;0.952803;0.624365;0.664580;0.761022;
0.002620;0.999999;0.955217;0.625240;0.657144;0.754972;
0.002640;0.999999;0.957407;0.625897;0.649788;0.748775;
0.002660;0.999999;0.959341;0.626323;0.642516;0.742427;
0.002680;0.999999;0.960991;0.626506;0.635331;0.735926;
0.002700;0.999999;0.962330;0.626436;0.628235;0.729270;
0.002720;0.999999;0.963335;0.626106;0.621228;0.722457;
0.002740;0.999999;0.963987;0.625514;0.614310;0.715489;
0.002760;0.999999;0.964270;0.624656;0.607477;0.708368;
0.002780;0.999999;0.964172;0.623537;0.600727;0.701097;
0.002800;0.999999;0.963683;0.622160;0.594055;0.693680;
0.002820;0.999999;0.962800;0.620533;0.587455;0.686122;
0.002840;0.999999;0.961523;0.618667;0.580921;0.678432;
0.002860;0.999999;0.959856;0.616573;0.574445;0.670616;
0.002880;0.999999;0.957807;0.614268;0.568017;0.662684;
0.002900;0.999999;0.955389;0.611768;0.561628;0.654644;
0.002920;0.999999;0.952617;0.609092;0.555269;0.646508;
0.002940;0.999999;0.949512;0.606263;0.548927;0.638286;
0.002960;0.999999;0.946097;0.603301;0.542593;0.629989;
0.002980;0.999999;0.942398;0.600233;0.536254;0.621631;
0.003000;0.999999;0.938445;0.597081;0.529899;0.613223;
0.003020;0.999999;0.934271;0.593874;0.523516;0.604777;
0.003040;0.999999;0.929909;0.590637;0.517092;0.596307;
0.003060;0.999999;0.925398;0.587399;0.510617;0.587824;
0.003080;0.999999;0.920775;0.584186;0.504079;0.579341;
0.003100;0.999999;0.916080;0.581026;0.497468;0.570870;
0.003120;0.999999;0.911353;0.577947;0.490772;0.562423;
0.003140;0.999999;0.906635;0.574976;0.483983;0.554010;
0.003160;0.999999;0.901969;0.572139;0.477091;0.545641;
0.003180;0.999999;0.897394;0.569462;0.470089;0.537327;
0.003200;1.000000;0.892950;0.566969;0.462970;0.529076;
0.003220;1.000000;0.888679;0.564684;0.455727;0.520895;
0.003240;1.000000;0.884616;0.562628;0.448356;0.512791;
0.003260;1.000000;0.880799;0.560820;0.440853;0.504769;
0.003280;1.000000;0.877261;0.559280;0.433216;0.496836;
0.003300;1.000000;0.874035;0.558023;0.425443;0.488992;
0.003320;1.000000;0.871150;0.557062;0.417534;0.481242;
0.003340;1.000000;0.868631;0.556409;0.409491;0.473585;
0.003360;1.000000;0.866501;0.556072;0.401315;0.466021;
0.003380;1.000000;0.864779;0.556057;0.393011;0.458550;
0.003400;1.000000;0.863482;0.556366;0.384582;0.451167;
0.003420;1.000000;0.862620;0.556999;0.376035;0.443870;
0.003440;1.000000;0.862202;0.557954;0.367377;0.436654;
0.003460;1.000000;0.862229;0.559223;0.358615;0.429513;
0.003480;1.000000;0.862701;0.560796;0.349758;0.422439;
0.003500;1.000000;0.863612;0.562661;0.340815;0.415426;
0.003520;1.000000;0.864953;0.564802;0.331797;0.408465;
0.003540;1.000000;0.866708;0.567201;0.322715;0.401546;
0.003560;1.000000;0.868859;0.569835;0.313579;0.394660;
0.003580;1.000000;0.871384;0.572681;0.304401;0.387797;
0.003600;1.000000;0.874256;0.575712;0.295194;0.380946;
0.003620;1.000000;0.877445;0.578899;0.285969;0.374096;
0.003640;1.000000;0.880916;0.582212;0.276737;0.367236;
0.003660;1.000000;0.884634;0.585620;0.267512;0.360356;
0.003680;1.000000;0.888560;0.589089;0.258305;0.353444;
0.003700;1.000000;0.892651;0.592586;0.249127;0.346490;
0.003720;1.000000;0.896866;0.596075;0.239989;0.339484;
0.003740;1.000000;0.901160;0.599525;0.230901;0.332416;
0.003760;1.000000;0.905487;0.602900;0.221873;0.325276;
0.003780;1.000000;0.909804;0.606169;0.212914;0.318056;
0.003800;1.000000;0.914064;0.609299;0.204032;0.310748;
0.003820;0.999999;0.918224;0.612262;0.195234;0.303345;
0.003840;0.999999;0.922241;0.615030;0.186527;0.295841;
0.003860;0.999999;0.926075;0.617578;0.177916;0.288230;
0.003880;0.999999;0.929685;0.619882;0.169405;0.280510;
0.003900;0.999999;0.933036;0.621923;0.160997;0.272676;
0.003920;0.999999;0.936096;0.623685;0.152695;0.264726;
0.003940;0.999999;0.938833;0.625155;0.144499;0.256661;
0.003960;0.999999;0.941223;0.626322;0.136408;0.248479;
0.003980;0.999999;0.943242;0.627181;0.128423;0.240184;
0.004000;0.999999;0.944873;0.627728;0.120540;0.231776;
0.004020;0.999999;0.946103;0.627966;0.112755;0.223261;
0.004040;0.999999;0.946923;0.627897;0.105066;0.214642;
0.004060;0.999999;0.947328;0.627530;0.097466;0.205925;
0.004080;0.999999;0.947319;0.626876;0.089950;0.197118;
0.004100;0.999999;0.946901;0.625949;0.082510;0.188227;
0.004120;0.999999;0.946082;0.624766;0.075138;0.179261;
0.004140;0.999999;0.944878;0.623347;0.067828;0.170230;
0.004160;0.999999;0.943307;0.621715;0.060569;0.161142;
0.004180;0.999999;0.941390;0.619892;0.053352;0.152009;
0.004200;0.999999;0.939155;0.617905;0.046169;0.142840;
0.004220;0.999999;0.936630;0.615783;0.039009;0.133648;
0.004240;0.999999;0.933850;0.613553;0.031863;0.124443;
0.004260;0.999999;0.930850;0.611246;0.024720;0.115236;
0.004280;0.999999;0.927668;0.608891;0.017570;0.106040;
0.004300;0.999999;0.924346;0.606520;0.010405;0.096864;
0.004320;0.999999;0.920924;0.604163;0.003215;0.087722;
0.004340;0.999999;0.917448;0.601849;-0.004010;0.078622;
0.004360;0.999999;0.913960;0.599610;-0.011278;0.069575;
0.004380;0.999999;0.910506;0.597474;-0.018597;0.060592;
0.004400;0.999999;0.907129;0.595467;-0.025974;0.051680;
0.004420;0.999999;0.903874;0.593617;-0.033416;0.042850;
0.004440;0.999999;0.900782;0.591947;-0.040930;0.034107;
0.004460;0.999999;0.897895;0.590480;-0.048519;0.025459;
0.004480;0.999999;0.895250;0.589237;-0.056188;0.016912;
0.004500;0.999999;0.892884;0.588235;-0.063942;0.008470;
0.004520;0.999999;0.890831;0.587490;-0.071782;0.000138;
0.004540;0.999999;0.889120;0.587014;-0.079710;-0.008083;
0.004560;0.999999;0.887777;0.586816;-0.087726;-0.016190;
0.004580;0.999999;0.886825;0.586905;-0.095831;-0.024184;
0.004600;0.999999;0.886282;0.587283;-0.104022;-0.032063;
0.004620;0.999999;0.886161;0.587950;-0.112299;-0.039831;
0.004640;0.999999;0.886472;0.588904;-0.120657;-0.047490;
0.004660;0.999999;0.887219;0.590139;-0.129094;-0.055043;
0.004680;0.999999;0.888402;0.591644;-0.137604;-0.062496;
0.004700;0.999999;0.890015;0.593408;-0.146181;-0.069855;
0.004720;0.999999;0.892048;0.595413;-0.154821;-0.077125;
0.004740;0.999999;0.894487;0.597642;-0.163517;-0.084314;
0.004760;0.999999;0.897312;0.600072;-0.172260;-0.091430;
0.004780;0.999999;0.900501;0.602678;-0.181044;-0.098483;
0.004800;0.999999;0.904024;0.605434;-0.189860;-0.105481;
0.004820;0.999999;0.907852;0.608309;-0.198699;-0.112435;
0.004840;0.999999;0.911949;0.611274;-0.207554;-0.119355;
0.004860;0.999999;0.916277;0.614295;-0.216416;-0.126251;
0.004880;0.999999;0.920796;0.617339;-0.225275;-0.133134;
0.004900;0.999999;0.925462;0.620370;-0.234123;-0.140015;
0.004920;0.999998;0.930231;0.623355;-0.242951;-0.146904;
0.004940;0.999998;0.935056;0.626257;-0.251750;-0.153813;
0.004960;0.999998;0.939891;0.629044;-0.260513;-0.160752;
0.004980;0.999998;0.944688;0.631681;-0.269231;-0.167730;
0.005000;0.999998;0.949399;0.634136;-0.277897;-0.174758;
0.005020;0.999998;0.953978;0.636379;-0.286505;-0.181845;
0.005040;0.999998;0.958379;0.638383;-0.295046;-0.188998;
0.005060;0.999998;0.962558;0.640122;-0.303516;-0.196227;
0.005080;0.999998;0.966473;0.641572;-0.311910;-0.203537;
0.005100;0.999998;0.970083;0.642716;-0.320223;-0.210935;
0.005120;0.999998;0.973353;0.643537;-0.328450;-0.218427;
0.005140;0.999998;0.976247;0.644022;-0.336590;-0.226016;
0.005160;0.999998;0.978737;0.644164;-0.344640;-0.233706;
0.005180;0.999998;0.980795;0.643956;-0.352598;-0.241500;
0.005200;0.999998;0.982401;0.643399;-0.360464;-0.249398;
0.005220;0.999998;0.983535;0.642495;-0.368237;-0.257402;
0.005240;0.999998;0.984186;0.641251;-0.375919;-0.265509;
0.005260;0.999998;0.984345;0.639677;-0.383512;-0.273719;
0.005280;0.999998;0.984008;0.637786;-0.391017;-0.282029;
0.005300;0.999998;0.983177;0.635597;-0.398437;-0.290434;
0.005320;0.999998;0.981859;0.633128;-0.405778;-0.298930;
0.005340;0.999998;0.980064;0.630403;-0.413042;-0.307512;
0.005360;0.999998;0.977808;0.627446;-0.420235;-0.316172;
0.005380;0.999998;0.975112;0.624285;-0.427362;-0.324903;
0.005400;0.999998;0.972001;0.620949;-0.434429;-0.333697;
0.005420;0.999998;0.968503;0.617467;-0.441443;-0.342546;
0.005440;0.999998;0.964652;0.613871;-0.448410;-0.351439;
0.005460;0.999998;0.960483;0.610193;-0.455338;-0.360368;
0.005480;0.999998;0.956037;0.606465;-0.462233;-0.369322;
0.005500;0.999998;0.951354;0.602719;-0.469102;-0.378289;
0.005520;0.999998;0.946479;0.598988;-0.475953;-0.387261;
0.005540;0.999998;0.941459;0.595302;-0.482794;-0.396225;
0.005560;0.999999;0.936339;0.591692;-0.489631;-0.405172;
0.005580;0.999999;0.931170;0.588188;-0.496471;-0.414089;
0.005600;0.999999;0.925998;0.584817;-0.503322;-0.422966;
0.005620;0.999999;0.920871;0.581607;-0.510190;-0.431794;
0.005640;0.999999;0.915838;0.578581;-0.517081;-0.440562;
0.005660;0.999999;0.910943;0.575763;-0.524000;-0.449260;
0.005680;0.999999;0.906231;0.573173;-0.530954;-0.457881;
0.005700;0.999999;0.901744;0.570830;-0.537947;-0.466414;
0.005720;0.999999;0.897521;0.568751;-0.544984;-0.474853;
0.005740;0.999999;0.893598;0.566950;-0.552067;-0.483190;
0.005760;0.999999;0.890007;0.565437;-0.559200;-0.491420;
0.005780;0.999999;0.886778;0.564221;-0.566385;-0.499537;
