time;EmtTfoYY_circuit_vPrimA;EmtTfoYY_circuit_vSecA;EmtTfoYY_circuit_iPrimA;EmtTfoYY_circuit_iSecA;
0.001000;1.345682;0.677023;0.338512;-0.677023;
0.001010;1.344309;0.676391;0.338196;-0.676391;
0.001020;1.342923;0.675753;0.337876;-0.675753;
0.001030;1.341523;0.675107;0.337554;-0.675107;
0.001040;1.340111;0.674455;0.337228;-0.674455;
0.001050;1.338685;0.673797;0.336898;-0.673797;
0.001060;1.337246;0.673131;0.336566;-0.673131;
0.001070;1.335793;0.672459;0.336230;-0.672459;
0.001080;1.334328;0.671780;0.335890;-0.671780;
0.001090;1.332849;0.671095;0.335548;-0.671095;
0.001100;1.331357;0.670403;0.335202;-0.670403;
0.001110;1.329852;0.669704;0.334852;-0.669704;
0.001120;1.328334;0.668999;0.334500;-0.668999;
0.001130;1.326803;0.668287;0.334144;-0.668287;
0.001140;1.325259;0.667569;0.333784;-0.667569;
0.001150;1.323701;0.666844;0.333422;-0.666844;
0.001160;1.322131;0.666112;0.333056;-0.666112;
0.001170;1.320547;0.665374;0.332687;-0.665374;
0.001180;1.318951;0.664629;0.332315;-0.664629;
0.001190;1.317341;0.663878;0.331939;-0.663878;
0.001200;1.315719;0.663120;0.331560;-0.663120;
0.001210;1.314083;0.662355;0.331178;-0.662355;
0.001220;1.312435;0.661584;0.330792;-0.661584;
0.001230;1.310773;0.660807;0.330403;-0.660807;
0.001240;1.309099;0.660023;0.330011;-0.660023;
0.001250;1.307411;0.659232;0.329616;-0.659232;
0.001260;1.305711;0.658435;0.329218;-0.658435;
0.001270;1.303998;0.657632;0.328816;-0.657632;
0.001280;1.302272;0.656822;0.328411;-0.656822;
0.001290;1.300533;0.656005;0.328003;-0.656005;
0.001300;1.298782;0.655182;0.327591;-0.655182;
0.001310;1.297017;0.654352;0.327176;-0.654352;
0.001320;1.295240;0.653517;0.326758;-0.653517;
0.001330;1.293450;0.652674;0.326337;-0.652674;
0.001340;1.291647;0.651825;0.325913;-0.651825;
0.001350;1.289831;0.650970;0.325485;-0.650970;
0.001360;1.288003;0.650108;0.325054;-0.650108;
0.001370;1.286162;0.649240;0.324620;-0.649240;
0.001380;1.284308;0.648366;0.324183;-0.648366;
0.001390;1.282442;0.647485;0.323742;-0.647485;
0.001400;1.280563;0.646597;0.323299;-0.646597;
0.001410;1.278671;0.645704;0.322852;-0.645704;
0.001420;1.276767;0.644804;0.322402;-0.644804;
0.001430;1.274850;0.643897;0.321949;-0.643897;
0.001440;1.272921;0.642984;0.321492;-0.642984;
0.001450;1.270979;0.642065;0.321033;-0.642065;
0.001460;1.269024;0.641140;0.320570;-0.641140;
0.001470;1.267057;0.640208;0.320104;-0.640208;
0.001480;1.265077;0.639270;0.319635;-0.639270;
0.001490;1.263085;0.638325;0.319163;-0.638325;
0.001500;1.261080;0.637375;0.318687;-0.637375;
0.001510;1.259063;0.636418;0.318209;-0.636418;
0.001520;1.257034;0.635454;0.317727;-0.635454;
0.001530;1.254992;0.634485;0.317242;-0.634485;
0.001540;1.252938;0.633509;0.316754;-0.633509;
0.001550;1.250871;0.632527;0.316263;-0.632527;
0.001560;1.248792;0.631538;0.315769;-0.631538;
0.001570;1.246701;0.630544;0.315272;-0.630544;
0.001580;1.244597;0.629543;0.314772;-0.629543;
0.001590;1.242482;0.628536;0.314268;-0.628536;
0.001600;1.240353;0.627523;0.313761;-0.627523;
0.001610;1.238213;0.626503;0.313252;-0.626503;
0.001620;1.236060;0.625478;0.312739;-0.625478;
0.001630;1.233896;0.624446;0.312223;-0.624446;
0.001640;1.231719;0.623408;0.311704;-0.623408;
0.001650;1.229530;0.622364;0.311182;-0.622364;
0.001660;1.227328;0.621314;0.310657;-0.621314;
0.001670;1.225115;0.620257;0.310129;-0.620257;
0.001680;1.222889;0.619195;0.309598;-0.619195;
0.001690;1.220652;0.618126;0.309063;-0.618126;
0.001700;1.218402;0.617052;0.308526;-0.617052;
0.001710;1.216141;0.615971;0.307985;-0.615971;
0.001720;1.213867;0.614884;0.307442;-0.614884;
0.001730;1.211582;0.613791;0.306896;-0.613791;
0.001740;1.209284;0.612692;0.306346;-0.612692;
0.001750;1.206974;0.611587;0.305794;-0.611587;
0.001760;1.204653;0.610476;0.305238;-0.610476;
0.001770;1.202320;0.609359;0.304680;-0.609359;
0.001780;1.199975;0.608236;0.304118;-0.608236;
0.001790;1.197618;0.607107;0.303553;-0.607107;
0.001800;1.195249;0.605972;0.302986;-0.605972;
0.001810;1.192868;0.604831;0.302415;-0.604831;
0.001820;1.190476;0.603684;0.301842;-0.603684;
0.001830;1.188072;0.602531;0.301265;-0.602531;
0.001840;1.185656;0.601372;0.300686;-0.601372;
0.001850;1.183228;0.600207;0.300103;-0.600207;
0.001860;1.180789;0.599036;0.299518;-0.599036;
0.001870;1.178338;0.597859;0.298930;-0.597859;
0.001880;1.175876;0.596677;0.298338;-0.596677;
0.001890;1.173401;0.595488;0.297744;-0.595488;
0.001900;1.170916;0.594294;0.297147;-0.594294;
0.001910;1.168418;0.593093;0.296547;-0.593093;
0.001920;1.165910;0.591887;0.295944;-0.591887;
0.001930;1.163389;0.590675;0.295338;-0.590675;
0.001940;1.160858;0.589458;0.294729;-0.589458;
0.001950;1.158314;0.588234;0.294117;-0.588234;
0.001960;1.155760;0.587005;0.293502;-0.587005;
0.001970;1.153194;0.585769;0.292885;-0.585769;
0.001980;1.150616;0.584528;0.292264;-0.584528;
0.001990;1.148027;0.583282;0.291641;-0.583282;
0.002000;1.145427;0.582029;0.291015;-0.582029;
0.002010;1.142816;0.580771;0.290385;-0.580771;
0.002020;1.140193;0.579507;0.289753;-0.579507;
0.002030;1.137559;0.578237;0.289119;-0.578237;
0.002040;1.134914;0.576962;0.288481;-0.576962;
0.002050;1.132257;0.575681;0.287840;-0.575681;
0.002060;1.129590;0.574394;0.287197;-0.574394;
0.002070;1.126911;0.573101;0.286551;-0.573101;
0.002080;1.124221;0.571803;0.285902;-0.571803;
0.002090;1.121520;0.570500;0.285250;-0.570500;
0.002100;1.118808;0.569190;0.284595;-0.569190;
0.002110;1.116085;0.567875;0.283938;-0.567875;
0.002120;1.113351;0.566555;0.283277;-0.566555;
0.002130;1.110606;0.565228;0.282614;-0.565228;
0.002140;1.107850;0.563897;0.281948;-0.563897;
0.002150;1.105083;0.562559;0.281280;-0.562559;
0.002160;1.102305;0.561216;0.280608;-0.561216;
0.002170;1.099516;0.559868;0.279934;-0.559868;
0.002180;1.096717;0.558514;0.279257;-0.558514;
0.002190;1.093906;0.557154;0.278577;-0.557154;
0.002200;1.091085;0.555789;0.277895;-0.555789;
0.002210;1.088253;0.554419;0.277210;-0.554419;
0.002220;1.085410;0.553043;0.276522;-0.553043;
0.002230;1.082557;0.551662;0.275831;-0.551662;
0.002240;1.079693;0.550275;0.275137;-0.550275;
0.002250;1.076818;0.548883;0.274441;-0.548883;
0.002260;1.073932;0.547485;0.273742;-0.547485;
0.002270;1.071036;0.546082;0.273041;-0.546082;
0.002280;1.068130;0.544673;0.272337;-0.544673;
0.002290;1.065213;0.543260;0.271630;-0.543260;
0.002300;1.062285;0.541840;0.270920;-0.541840;
0.002310;1.059347;0.540416;0.270208;-0.540416;
0.002320;1.056398;0.538986;0.269493;-0.538986;
0.002330;1.053439;0.537551;0.268775;-0.537551;
0.002340;1.050470;0.536110;0.268055;-0.536110;
0.002350;1.047490;0.534664;0.267332;-0.534664;
0.002360;1.044500;0.533213;0.266607;-0.533213;
0.002370;1.041500;0.531757;0.265878;-0.531757;
0.002380;1.038489;0.530295;0.265148;-0.530295;
0.002390;1.035468;0.528828;0.264414;-0.528828;
0.002400;1.032437;0.527356;0.263678;-0.527356;
0.002410;1.029395;0.525879;0.262940;-0.525879;
0.002420;1.026344;0.524397;0.262198;-0.524397;
0.002430;1.023282;0.522909;0.261455;-0.522909;
0.002440;1.020210;0.521416;0.260708;-0.521416;
0.002450;1.017129;0.519918;0.259959;-0.519918;
0.002460;1.014037;0.518415;0.259208;-0.518415;
0.002470;1.010935;0.516907;0.258454;-0.516907;
0.002480;1.007823;0.515394;0.257697;-0.515394;
0.002490;1.004701;0.513876;0.256938;-0.513876;
0.002500;1.001570;0.512352;0.256176;-0.512352;
0.002510;0.998428;0.510824;0.255412;-0.510824;
0.002520;0.995277;0.509290;0.254645;-0.509290;
0.002530;0.992115;0.507751;0.253876;-0.507751;
0.002540;0.988944;0.506208;0.253104;-0.506208;
0.002550;0.985763;0.504659;0.252330;-0.504659;
0.002560;0.982573;0.503106;0.251553;-0.503106;
0.002570;0.979373;0.501547;0.250774;-0.501547;
0.002580;0.976163;0.499984;0.249992;-0.499984;
0.002590;0.972943;0.498415;0.249208;-0.498415;
0.002600;0.969714;0.496842;0.248421;-0.496842;
0.002610;0.966475;0.495264;0.247632;-0.495264;
0.002620;0.963227;0.493681;0.246840;-0.493681;
0.002630;0.959969;0.492093;0.246046;-0.492093;
0.002640;0.956702;0.490500;0.245250;-0.490500;
0.002650;0.953425;0.488902;0.244451;-0.488902;
0.002660;0.950139;0.487300;0.243650;-0.487300;
0.002670;0.946844;0.485692;0.242846;-0.485692;
0.002680;0.943539;0.484080;0.242040;-0.484080;
0.002690;0.940225;0.482463;0.241232;-0.482463;
0.002700;0.936901;0.480842;0.240421;-0.480842;
0.002710;0.933569;0.479215;0.239608;-0.479215;
0.002720;0.930227;0.477584;0.238792;-0.477584;
0.002730;0.926876;0.475948;0.237974;-0.475948;
0.002740;0.923516;0.474308;0.237154;-0.474308;
0.002750;0.920146;0.472663;0.236331;-0.472663;
0.002760;0.916768;0.471013;0.235506;-0.471013;
0.002770;0.913380;0.469358;0.234679;-0.469358;
0.002780;0.909984;0.467699;0.233850;-0.467699;
0.002790;0.906579;0.466035;0.233018;-0.466035;
0.002800;0.903164;0.464367;0.232184;-0.464367;
0.002810;0.899741;0.462694;0.231347;-0.462694;
0.002820;0.896309;0.461017;0.230508;-0.461017;
0.002830;0.892868;0.459334;0.229667;-0.459334;
0.002840;0.889418;0.457648;0.228824;-0.457648;
0.002850;0.885959;0.455957;0.227978;-0.455957;
0.002860;0.882492;0.454261;0.227131;-0.454261;
0.002870;0.879016;0.452561;0.226280;-0.452561;
0.002880;0.875531;0.450856;0.225428;-0.450856;
0.002890;0.872038;0.449147;0.224574;-0.449147;
0.002900;0.868536;0.447434;0.223717;-0.447434;
0.002910;0.865025;0.445716;0.222858;-0.445716;
0.002920;0.861506;0.443994;0.221997;-0.443994;
0.002930;0.857978;0.442267;0.221134;-0.442267;
0.002940;0.854442;0.440536;0.220268;-0.440536;
0.002950;0.850898;0.438801;0.219400;-0.438801;
0.002960;0.847345;0.437061;0.218531;-0.437061;
0.002970;0.843784;0.435317;0.217659;-0.435317;
0.002980;0.840214;0.433569;0.216784;-0.433569;
0.002990;0.836636;0.431816;0.215908;-0.431816;
0.003000;0.833050;0.430059;0.215030;-0.430059;
0.003010;0.829456;0.428298;0.214149;-0.428298;
0.003020;0.825853;0.426533;0.213266;-0.426533;
0.003030;0.822242;0.424763;0.212382;-0.424763;
0.003040;0.818624;0.422990;0.211495;-0.422990;
0.003050;0.814997;0.421212;0.210606;-0.421212;
0.003060;0.811362;0.419430;0.209715;-0.419430;
0.003070;0.807719;0.417643;0.208822;-0.417643;
0.003080;0.804068;0.415853;0.207927;-0.415853;
0.003090;0.800409;0.414059;0.207029;-0.414059;
0.003100;0.796742;0.412260;0.206130;-0.412260;
0.003110;0.793068;0.410458;0.205229;-0.410458;
0.003120;0.789385;0.408651;0.204325;-0.408651;
0.003130;0.785695;0.406840;0.203420;-0.406840;
0.003140;0.781997;0.405026;0.202513;-0.405026;
0.003150;0.778291;0.403207;0.201603;-0.403207;
0.003160;0.774578;0.401384;0.200692;-0.401384;
0.003170;0.770857;0.399558;0.199779;-0.399558;
0.003180;0.767128;0.397727;0.198864;-0.397727;
0.003190;0.763392;0.395893;0.197946;-0.395893;
0.003200;0.759648;0.394054;0.197027;-0.394054;
0.003210;0.755897;0.392212;0.196106;-0.392212;
0.003220;0.752138;0.390366;0.195183;-0.390366;
0.003230;0.748372;0.388516;0.194258;-0.388516;
0.003240;0.744599;0.386662;0.193331;-0.386662;
0.003250;0.740818;0.384804;0.192402;-0.384804;
0.003260;0.737030;0.382943;0.191471;-0.382943;
0.003270;0.733234;0.381078;0.190539;-0.381078;
0.003280;0.729431;0.379209;0.189604;-0.379209;
0.003290;0.725622;0.377336;0.188668;-0.377336;
0.003300;0.721804;0.375459;0.187730;-0.375459;
0.003310;0.717980;0.373579;0.186790;-0.373579;
0.003320;0.714149;0.371695;0.185848;-0.371695;
0.003330;0.710311;0.369808;0.184904;-0.369808;
0.003340;0.706465;0.367917;0.183958;-0.367917;
0.003350;0.702613;0.366022;0.183011;-0.366022;
0.003360;0.698754;0.364124;0.182062;-0.364124;
0.003370;0.694888;0.362222;0.181111;-0.362222;
0.003380;0.691015;0.360316;0.180158;-0.360316;
0.003390;0.687135;0.358407;0.179203;-0.358407;
0.003400;0.683248;0.356494;0.178247;-0.356494;
0.003410;0.679355;0.354578;0.177289;-0.354578;
0.003420;0.675455;0.352658;0.176329;-0.352658;
0.003430;0.671548;0.350735;0.175368;-0.350735;
0.003440;0.667635;0.348808;0.174404;-0.348808;
0.003450;0.663715;0.346878;0.173439;-0.346878;
0.003460;0.659789;0.344945;0.172472;-0.344945;
0.003470;0.655856;0.343008;0.171504;-0.343008;
0.003480;0.651916;0.341068;0.170534;-0.341068;
0.003490;0.647970;0.339124;0.169562;-0.339124;
0.003500;0.644018;0.337177;0.168588;-0.337177;
0.003510;0.640059;0.335227;0.167613;-0.335227;
0.003520;0.636094;0.333273;0.166636;-0.333273;
0.003530;0.632123;0.331316;0.165658;-0.331316;
0.003540;0.628146;0.329356;0.164678;-0.329356;
0.003550;0.624162;0.327392;0.163696;-0.327392;
0.003560;0.620172;0.325426;0.162713;-0.325426;
0.003570;0.616176;0.323456;0.161728;-0.323456;
0.003580;0.612174;0.321483;0.160741;-0.321483;
0.003590;0.608166;0.319506;0.159753;-0.319506;
0.003600;0.604152;0.317527;0.158764;-0.317527;
0.003610;0.600132;0.315544;0.157772;-0.315544;
0.003620;0.596106;0.313559;0.156779;-0.313559;
0.003630;0.592074;0.311570;0.155785;-0.311570;
0.003640;0.588037;0.309578;0.154789;-0.309578;
0.003650;0.583993;0.307583;0.153792;-0.307583;
0.003660;0.579944;0.305585;0.152793;-0.305585;
0.003670;0.575889;0.303584;0.151792;-0.303584;
0.003680;0.571828;0.301581;0.150790;-0.301581;
0.003690;0.567762;0.299574;0.149787;-0.299574;
0.003700;0.563690;0.297564;0.148782;-0.297564;
0.003710;0.559613;0.295551;0.147775;-0.295551;
0.003720;0.555530;0.293535;0.146768;-0.293535;
0.003730;0.551441;0.291517;0.145758;-0.291517;
0.003740;0.547347;0.289495;0.144748;-0.289495;
0.003750;0.543248;0.287471;0.143735;-0.287471;
0.003760;0.539143;0.285444;0.142722;-0.285444;
0.003770;0.535033;0.283414;0.141707;-0.283414;
0.003780;0.530918;0.281381;0.140690;-0.281381;
0.003790;0.526797;0.279345;0.139673;-0.279345;
0.003800;0.522672;0.277307;0.138653;-0.277307;
0.003810;0.518541;0.275266;0.137633;-0.275266;
0.003820;0.514405;0.273222;0.136611;-0.273222;
0.003830;0.510264;0.271175;0.135588;-0.271175;
0.003840;0.506117;0.269126;0.134563;-0.269126;
0.003850;0.501966;0.267074;0.133537;-0.267074;
0.003860;0.497810;0.265020;0.132510;-0.265020;
0.003870;0.493649;0.262963;0.131481;-0.262963;
0.003880;0.489483;0.260903;0.130452;-0.260903;
0.003890;0.485313;0.258841;0.129421;-0.258841;
0.003900;0.481137;0.256776;0.128388;-0.256776;
0.003910;0.476957;0.254709;0.127354;-0.254709;
0.003920;0.472772;0.252639;0.126320;-0.252639;
0.003930;0.468583;0.250567;0.125283;-0.250567;
0.003940;0.464388;0.248492;0.124246;-0.248492;
0.003950;0.460190;0.246415;0.123207;-0.246415;
0.003960;0.455986;0.244335;0.122167;-0.244335;
0.003970;0.451778;0.242253;0.121126;-0.242253;
0.003980;0.447566;0.240168;0.120084;-0.240168;
0.003990;0.443349;0.238081;0.119041;-0.238081;
0.004000;0.439128;0.235992;0.117996;-0.235992;
0.004010;0.434903;0.233901;0.116950;-0.233901;
0.004020;0.430673;0.231807;0.115903;-0.231807;
0.004030;0.426439;0.229711;0.114855;-0.229711;
0.004040;0.422201;0.227612;0.113806;-0.227612;
0.004050;0.417959;0.225512;0.112756;-0.225512;
0.004060;0.413712;0.223409;0.111704;-0.223409;
0.004070;0.409462;0.221304;0.110652;-0.221304;
0.004080;0.405207;0.219196;0.109598;-0.219196;
0.004090;0.400948;0.217087;0.108543;-0.217087;
0.004100;0.396686;0.214975;0.107488;-0.214975;
0.004110;0.392419;0.212862;0.106431;-0.212862;
0.004120;0.388149;0.210746;0.105373;-0.210746;
0.004130;0.383875;0.208628;0.104314;-0.208628;
0.004140;0.379597;0.206508;0.103254;-0.206508;
0.004150;0.375315;0.204386;0.102193;-0.204386;
0.004160;0.371030;0.202262;0.101131;-0.202262;
0.004170;0.366741;0.200136;0.100068;-0.200136;
0.004180;0.362448;0.198008;0.099004;-0.198008;
0.004190;0.358152;0.195878;0.097939;-0.195878;
0.004200;0.353852;0.193746;0.096873;-0.193746;
0.004210;0.349549;0.191613;0.095806;-0.191613;
0.004220;0.345242;0.189477;0.094738;-0.189477;
0.004230;0.340932;0.187339;0.093670;-0.187339;
0.004240;0.336618;0.185200;0.092600;-0.185200;
0.004250;0.332301;0.183059;0.091529;-0.183059;
0.004260;0.327981;0.180916;0.090458;-0.180916;
0.004270;0.323658;0.178771;0.089385;-0.178771;
0.004280;0.319331;0.176624;0.088312;-0.176624;
0.004290;0.315002;0.174476;0.087238;-0.174476;
0.004300;0.310669;0.172326;0.086163;-0.172326;
0.004310;0.306333;0.170174;0.085087;-0.170174;
0.004320;0.301994;0.168021;0.084010;-0.168021;
0.004330;0.297652;0.165866;0.082933;-0.165866;
0.004340;0.293307;0.163709;0.081855;-0.163709;
0.004350;0.288959;0.161551;0.080775;-0.161551;
0.004360;0.284609;0.159391;0.079695;-0.159391;
0.004370;0.280256;0.157229;0.078615;-0.157229;
0.004380;0.275899;0.155066;0.077533;-0.155066;
0.004390;0.271541;0.152902;0.076451;-0.152902;
0.004400;0.267179;0.150736;0.075368;-0.150736;
0.004410;0.262815;0.148568;0.074284;-0.148568;
0.004420;0.258448;0.146399;0.073200;-0.146399;
0.004430;0.254079;0.144229;0.072114;-0.144229;
0.004440;0.249707;0.142057;0.071028;-0.142057;
0.004450;0.245333;0.139883;0.069942;-0.139883;
0.004460;0.240956;0.137709;0.068854;-0.137709;
0.004470;0.236577;0.135533;0.067766;-0.135533;
0.004480;0.232195;0.133355;0.066678;-0.133355;
0.004490;0.227812;0.131177;0.065588;-0.131177;
0.004500;0.223426;0.128997;0.064498;-0.128997;
0.004510;0.219037;0.126815;0.063408;-0.126815;
0.004520;0.214647;0.124633;0.062316;-0.124633;
0.004530;0.210255;0.122449;0.061225;-0.122449;
0.004540;0.205860;0.120264;0.060132;-0.120264;
0.004550;0.201463;0.118078;0.059039;-0.118078;
0.004560;0.197065;0.115891;0.057945;-0.115891;
0.004570;0.192664;0.113702;0.056851;-0.113702;
0.004580;0.188262;0.111513;0.055756;-0.111513;
0.004590;0.183858;0.109322;0.054661;-0.109322;
0.004600;0.179452;0.107130;0.053565;-0.107130;
0.004610;0.175044;0.104937;0.052469;-0.104937;
0.004620;0.170634;0.102744;0.051372;-0.102744;
0.004630;0.166223;0.100549;0.050274;-0.100549;
0.004640;0.161810;0.098353;0.049176;-0.098353;
0.004650;0.157396;0.096156;0.048078;-0.096156;
0.004660;0.152980;0.093958;0.046979;-0.093958;
0.004670;0.148562;0.091760;0.045880;-0.091760;
0.004680;0.144143;0.089560;0.044780;-0.089560;
0.004690;0.139722;0.087359;0.043680;-0.087359;
0.004700;0.135301;0.085158;0.042579;-0.085158;
0.004710;0.130878;0.082956;0.041478;-0.082956;
0.004720;0.126453;0.080753;0.040376;-0.080753;
0.004730;0.122027;0.078549;0.039275;-0.078549;
0.004740;0.117600;0.076345;0.038172;-0.076345;
0.004750;0.113172;0.074139;0.037070;-0.074139;
0.004760;0.108743;0.071933;0.035967;-0.071933;
0.004770;0.104313;0.069726;0.034863;-0.069726;
0.004780;0.099882;0.067519;0.033759;-0.067519;
0.004790;0.095449;0.065311;0.032655;-0.065311;
0.004800;0.091016;0.063102;0.031551;-0.063102;
0.004810;0.086582;0.060893;0.030446;-0.060893;
0.004820;0.082147;0.058683;0.029341;-0.058683;
0.004830;0.077711;0.056472;0.028236;-0.056472;
0.004840;0.073275;0.054261;0.027130;-0.054261;
0.004850;0.068837;0.052049;0.026025;-0.052049;
0.004860;0.064400;0.049837;0.024918;-0.049837;
0.004870;0.059961;0.047624;0.023812;-0.047624;
0.004880;0.055522;0.045411;0.022706;-0.045411;
0.004890;0.051082;0.043198;0.021599;-0.043198;
0.004900;0.046642;0.040984;0.020492;-0.040984;
0.004910;0.042201;0.038769;0.019385;-0.038769;
0.004920;0.037760;0.036554;0.018277;-0.036554;
0.004930;0.033319;0.034339;0.017170;-0.034339;
0.004940;0.028877;0.032124;0.016062;-0.032124;
0.004950;0.024435;0.029908;0.014954;-0.029908;
0.004960;0.019992;0.027692;0.013846;-0.027692;
0.004970;0.015550;0.025475;0.012738;-0.025475;
0.004980;0.011107;0.023259;0.011629;-0.023259;
0.004990;0.006664;0.021042;0.010521;-0.021042;
0.005000;0.002221;0.018825;0.009412;-0.018825;
0.005010;-0.002221;0.016607;0.008304;-0.016607;
0.005020;-0.006664;0.014390;0.007195;-0.014390;
0.005030;-0.011107;0.012172;0.006086;-0.012172;
0.005040;-0.015550;0.009955;0.004977;-0.009955;
0.005050;-0.019992;0.007737;0.003868;-0.007737;
0.005060;-0.024435;0.005519;0.002760;-0.005519;
0.005070;-0.028877;0.003301;0.001651;-0.003301;
0.005080;-0.033319;0.001083;0.000542;-0.001083;
0.005090;-0.037760;-0.001135;-0.000567;0.001135;
0.005100;-0.042201;-0.003353;-0.001676;0.003353;
0.005110;-0.046642;-0.005571;-0.002785;0.005571;
