time;NETWORK_T3_1_i_a;NETWORK_T3_2_i_a;NETWORK_T3_3_i_a;NETWORK_T3_FictBUS_v_a;NETWORK_B2_v_a;NETWORK_B3_v_a;
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.000010;-0.004442;0.000000;0.000000;0.000222;0.000000;0.000000;
0.000020;-0.008881;0.000002;0.000002;0.000888;0.000000;0.000000;
0.000030;-0.013315;0.000007;0.000007;0.001997;0.000001;0.000001;
0.000040;-0.017744;0.000015;0.000015;0.003548;0.000002;0.000002;
0.000050;-0.022166;0.000030;0.000030;0.005539;0.000004;0.000004;
0.000060;-0.026580;0.000051;0.000051;0.007968;0.000008;0.000008;
0.000070;-0.030983;0.000080;0.000080;0.010833;0.000014;0.000014;
0.000080;-0.035375;0.000119;0.000119;0.014131;0.000024;0.000024;
0.000090;-0.039754;0.000169;0.000169;0.017859;0.000037;0.000038;
0.000100;-0.044119;0.000232;0.000232;0.022012;0.000057;0.000058;
0.000110;-0.048469;0.000308;0.000308;0.026588;0.000082;0.000084;
0.000120;-0.052802;0.000399;0.000399;0.031580;0.000116;0.000118;
0.000130;-0.057116;0.000506;0.000506;0.036986;0.000158;0.000162;
0.000140;-0.061411;0.000631;0.000631;0.042799;0.000211;0.000217;
0.000150;-0.065686;0.000774;0.000774;0.049013;0.000277;0.000285;
0.000160;-0.069938;0.000937;0.000937;0.055623;0.000356;0.000367;
0.000170;-0.074166;0.001121;0.001121;0.062622;0.000451;0.000466;
0.000180;-0.078370;0.001327;0.001327;0.070004;0.000563;0.000583;
0.000190;-0.082548;0.001557;0.001557;0.077762;0.000695;0.000721;
0.000200;-0.086699;0.001811;0.001811;0.085888;0.000848;0.000881;
0.000210;-0.090822;0.002091;0.002090;0.094373;0.001024;0.001066;
0.000220;-0.094915;0.002397;0.002396;0.103212;0.001226;0.001279;
0.000230;-0.098978;0.002731;0.002730;0.112394;0.001455;0.001521;
0.000240;-0.103009;0.003093;0.003092;0.121911;0.001715;0.001796;
0.000250;-0.107008;0.003484;0.003483;0.131754;0.002006;0.002105;
0.000260;-0.110972;0.003906;0.003905;0.141914;0.002333;0.002452;
0.000270;-0.114902;0.004359;0.004357;0.152381;0.002696;0.002838;
0.000280;-0.118797;0.004844;0.004842;0.163146;0.003098;0.003268;
0.000290;-0.122654;0.005362;0.005359;0.174198;0.003542;0.003743;
0.000300;-0.126474;0.005914;0.005910;0.185528;0.004030;0.004266;
0.000310;-0.130255;0.006499;0.006495;0.197123;0.004565;0.004841;
0.000320;-0.133997;0.007120;0.007114;0.208974;0.005148;0.005470;
0.000330;-0.137699;0.007776;0.007769;0.221070;0.005784;0.006156;
0.000340;-0.141360;0.008468;0.008460;0.233400;0.006473;0.006902;
0.000350;-0.144979;0.009197;0.009187;0.245951;0.007220;0.007711;
0.000360;-0.148556;0.009962;0.009951;0.258713;0.008025;0.008587;
0.000370;-0.152089;0.010766;0.010753;0.271673;0.008892;0.009531;
0.000380;-0.155579;0.011607;0.011592;0.284821;0.009824;0.010548;
0.000390;-0.159025;0.012486;0.012469;0.298144;0.010822;0.011640;
0.000400;-0.162426;0.013404;0.013384;0.311629;0.011890;0.012810;
0.000410;-0.165781;0.014361;0.014338;0.325265;0.013029;0.014062;
0.000420;-0.169090;0.015357;0.015331;0.339039;0.014242;0.015398;
0.000430;-0.172353;0.016392;0.016362;0.352939;0.015532;0.016822;
0.000440;-0.175570;0.017467;0.017432;0.366953;0.016900;0.018336;
0.000450;-0.178739;0.018581;0.018541;0.381067;0.018350;0.019943;
0.000460;-0.181861;0.019734;0.019690;0.395270;0.019884;0.021647;
0.000470;-0.184935;0.020927;0.020877;0.409548;0.021503;0.023450;
0.000480;-0.187961;0.022159;0.022102;0.423890;0.023210;0.025354;
0.000490;-0.190939;0.023431;0.023367;0.438282;0.025007;0.027364;
0.000500;-0.193869;0.024741;0.024669;0.452712;0.026897;0.029482;
0.000510;-0.196750;0.026091;0.026010;0.467167;0.028881;0.031710;
0.000520;-0.199583;0.027479;0.027389;0.481635;0.030961;0.034051;
0.000530;-0.202367;0.028905;0.028805;0.496104;0.033139;0.036508;
0.000540;-0.205102;0.030369;0.030258;0.510560;0.035417;0.039083;
0.000550;-0.207789;0.031871;0.031748;0.524993;0.037797;0.041779;
0.000560;-0.210428;0.033410;0.033274;0.539388;0.040280;0.044598;
0.000570;-0.213018;0.034986;0.034836;0.553735;0.042868;0.047543;
0.000580;-0.215560;0.036598;0.036433;0.568022;0.045563;0.050616;
0.000590;-0.218053;0.038245;0.038064;0.582235;0.048366;0.053819;
0.000600;-0.220499;0.039928;0.039728;0.596365;0.051278;0.057153;
0.000610;-0.222897;0.041645;0.041426;0.610398;0.054301;0.060622;
0.000620;-0.225248;0.043395;0.043156;0.624324;0.057436;0.064227;
0.000630;-0.227552;0.045179;0.044918;0.638132;0.060683;0.067970;
0.000640;-0.229810;0.046995;0.046710;0.651810;0.064045;0.071852;
0.000650;-0.232021;0.048842;0.048532;0.665348;0.067521;0.075876;
0.000660;-0.234186;0.050720;0.050383;0.678734;0.071113;0.080042;
0.000670;-0.236306;0.052627;0.052262;0.691959;0.074821;0.084352;
0.000680;-0.238381;0.054564;0.054167;0.705012;0.078646;0.088808;
0.000690;-0.240412;0.056528;0.056099;0.717884;0.082588;0.093410;
0.000700;-0.242399;0.058520;0.058055;0.730565;0.086648;0.098160;
0.000710;-0.244343;0.060537;0.060035;0.743044;0.090826;0.103058;
0.000720;-0.246244;0.062579;0.062038;0.755314;0.095122;0.108106;
0.000730;-0.248104;0.064645;0.064062;0.767365;0.099537;0.113304;
0.000740;-0.249922;0.066734;0.066107;0.779189;0.104070;0.118653;
0.000750;-0.251700;0.068844;0.068170;0.790778;0.108721;0.124153;
0.000760;-0.253437;0.070976;0.070252;0.802122;0.113490;0.129804;
0.000770;-0.255136;0.073126;0.072350;0.813216;0.118376;0.135607;
0.000780;-0.256797;0.075295;0.074463;0.824051;0.123380;0.141562;
0.000790;-0.258420;0.077481;0.076591;0.834620;0.128499;0.147668;
0.000800;-0.260006;0.079682;0.078731;0.844917;0.133735;0.153926;
0.000810;-0.261556;0.081898;0.080882;0.854936;0.139086;0.160336;
0.000820;-0.263072;0.084128;0.083044;0.864669;0.144551;0.166896;
0.000830;-0.264553;0.086370;0.085214;0.874113;0.150129;0.173606;
0.000840;-0.266001;0.088622;0.087391;0.883261;0.155819;0.180466;
0.000850;-0.267417;0.090884;0.089574;0.892108;0.161620;0.187475;
0.000860;-0.268801;0.093154;0.091761;0.900651;0.167531;0.194631;
0.000870;-0.270155;0.095431;0.093951;0.908883;0.173549;0.201934;
0.000880;-0.271479;0.097714;0.096143;0.916803;0.179674;0.209382;
0.000890;-0.272775;0.100000;0.098335;0.924406;0.185904;0.216974;
0.000900;-0.274043;0.102290;0.100526;0.931690;0.192237;0.224709;
0.000910;-0.275284;0.104582;0.102713;0.938650;0.198672;0.232584;
0.000920;-0.276500;0.106873;0.104897;0.945286;0.205206;0.240599;
0.000930;-0.277691;0.109164;0.107074;0.951595;0.211837;0.248751;
0.000940;-0.278858;0.111452;0.109245;0.957576;0.218564;0.257038;
0.000950;-0.280003;0.113737;0.111407;0.963227;0.225384;0.265458;
0.000960;-0.281126;0.116016;0.113558;0.968548;0.232295;0.274009;
0.000970;-0.282228;0.118289;0.115699;0.973537;0.239294;0.282688;
0.000980;-0.283311;0.120554;0.117826;0.978196;0.246379;0.291493;
0.000990;-0.284375;0.122811;0.119938;0.982524;0.253548;0.300422;
0.001000;-0.285421;0.125057;0.122035;0.986522;0.260798;0.309471;
0.001010;-0.286451;0.127291;0.124115;0.990190;0.268126;0.318638;
0.001020;-0.287465;0.129513;0.126176;0.993531;0.275530;0.327920;
0.001030;-0.288465;0.131721;0.128217;0.996546;0.283006;0.337313;
0.001040;-0.289450;0.133913;0.130237;0.999238;0.290553;0.346815;
0.001050;-0.290423;0.136089;0.132234;1.001608;0.298165;0.356423;
0.001060;-0.291384;0.138247;0.134207;1.003659;0.305842;0.366132;
0.001070;-0.292335;0.140386;0.136155;1.005395;0.313580;0.375940;
0.001080;-0.293275;0.142505;0.138076;1.006820;0.321375;0.385842;
0.001090;-0.294207;0.144603;0.139969;1.007936;0.329224;0.395836;
0.001100;-0.295130;0.146678;0.141833;1.008749;0.337124;0.405918;
0.001110;-0.296047;0.148730;0.143667;1.009263;0.345073;0.416083;
0.001120;-0.296957;0.150757;0.145470;1.009482;0.353066;0.426328;
0.001130;-0.297862;0.152759;0.147239;1.009411;0.361100;0.436648;
0.001140;-0.298763;0.154734;0.148975;1.009057;0.369172;0.447040;
0.001150;-0.299660;0.156682;0.150676;1.008425;0.377278;0.457500;
0.001160;-0.300554;0.158601;0.152342;1.007521;0.385415;0.468024;
0.001170;-0.301446;0.160490;0.153970;1.006351;0.393580;0.478606;
0.001180;-0.302337;0.162350;0.155560;1.004921;0.401769;0.489243;
0.001190;-0.303228;0.164178;0.157112;1.003239;0.409977;0.499931;
0.001200;-0.304119;0.165974;0.158624;1.001313;0.418203;0.510665;
0.001210;-0.305011;0.167737;0.160095;0.999148;0.426442;0.521440;
0.001220;-0.305905;0.169466;0.161524;0.996752;0.434691;0.532253;
0.001230;-0.306801;0.171162;0.162911;0.994134;0.442946;0.543098;
0.001240;-0.307700;0.172822;0.164255;0.991302;0.451204;0.553971;
0.001250;-0.308602;0.174446;0.165555;0.988263;0.459461;0.564867;
0.001260;-0.309509;0.176034;0.166811;0.985026;0.467713;0.575782;
0.001270;-0.310421;0.177586;0.168022;0.981600;0.475957;0.586711;
0.001280;-0.311338;0.179100;0.169186;0.977994;0.484190;0.597650;
0.001290;-0.312261;0.180576;0.170305;0.974215;0.492408;0.608593;
0.001300;-0.313191;0.182013;0.171376;0.970274;0.500607;0.619537;
0.001310;-0.314127;0.183412;0.172401;0.966180;0.508784;0.630475;
0.001320;-0.315070;0.184772;0.173377;0.961942;0.516936;0.641405;
0.001330;-0.316021;0.186092;0.174306;0.957569;0.525060;0.652320;
0.001340;-0.316981;0.187372;0.175186;0.953071;0.533151;0.663217;
0.001350;-0.317948;0.188612;0.176017;0.948459;0.541206;0.674091;
0.001360;-0.318924;0.189812;0.176799;0.943740;0.549223;0.684936;
0.001370;-0.319909;0.190972;0.177532;0.938926;0.557198;0.695750;
0.001380;-0.320903;0.192091;0.178215;0.934026;0.565128;0.706526;
0.001390;-0.321906;0.193169;0.178849;0.929050;0.573010;0.717260;
0.001400;-0.322919;0.194206;0.179433;0.924009;0.580840;0.727948;
0.001410;-0.323942;0.195203;0.179968;0.918911;0.588616;0.738585;
0.001420;-0.324974;0.196159;0.180453;0.913768;0.596334;0.749168;
0.001430;-0.326016;0.197074;0.180889;0.908589;0.603993;0.759690;
0.001440;-0.327068;0.197949;0.181275;0.903383;0.611588;0.770149;
0.001450;-0.328131;0.198784;0.181612;0.898162;0.619118;0.780540;
0.001460;-0.329203;0.199578;0.181900;0.892935;0.626579;0.790859;
0.001470;-0.330285;0.200332;0.182140;0.887712;0.633969;0.801101;
0.001480;-0.331377;0.201046;0.182330;0.882503;0.641285;0.811263;
0.001490;-0.332478;0.201721;0.182473;0.877317;0.648526;0.821340;
0.001500;-0.333589;0.202357;0.182567;0.872164;0.655687;0.831329;
0.001510;-0.334710;0.202955;0.182615;0.867055;0.662768;0.841225;
0.001520;-0.335840;0.203514;0.182615;0.861997;0.669766;0.851025;
0.001530;-0.336979;0.204035;0.182569;0.857002;0.676679;0.860726;
0.001540;-0.338127;0.204519;0.182477;0.852077;0.683505;0.870323;
0.001550;-0.339283;0.204966;0.182340;0.847232;0.690242;0.879813;
0.001560;-0.340447;0.205376;0.182158;0.842477;0.696888;0.889193;
0.001570;-0.341620;0.205752;0.181933;0.837819;0.703441;0.898459;
0.001580;-0.342800;0.206092;0.181664;0.833268;0.709900;0.907609;
0.001590;-0.343987;0.206398;0.181352;0.828832;0.716263;0.916638;
0.001600;-0.345180;0.206670;0.180998;0.824520;0.722528;0.925545;
0.001610;-0.346380;0.206909;0.180604;0.820339;0.728695;0.934326;
0.001620;-0.347586;0.207116;0.180169;0.816297;0.734761;0.942978;
0.001630;-0.348797;0.207292;0.179695;0.812403;0.740727;0.951499;
0.001640;-0.350013;0.207437;0.179183;0.808663;0.746590;0.959885;
0.001650;-0.351233;0.207552;0.178633;0.805085;0.752350;0.968136;
0.001660;-0.352456;0.207638;0.178046;0.801676;0.758006;0.976248;
0.001670;-0.353683;0.207696;0.177425;0.798443;0.763557;0.984219;
0.001680;-0.354912;0.207727;0.176768;0.795392;0.769003;0.992048;
0.001690;-0.356144;0.207732;0.176078;0.792529;0.774342;0.999731;
0.001700;-0.357376;0.207711;0.175356;0.789861;0.779575;1.007268;
0.001710;-0.358609;0.207666;0.174603;0.787394;0.784701;1.014656;
0.001720;-0.359842;0.207598;0.173819;0.785132;0.789720;1.021895;
0.001730;-0.361074;0.207508;0.173006;0.783081;0.794632;1.028981;
0.001740;-0.362305;0.207396;0.172166;0.781246;0.799437;1.035916;
0.001750;-0.363534;0.207264;0.171299;0.779632;0.804134;1.042696;
0.001760;-0.364759;0.207112;0.170406;0.778243;0.808724;1.049321;
0.001770;-0.365981;0.206942;0.169489;0.777082;0.813207;1.055790;
0.001780;-0.367198;0.206756;0.168549;0.776154;0.817584;1.062103;
0.001790;-0.368411;0.206553;0.167587;0.775463;0.821855;1.068258;
0.001800;-0.369617;0.206335;0.166605;0.775010;0.826021;1.074255;
0.001810;-0.370816;0.206103;0.165603;0.774799;0.830082;1.080093;
0.001820;-0.372008;0.205859;0.164583;0.774833;0.834039;1.085773;
0.001830;-0.373191;0.205602;0.163546;0.775114;0.837893;1.091294;
0.001840;-0.374366;0.205336;0.162494;0.775643;0.841644;1.096657;
0.001850;-0.375530;0.205059;0.161428;0.776422;0.845294;1.101860;
0.001860;-0.376683;0.204774;0.160349;0.777452;0.848845;1.106905;
0.001870;-0.377825;0.204483;0.159258;0.778734;0.852296;1.111792;
0.001880;-0.378954;0.204184;0.158157;0.780269;0.855650;1.116521;
0.001890;-0.380069;0.203881;0.157046;0.782056;0.858908;1.121093;
0.001900;-0.381171;0.203574;0.155928;0.784097;0.862071;1.125509;
0.001910;-0.382258;0.203264;0.154804;0.786390;0.865140;1.129769;
0.001920;-0.383328;0.202952;0.153674;0.788935;0.868119;1.133875;
0.001930;-0.384383;0.202639;0.152541;0.791730;0.871007;1.137827;
0.001940;-0.385419;0.202327;0.151404;0.794774;0.873807;1.141627;
0.001950;-0.386438;0.202016;0.150267;0.798066;0.876521;1.145276;
0.001960;-0.387437;0.201708;0.149129;0.801604;0.879150;1.148776;
0.001970;-0.388417;0.201403;0.147992;0.805385;0.881698;1.152127;
0.001980;-0.389376;0.201102;0.146858;0.809407;0.884164;1.155332;
0.001990;-0.390313;0.200807;0.145727;0.813667;0.886552;1.158393;
0.002000;-0.391229;0.200519;0.144601;0.818161;0.888865;1.161311;
0.002010;-0.392121;0.200237;0.143481;0.822887;0.891103;1.164088;
0.002020;-0.392990;0.199965;0.142368;0.827840;0.893269;1.166726;
0.002030;-0.393834;0.199701;0.141263;0.833016;0.895366;1.169228;
0.002040;-0.394653;0.199448;0.140167;0.838412;0.897396;1.171595;
0.002050;-0.395446;0.199206;0.139082;0.844022;0.899361;1.173831;
0.002060;-0.396213;0.198975;0.138008;0.849841;0.901264;1.175936;
0.002070;-0.396952;0.198758;0.136947;0.855865;0.903107;1.177915;
0.002080;-0.397664;0.198554;0.135899;0.862088;0.904892;1.179769;
0.002090;-0.398347;0.198365;0.134866;0.868504;0.906623;1.181501;
0.002100;-0.399001;0.198190;0.133848;0.875108;0.908302;1.183113;
0.002110;-0.399625;0.198032;0.132847;0.881894;0.909930;1.184609;
0.002120;-0.400218;0.197890;0.131863;0.888854;0.911512;1.185992;
0.002130;-0.400781;0.197765;0.130897;0.895983;0.913049;1.187263;
0.002140;-0.401312;0.197659;0.129951;0.903275;0.914544;1.188427;
0.002150;-0.401812;0.197571;0.129024;0.910720;0.916000;1.189487;
0.002160;-0.402278;0.197502;0.128119;0.918314;0.917420;1.190444;
0.002170;-0.402712;0.197453;0.127234;0.926048;0.918805;1.191303;
0.002180;-0.403113;0.197424;0.126372;0.933915;0.920160;1.192067;
0.002190;-0.403479;0.197415;0.125533;0.941908;0.921485;1.192738;
0.002200;-0.403812;0.197428;0.124718;0.950018;0.922784;1.193320;
0.002210;-0.404109;0.197462;0.123927;0.958237;0.924061;1.193817;
0.002220;-0.404372;0.197519;0.123160;0.966558;0.925316;1.194231;
0.002230;-0.404599;0.197598;0.122419;0.974971;0.926553;1.194566;
0.002240;-0.404791;0.197699;0.121704;0.983470;0.927775;1.194825;
0.002250;-0.404947;0.197824;0.121015;0.992045;0.928983;1.195012;
0.002260;-0.405067;0.197971;0.120353;1.000687;0.930181;1.195129;
0.002270;-0.405150;0.198142;0.119718;1.009389;0.931371;1.195181;
0.002280;-0.405197;0.198337;0.119110;1.018141;0.932556;1.195171;
0.002290;-0.405207;0.198555;0.118531;1.026935;0.933738;1.195102;
0.002300;-0.405180;0.198798;0.117979;1.035761;0.934919;1.194977;
0.002310;-0.405117;0.199064;0.117456;1.044611;0.936102;1.194800;
0.002320;-0.405016;0.199355;0.116962;1.053476;0.937289;1.194574;
0.002330;-0.404878;0.199669;0.116496;1.062346;0.938482;1.194302;
0.002340;-0.404703;0.200007;0.116060;1.071214;0.939684;1.193988;
0.002350;-0.404491;0.200370;0.115652;1.080069;0.940897;1.193636;
0.002360;-0.404242;0.200756;0.115273;1.088903;0.942123;1.193248;
0.002370;-0.403956;0.201166;0.114924;1.097707;0.943365;1.192827;
0.002380;-0.403633;0.201599;0.114603;1.106472;0.944623;1.192378;
0.002390;-0.403273;0.202056;0.114312;1.115189;0.945900;1.191902;
0.002400;-0.402876;0.202536;0.114050;1.123848;0.947199;1.191404;
0.002410;-0.402443;0.203038;0.113816;1.132442;0.948521;1.190885;
0.002420;-0.401973;0.203564;0.113611;1.140962;0.949867;1.190351;
0.002430;-0.401468;0.204111;0.113434;1.149398;0.951239;1.189802;
0.002440;-0.400927;0.204680;0.113286;1.157742;0.952640;1.189243;
0.002450;-0.400350;0.205271;0.113165;1.165986;0.954071;1.188676;
0.002460;-0.399737;0.205882;0.113072;1.174121;0.955532;1.188104;
0.002470;-0.399090;0.206515;0.113006;1.182138;0.957027;1.187529;
0.002480;-0.398409;0.207167;0.112967;1.190031;0.958555;1.186956;
0.002490;-0.397693;0.207839;0.112954;1.197789;0.960118;1.186385;
0.002500;-0.396944;0.208529;0.112967;1.205407;0.961718;1.185820;
0.002510;-0.396161;0.209238;0.113006;1.212875;0.963356;1.185263;
0.002520;-0.395345;0.209965;0.113069;1.220186;0.965032;1.184717;
0.002530;-0.394497;0.210709;0.113157;1.227333;0.966748;1.184184;
0.002540;-0.393617;0.211470;0.113269;1.234309;0.968505;1.183666;
0.002550;-0.392706;0.212246;0.113404;1.241105;0.970302;1.183165;
0.002560;-0.391764;0.213038;0.113561;1.247717;0.972142;1.182684;
0.002570;-0.390792;0.213844;0.113741;1.254135;0.974025;1.182225;
0.002580;-0.389790;0.214663;0.113941;1.260355;0.975950;1.181789;
0.002590;-0.388759;0.215495;0.114163;1.266369;0.977919;1.181378;
0.002600;-0.387700;0.216340;0.114403;1.272172;0.979933;1.180995;
0.002610;-0.386613;0.217195;0.114663;1.277758;0.981990;1.180640;
0.002620;-0.385500;0.218061;0.114941;1.283120;0.984092;1.180315;
0.002630;-0.384359;0.218936;0.115236;1.288255;0.986239;1.180023;
0.002640;-0.383193;0.219821;0.115548;1.293155;0.988430;1.179763;
0.002650;-0.382003;0.220713;0.115876;1.297817;0.990666;1.179538;
0.002660;-0.380788;0.221611;0.116218;1.302236;0.992946;1.179348;
0.002670;-0.379549;0.222516;0.116575;1.306406;0.995270;1.179195;
0.002680;-0.378288;0.223426;0.116944;1.310325;0.997638;1.179079;
0.002690;-0.377005;0.224340;0.117325;1.313988;1.000049;1.179002;
0.002700;-0.375701;0.225257;0.117718;1.317392;1.002504;1.178965;
0.002710;-0.374377;0.226176;0.118121;1.320532;1.005000;1.178967;
0.002720;-0.373033;0.227097;0.118533;1.323406;1.007539;1.179010;
0.002730;-0.371670;0.228018;0.118953;1.326011;1.010118;1.179093;
0.002740;-0.370289;0.228938;0.119380;1.328345;1.012737;1.179219;
0.002750;-0.368892;0.229857;0.119814;1.330404;1.015395;1.179385;
0.002760;-0.367478;0.230772;0.120254;1.332188;1.018092;1.179594;
0.002770;-0.366049;0.231685;0.120697;1.333694;1.020826;1.179844;
0.002780;-0.364606;0.232592;0.121144;1.334921;1.023595;1.180136;
0.002790;-0.363148;0.233494;0.121593;1.335867;1.026400;1.180470;
0.002800;-0.361678;0.234389;0.122043;1.336532;1.029237;1.180845;
0.002810;-0.360197;0.235277;0.122494;1.336916;1.032107;1.181262;
0.002820;-0.358704;0.236156;0.122944;1.337017;1.035008;1.181719;
0.002830;-0.357200;0.237026;0.123392;1.336837;1.037938;1.182216;
0.002840;-0.355688;0.237885;0.123837;1.336374;1.040895;1.182752;
0.002850;-0.354167;0.238732;0.124279;1.335630;1.043878;1.183328;
0.002860;-0.352638;0.239568;0.124716;1.334606;1.046885;1.183941;
0.002870;-0.351103;0.240389;0.125147;1.333302;1.049915;1.184592;
0.002880;-0.349562;0.241197;0.125571;1.331720;1.052966;1.185278;
0.002890;-0.348016;0.241989;0.125987;1.329862;1.056035;1.186000;
0.002900;-0.346465;0.242765;0.126395;1.327729;1.059121;1.186755;
0.002910;-0.344911;0.243523;0.126793;1.325324;1.062222;1.187543;
0.002920;-0.343355;0.244264;0.127181;1.322649;1.065336;1.188362;
0.002930;-0.341796;0.244986;0.127557;1.319707;1.068460;1.189211;
0.002940;-0.340237;0.245689;0.127920;1.316501;1.071594;1.190089;
0.002950;-0.338678;0.246370;0.128270;1.313034;1.074733;1.190993;
0.002960;-0.337119;0.247031;0.128606;1.309310;1.077877;1.191922;
0.002970;-0.335562;0.247669;0.128927;1.305333;1.081023;1.192875;
0.002980;-0.334007;0.248284;0.129231;1.301106;1.084169;1.193849;
0.002990;-0.332454;0.248876;0.129519;1.296633;1.087312;1.194843;
0.003000;-0.330906;0.249443;0.129789;1.291920;1.090450;1.195855;
0.003010;-0.329362;0.249984;0.130040;1.286971;1.093581;1.196883;
0.003020;-0.327823;0.250500;0.130273;1.281790;1.096703;1.197924;
0.003030;-0.326290;0.250990;0.130485;1.276383;1.099812;1.198978;
0.003040;-0.324763;0.251452;0.130677;1.270756;1.102907;1.200041;
0.003050;-0.323243;0.251886;0.130847;1.264913;1.105985;1.201111;
0.003060;-0.321731;0.252292;0.130995;1.258861;1.109043;1.202187;
0.003070;-0.320228;0.252668;0.131121;1.252605;1.112080;1.203265;
0.003080;-0.318733;0.253016;0.131222;1.246152;1.115093;1.204344;
0.003090;-0.317248;0.253333;0.131300;1.239507;1.118078;1.205422;
0.003100;-0.315773;0.253619;0.131354;1.232678;1.121035;1.206495;
0.003110;-0.314309;0.253875;0.131382;1.225670;1.123960;1.207561;
0.003120;-0.312856;0.254098;0.131385;1.218492;1.126850;1.208619;
0.003130;-0.311415;0.254290;0.131361;1.211149;1.129704;1.209665;
0.003140;-0.309986;0.254450;0.131311;1.203648;1.132519;1.210696;
0.003150;-0.308569;0.254577;0.131234;1.195997;1.135292;1.211712;
0.003160;-0.307166;0.254672;0.131130;1.188203;1.138021;1.212708;
0.003170;-0.305776;0.254732;0.130998;1.180274;1.140704;1.213682;
0.003180;-0.304400;0.254760;0.130838;1.172216;1.143339;1.214633;
0.003190;-0.303038;0.254754;0.130649;1.164038;1.145922;1.215556;
0.003200;-0.301691;0.254714;0.130432;1.155747;1.148451;1.216450;
0.003210;-0.300358;0.254639;0.130186;1.147351;1.150925;1.217312;
0.003220;-0.299041;0.254531;0.129910;1.138857;1.153341;1.218140;
0.003230;-0.297739;0.254389;0.129606;1.130275;1.155697;1.218930;
0.003240;-0.296452;0.254212;0.129272;1.121610;1.157990;1.219681;
0.003250;-0.295182;0.254000;0.128908;1.112872;1.160218;1.220389;
0.003260;-0.293928;0.253754;0.128515;1.104069;1.162380;1.221053;
0.003270;-0.292690;0.253474;0.128092;1.095208;1.164473;1.221670;
0.003280;-0.291468;0.253160;0.127640;1.086298;1.166495;1.222237;
0.003290;-0.290263;0.252812;0.127158;1.077346;1.168444;1.222752;
0.003300;-0.289074;0.252429;0.126647;1.068360;1.170319;1.223213;
0.003310;-0.287902;0.252012;0.126106;1.059349;1.172116;1.223616;
0.003320;-0.286747;0.251562;0.125535;1.050321;1.173836;1.223960;
0.003330;-0.285608;0.251078;0.124936;1.041283;1.175474;1.224243;
0.003340;-0.284486;0.250561;0.124307;1.032244;1.177031;1.224461;
0.003350;-0.283381;0.250011;0.123650;1.023210;1.178505;1.224614;
0.003360;-0.282292;0.249429;0.122964;1.014191;1.179893;1.224698;
0.003370;-0.281220;0.248814;0.122250;1.005194;1.181194;1.224712;
0.003380;-0.280164;0.248167;0.121508;0.996226;1.182407;1.224653;
0.003390;-0.279124;0.247488;0.120739;0.987296;1.183530;1.224519;
0.003400;-0.278101;0.246778;0.119942;0.978409;1.184563;1.224309;
0.003410;-0.277093;0.246038;0.119119;0.969575;1.185503;1.224021;
0.003420;-0.276102;0.245267;0.118269;0.960800;1.186350;1.223652;
0.003430;-0.275125;0.244467;0.117393;0.952092;1.187102;1.223201;
0.003440;-0.274164;0.243637;0.116492;0.943457;1.187758;1.222666;
0.003450;-0.273218;0.242779;0.115566;0.934902;1.188318;1.222045;
0.003460;-0.272287;0.241893;0.114615;0.926435;1.188781;1.221337;
0.003470;-0.271370;0.240979;0.113641;0.918061;1.189145;1.220540;
0.003480;-0.270468;0.240039;0.112644;0.909788;1.189411;1.219654;
0.003490;-0.269578;0.239072;0.111624;0.901622;1.189576;1.218676;
0.003500;-0.268703;0.238079;0.110582;0.893568;1.189642;1.217604;
0.003510;-0.267840;0.237062;0.109519;0.885633;1.189606;1.216439;
0.003520;-0.266990;0.236021;0.108435;0.877822;1.189470;1.215179;
0.003530;-0.266152;0.234956;0.107331;0.870142;1.189232;1.213822;
0.003540;-0.265325;0.233869;0.106208;0.862598;1.188892;1.212368;
0.003550;-0.264510;0.232759;0.105067;0.855195;1.188450;1.210816;
0.003560;-0.263706;0.231629;0.103908;0.847937;1.187905;1.209165;
0.003570;-0.262912;0.230478;0.102733;0.840831;1.187259;1.207414;
0.003580;-0.262127;0.229308;0.101541;0.833880;1.186511;1.205563;
0.003590;-0.261352;0.228119;0.100334;0.827088;1.185660;1.203611;
0.003600;-0.260586;0.226912;0.099113;0.820461;1.184708;1.201557;
0.003610;-0.259828;0.225688;0.097878;0.814003;1.183655;1.199402;
0.003620;-0.259077;0.224448;0.096630;0.807716;1.182500;1.197145;
0.003630;-0.258334;0.223193;0.095370;0.801604;1.181245;1.194785;
0.003640;-0.257597;0.221923;0.094100;0.795671;1.179889;1.192323;
0.003650;-0.256866;0.220640;0.092820;0.789920;1.178434;1.189759;
0.003660;-0.256140;0.219344;0.091530;0.784354;1.176880;1.187092;
0.003670;-0.255419;0.218036;0.090232;0.778975;1.175228;1.184323;
0.003680;-0.254702;0.216717;0.088927;0.773785;1.173478;1.181452;
0.003690;-0.253988;0.215389;0.087615;0.768787;1.171633;1.178479;
0.003700;-0.253277;0.214051;0.086298;0.763983;1.169691;1.175406;
0.003710;-0.252569;0.212706;0.084976;0.759374;1.167656;1.172231;
0.003720;-0.251862;0.211353;0.083651;0.754961;1.165527;1.168956;
0.003730;-0.251156;0.209994;0.082323;0.750746;1.163306;1.165583;
0.003740;-0.250450;0.208629;0.080993;0.746729;1.160994;1.162110;
