time;SM_circuit_vTermA;SM_circuit_vTermB;SM_circuit_vTermC;SM_circuit_iStatorA;SM_circuit_iStatorB;SM_circuit_iStatorC;SM_circuit_Wr;SM_circuit_Te;
0.000560;0.001851;-0.669715;0.667863;-0.020104;0.012825;0.007279;1.000000;0.008095;
0.000570;0.001952;-0.669110;0.667158;-0.020819;0.013252;0.007566;1.000000;0.008418;
0.000580;0.002056;-0.668509;0.666453;-0.021546;0.013686;0.007860;1.000000;0.008749;
0.000590;0.002163;-0.667910;0.665747;-0.022284;0.014125;0.008159;1.000000;0.009088;
0.000600;0.002274;-0.667314;0.665040;-0.023035;0.014570;0.008465;1.000000;0.009433;
0.000610;0.002389;-0.666721;0.664332;-0.023796;0.015019;0.008777;1.000000;0.009786;
0.000620;0.002508;-0.666131;0.663624;-0.024570;0.015475;0.009095;1.000000;0.010147;
0.000630;0.002630;-0.665544;0.662914;-0.025355;0.015935;0.009419;1.000000;0.010514;
0.000640;0.002756;-0.664959;0.662204;-0.026151;0.016401;0.009750;1.000000;0.010890;
0.000650;0.002886;-0.664378;0.661492;-0.026959;0.016872;0.010087;1.000000;0.011273;
0.000660;0.003020;-0.663799;0.660780;-0.027778;0.017348;0.010430;1.000000;0.011664;
0.000670;0.003158;-0.663224;0.660066;-0.028608;0.017828;0.010780;1.000000;0.012062;
0.000680;0.003299;-0.662651;0.659352;-0.029450;0.018314;0.011136;1.000000;0.012468;
0.000690;0.003445;-0.662082;0.658636;-0.030303;0.018805;0.011498;1.000000;0.012881;
0.000700;0.003596;-0.661515;0.657919;-0.031167;0.019300;0.011867;1.000000;0.013303;
0.000710;0.003750;-0.660952;0.657202;-0.032042;0.019800;0.012242;1.000000;0.013732;
0.000720;0.003909;-0.660391;0.656483;-0.032928;0.020305;0.012624;1.000000;0.014169;
0.000730;0.004071;-0.659834;0.655762;-0.033826;0.020814;0.013012;1.000000;0.014614;
0.000740;0.004239;-0.659280;0.655041;-0.034734;0.021328;0.013406;1.000000;0.015067;
0.000750;0.004410;-0.658729;0.654318;-0.035653;0.021846;0.013807;1.000000;0.015528;
0.000760;0.004586;-0.658181;0.653594;-0.036583;0.022369;0.014214;1.000000;0.015996;
0.000770;0.004767;-0.657636;0.652869;-0.037523;0.022895;0.014628;1.000000;0.016473;
0.000780;0.004952;-0.657094;0.652142;-0.038475;0.023426;0.015048;1.000000;0.016958;
0.000790;0.005142;-0.656556;0.651414;-0.039437;0.023961;0.015475;1.000000;0.017450;
0.000800;0.005336;-0.656021;0.650685;-0.040409;0.024501;0.015909;1.000000;0.017951;
0.000810;0.005535;-0.655489;0.649954;-0.041392;0.025044;0.016349;1.000000;0.018460;
0.000820;0.005739;-0.654960;0.649221;-0.042386;0.025591;0.016795;1.000000;0.018977;
0.000830;0.005948;-0.654435;0.648487;-0.043390;0.026142;0.017248;0.999999;0.019502;
0.000840;0.006161;-0.653913;0.647752;-0.044405;0.026697;0.017708;0.999999;0.020036;
0.000850;0.006380;-0.653394;0.647015;-0.045429;0.027255;0.018174;0.999999;0.020577;
0.000860;0.006603;-0.652879;0.646276;-0.046464;0.027817;0.018647;0.999999;0.021127;
0.000870;0.006831;-0.652366;0.645535;-0.047510;0.028383;0.019127;0.999999;0.021685;
0.000880;0.007064;-0.651858;0.644793;-0.048565;0.028952;0.019613;0.999999;0.022252;
0.000890;0.007303;-0.651352;0.644050;-0.049630;0.029525;0.020105;0.999999;0.022826;
0.000900;0.007546;-0.650850;0.643304;-0.050706;0.030101;0.020605;0.999999;0.023409;
0.000910;0.007795;-0.650352;0.642557;-0.051791;0.030680;0.021111;0.999999;0.024001;
0.000920;0.008048;-0.649856;0.641808;-0.052886;0.031263;0.021623;0.999999;0.024601;
0.000930;0.008307;-0.649365;0.641057;-0.053991;0.031849;0.022143;0.999999;0.025209;
0.000940;0.008572;-0.648876;0.640304;-0.055106;0.032438;0.022668;0.999999;0.025825;
0.000950;0.008841;-0.648391;0.639550;-0.056231;0.033030;0.023201;0.999999;0.026450;
0.000960;0.009116;-0.647910;0.638793;-0.057365;0.033625;0.023740;0.999999;0.027084;
0.000970;0.009397;-0.647432;0.638035;-0.058509;0.034222;0.024286;0.999999;0.027726;
0.000980;0.009683;-0.646957;0.637274;-0.059662;0.034823;0.024839;0.999999;0.028376;
0.000990;0.009974;-0.646486;0.636512;-0.060825;0.035427;0.025398;0.999999;0.029035;
0.001000;0.010271;-0.646018;0.635747;-0.061997;0.036033;0.025964;0.999999;0.029703;
0.001010;0.010573;-0.645554;0.634981;-0.063178;0.036642;0.026536;0.999999;0.030379;
0.001020;0.010882;-0.645094;0.634212;-0.064369;0.037253;0.027116;0.999999;0.031063;
0.001030;0.011195;-0.644637;0.633441;-0.065568;0.037867;0.027702;0.999999;0.031756;
0.001040;0.011515;-0.644183;0.632668;-0.066777;0.038483;0.028294;0.999999;0.032458;
0.001050;0.011840;-0.643733;0.631893;-0.067995;0.039102;0.028893;0.999999;0.033168;
0.001060;0.012171;-0.643287;0.631115;-0.069222;0.039723;0.029499;0.999999;0.033887;
0.001070;0.012508;-0.642844;0.630336;-0.070458;0.040346;0.030112;0.999999;0.034615;
0.001080;0.012851;-0.642404;0.629554;-0.071703;0.040972;0.030731;0.999999;0.035351;
0.001090;0.013199;-0.641969;0.628769;-0.072956;0.041599;0.031357;0.999999;0.036096;
0.001100;0.013554;-0.641536;0.627982;-0.074219;0.042229;0.031990;0.999999;0.036849;
0.001110;0.013914;-0.641108;0.627193;-0.075490;0.042861;0.032629;0.999999;0.037611;
0.001120;0.014281;-0.640683;0.626402;-0.076769;0.043494;0.033275;0.999999;0.038382;
0.001130;0.014654;-0.640261;0.625608;-0.078057;0.044130;0.033927;0.999999;0.039161;
0.001140;0.015032;-0.639844;0.624811;-0.079354;0.044767;0.034586;0.999999;0.039950;
0.001150;0.015417;-0.639429;0.624012;-0.080658;0.045406;0.035252;0.999999;0.040746;
0.001160;0.015808;-0.639019;0.623211;-0.081972;0.046047;0.035925;0.999999;0.041552;
0.001170;0.016205;-0.638612;0.622407;-0.083293;0.046689;0.036604;0.999998;0.042366;
0.001180;0.016609;-0.638208;0.621600;-0.084622;0.047333;0.037289;0.999998;0.043189;
0.001190;0.017018;-0.637809;0.620790;-0.085960;0.047978;0.037982;0.999998;0.044020;
0.001200;0.017434;-0.637413;0.619978;-0.087306;0.048625;0.038681;0.999998;0.044861;
0.001210;0.017856;-0.637020;0.619164;-0.088659;0.049273;0.039386;0.999998;0.045710;
0.001220;0.018285;-0.636631;0.618346;-0.090021;0.049923;0.040098;0.999998;0.046568;
0.001230;0.018720;-0.636246;0.617526;-0.091390;0.050574;0.040817;0.999998;0.047434;
0.001240;0.019162;-0.635864;0.616703;-0.092768;0.051226;0.041542;0.999998;0.048309;
0.001250;0.019609;-0.635487;0.615877;-0.094152;0.051879;0.042274;0.999998;0.049193;
0.001260;0.020064;-0.635112;0.615048;-0.095545;0.052533;0.043012;0.999998;0.050086;
0.001270;0.020525;-0.634742;0.614217;-0.096945;0.053188;0.043757;0.999998;0.050987;
0.001280;0.020992;-0.634375;0.613382;-0.098352;0.053844;0.044508;0.999998;0.051897;
0.001290;0.021466;-0.634011;0.612545;-0.099767;0.054501;0.045266;0.999998;0.052816;
0.001300;0.021947;-0.633652;0.611705;-0.101189;0.055159;0.046030;0.999998;0.053743;
0.001310;0.022434;-0.633296;0.610861;-0.102619;0.055818;0.046801;0.999998;0.054679;
0.001320;0.022928;-0.632943;0.610015;-0.104055;0.056477;0.047578;0.999998;0.055624;
0.001330;0.023429;-0.632594;0.609165;-0.105499;0.057137;0.048362;0.999998;0.056578;
0.001340;0.023937;-0.632249;0.608313;-0.106950;0.057798;0.049152;0.999998;0.057540;
0.001350;0.024451;-0.631908;0.607457;-0.108407;0.058459;0.049949;0.999998;0.058511;
0.001360;0.024972;-0.631570;0.606598;-0.109872;0.059120;0.050751;0.999998;0.059491;
0.001370;0.025499;-0.631236;0.605737;-0.111343;0.059783;0.051561;0.999997;0.060479;
0.001380;0.026034;-0.630906;0.604871;-0.112822;0.060445;0.052377;0.999997;0.061476;
0.001390;0.026576;-0.630579;0.604003;-0.114306;0.061108;0.053199;0.999997;0.062482;
0.001400;0.027124;-0.630255;0.603131;-0.115798;0.061771;0.054027;0.999997;0.063496;
