time;EmtFlt_circuit_iSrcA;EmtFlt_circuit_iSrcB;EmtFlt_circuit_iSrcC;EmtFlt_circuit_iFaultA;EmtFlt_circuit_vBusA;EmtFlt_circuit_vBusB;EmtFlt_circuit_vBusC;
0.000590;0.650012;-0.250285;-0.399727;0.000001;1.300022;-0.500569;-0.799453;
0.000600;0.651413;-0.249217;-0.402196;0.000001;1.302823;-0.498433;-0.804390;
0.000610;0.652723;-0.248100;-0.404623;0.000001;1.305444;-0.496200;-0.809244;
0.000620;0.653948;-0.246937;-0.407010;0.000001;1.307893;-0.493874;-0.814019;
0.000630;0.655090;-0.245730;-0.409360;0.000001;1.310178;-0.491459;-0.818719;
0.000640;0.656155;-0.244480;-0.411674;0.000001;1.312306;-0.488959;-0.823347;
0.000650;0.657144;-0.243190;-0.413954;0.000001;1.314286;-0.486380;-0.827906;
0.000660;0.658063;-0.241862;-0.416201;0.000001;1.316123;-0.483723;-0.832400;
0.000670;0.658913;-0.240497;-0.418416;0.000001;1.317824;-0.480994;-0.836830;
0.000680;0.659699;-0.239098;-0.420601;0.000001;1.319394;-0.478195;-0.841200;
0.000690;0.660422;-0.237665;-0.422757;0.000001;1.320841;-0.475329;-0.845512;
0.000700;0.661086;-0.236201;-0.424885;0.000001;1.322170;-0.472401;-0.849769;
0.000710;0.661694;-0.234707;-0.426987;0.000001;1.323385;-0.469412;-0.853972;
0.000720;0.662247;-0.233184;-0.429063;0.000001;1.324491;-0.466366;-0.858125;
0.000730;0.662749;-0.231633;-0.431115;0.000001;1.325494;-0.463265;-0.862229;
0.000740;0.663201;-0.230056;-0.433144;0.000001;1.326399;-0.460112;-0.866287;
0.000750;0.663605;-0.228455;-0.435150;0.000001;1.327208;-0.456909;-0.870299;
0.000760;0.663965;-0.226830;-0.437135;0.000001;1.327927;-0.453658;-0.874268;
0.000770;0.664281;-0.225182;-0.439099;0.000001;1.328558;-0.450363;-0.878196;
0.000780;0.664555;-0.223512;-0.441043;0.000001;1.329107;-0.447024;-0.882084;
0.000790;0.664790;-0.221822;-0.442968;0.000001;1.329576;-0.443643;-0.885933;
