time;NETWORK__BUS____1_TN_Urms;NETWORK__BUS____4_TN_Urms;NETWORK__BUS____9_TN_Urms;NETWORK__BUS___14_TN_Urms;GEN____1_SM_machine_omegaPu;GEN____1_SM_machine_PGenPu;GEN____2_SM_machine_omegaPu;GEN____8_SM_machine_omegaPu;
0.000570;1.453657;1.187567;0.253720;0.198307;1.000002;0.173547;1.000002;0.999990;
0.000580;1.400640;1.177665;0.266156;0.203803;1.000003;0.159119;1.000002;0.999989;
0.000590;1.339964;1.167054;0.278778;0.209250;1.000003;0.145753;1.000002;0.999989;
0.000600;1.273093;1.155951;0.291573;0.214660;1.000003;0.133708;1.000002;0.999989;
0.000610;1.201659;1.144565;0.304523;0.220045;1.000003;0.123143;1.000002;0.999988;
0.000620;1.127433;1.133101;0.317612;0.225420;1.000003;0.114119;1.000002;0.999988;
0.000630;1.052285;1.121752;0.330824;0.230802;1.000003;0.106622;1.000002;0.999987;
0.000640;0.978153;1.110700;0.344143;0.236212;1.000003;0.100580;1.000002;0.999987;
0.000650;0.907002;1.100111;0.357553;0.241667;1.000003;0.095891;1.000002;0.999986;
0.000660;0.840771;1.090130;0.371040;0.247192;1.000003;0.092444;1.000002;0.999986;
0.000670;0.781313;1.080886;0.384589;0.252808;1.000004;0.090147;1.000002;0.999986;
0.000680;0.730313;1.072481;0.398185;0.258541;1.000004;0.088935;1.000002;0.999985;
0.000690;0.689182;1.064996;0.411816;0.264416;1.000004;0.088790;1.000002;0.999985;
0.000700;0.658944;1.058489;0.425468;0.270458;1.000004;0.089736;1.000002;0.999984;
0.000710;0.640141;1.052991;0.439130;0.276695;1.000004;0.091838;1.000002;0.999984;
0.000720;0.632807;1.048508;0.452790;0.283153;1.000004;0.095187;1.000002;0.999984;
0.000730;0.636527;1.045023;0.466440;0.289860;1.000004;0.099883;1.000002;0.999983;
0.000740;0.650571;1.042496;0.480069;0.296842;1.000004;0.106011;1.000002;0.999983;
0.000750;0.674052;1.040864;0.493669;0.304126;1.000004;0.113621;1.000003;0.999983;
0.000760;0.706042;1.040044;0.507235;0.311737;1.000004;0.122707;1.000003;0.999982;
0.000770;0.745615;1.039935;0.520759;0.319702;1.000004;0.133184;1.000003;0.999982;
0.000780;0.791845;1.040423;0.534238;0.328043;1.000004;0.144883;1.000003;0.999981;
0.000790;0.843765;1.041377;0.547667;0.336784;1.000004;0.157543;1.000003;0.999981;
0.000800;0.900324;1.042659;0.561043;0.345945;1.000004;0.170818;1.000003;0.999981;
0.000810;0.960368;1.044121;0.574365;0.355545;1.000004;0.184288;1.000003;0.999980;
0.000820;1.022631;1.045615;0.587633;0.365602;1.000004;0.197482;1.000003;0.999980;
0.000830;1.085753;1.046988;0.600846;0.376130;1.000004;0.209900;1.000003;0.999980;
0.000840;1.148311;1.048090;0.614006;0.387142;1.000004;0.221047;1.000003;0.999980;
0.000850;1.208852;1.048778;0.627114;0.398648;1.000004;0.230465;1.000003;0.999979;
0.000860;1.265944;1.048915;0.640174;0.410655;1.000004;0.237757;1.000003;0.999979;
0.000870;1.318213;1.048373;0.653189;0.423169;1.000004;0.242621;1.000003;0.999979;
0.000880;1.364387;1.047041;0.666164;0.436190;1.000004;0.244863;1.000003;0.999978;
0.000890;1.403330;1.044819;0.679102;0.449718;1.000004;0.244411;1.000003;0.999978;
0.000900;1.434078;1.041627;0.692010;0.463749;1.000004;0.241323;1.000003;0.999978;
0.000910;1.455863;1.037402;0.704891;0.478277;1.000004;0.235772;1.000003;0.999977;
0.000920;1.468135;1.032100;0.717753;0.493291;1.000004;0.228043;1.000003;0.999977;
