time;NETWORK_B0_Urms;MACHINE_machine_omegaPu;MACHINE_machine_PGenPu;MACHINE_machine_UStatorPu;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;
0.000630;1.020688;0.999999;0.515888;1.020687;-0.693341;0.195104;0.498236;
0.000640;1.021893;0.999999;0.516257;1.021893;-0.692533;0.193315;0.499218;
0.000650;1.023046;0.999999;0.516573;1.023046;-0.691705;0.191563;0.500142;
0.000660;1.024141;0.999999;0.516833;1.024141;-0.690856;0.189845;0.501011;
0.000670;1.025172;0.999999;0.517037;1.025172;-0.689988;0.188161;0.501827;
0.000680;1.026136;0.999999;0.517183;1.026136;-0.689103;0.186508;0.502595;
0.000690;1.027026;0.999999;0.517270;1.027026;-0.688201;0.184886;0.503316;
0.000700;1.027838;0.999999;0.517297;1.027839;-0.687285;0.183292;0.503993;
0.000710;1.028569;0.999999;0.517265;1.028570;-0.686355;0.181724;0.504632;
0.000720;1.029215;0.999999;0.517173;1.029215;-0.685413;0.180180;0.505234;
0.000730;1.029771;0.999999;0.517021;1.029771;-0.684460;0.178657;0.505803;
0.000740;1.030234;0.999999;0.516810;1.030234;-0.683498;0.177155;0.506343;
0.000750;1.030602;0.999999;0.516539;1.030602;-0.682529;0.175670;0.506859;
0.000760;1.030872;0.999999;0.516211;1.030873;-0.681553;0.174200;0.507352;
0.000770;1.031042;0.999999;0.515827;1.031043;-0.680572;0.172743;0.507829;
0.000780;1.031111;0.999999;0.515386;1.031112;-0.679587;0.171295;0.508292;
0.000790;1.031077;0.999999;0.514892;1.031078;-0.678601;0.169855;0.508745;
0.000800;1.030939;0.999999;0.514347;1.030940;-0.677614;0.168420;0.509193;
0.000810;1.030698;0.999999;0.513751;1.030699;-0.676627;0.166988;0.509640;
0.000820;1.030353;0.999999;0.513107;1.030353;-0.675643;0.165555;0.510088;
0.000830;1.029904;0.999999;0.512418;1.029905;-0.674662;0.164119;0.510543;
0.000840;1.029353;0.999999;0.511687;1.029354;-0.673686;0.162678;0.511008;
0.000850;1.028702;0.999999;0.510915;1.028703;-0.672716;0.161229;0.511487;
0.000860;1.027951;0.999999;0.510106;1.027952;-0.671752;0.159769;0.511984;
0.000870;1.027104;0.999999;0.509262;1.027105;-0.670797;0.158296;0.512502;
0.000880;1.026163;0.999999;0.508387;1.026164;-0.669851;0.156807;0.513044;
0.000890;1.025131;0.999999;0.507485;1.025132;-0.668916;0.155300;0.513615;
0.000900;1.024012;0.999999;0.506557;1.024013;-0.667991;0.153773;0.514218;
0.000910;1.022810;0.999999;0.505607;1.022810;-0.667078;0.152223;0.514856;
0.000920;1.021528;0.999999;0.504640;1.021529;-0.666179;0.150648;0.515531;
0.000930;1.020171;0.999999;0.503657;1.020172;-0.665293;0.149046;0.516247;
0.000940;1.018745;0.999999;0.502663;1.018745;-0.664421;0.147414;0.517006;
0.000950;1.017254;0.999999;0.501661;1.017254;-0.663563;0.145752;0.517812;
0.000960;1.015703;0.999999;0.500654;1.015704;-0.662721;0.144056;0.518666;
0.000970;1.014099;0.999999;0.499647;1.014100;-0.661895;0.142325;0.519570;
0.000980;1.012447;0.999999;0.498641;1.012447;-0.661085;0.140558;0.520526;
0.000990;1.010753;0.999999;0.497641;1.010754;-0.660291;0.138753;0.521537;
0.001000;1.009024;0.999999;0.496650;1.009024;-0.659513;0.136909;0.522604;
0.001010;1.007265;0.999999;0.495671;1.007265;-0.658752;0.135024;0.523727;
0.001020;1.005483;0.999999;0.494707;1.005483;-0.658007;0.133098;0.524909;
0.001030;1.003685;0.999999;0.493763;1.003685;-0.657278;0.131129;0.526149;
0.001040;1.001876;0.999999;0.492839;1.001876;-0.656565;0.129116;0.527449;
0.001050;1.000065;0.999999;0.491941;1.000065;-0.655869;0.127060;0.528809;
0.001060;0.998256;0.999999;0.491071;0.998256;-0.655188;0.124959;0.530229;
0.001070;0.996458;0.999999;0.490231;0.996457;-0.654522;0.122812;0.531709;
0.001080;0.994675;0.999999;0.489425;0.994675;-0.653870;0.120621;0.533249;
0.001090;0.992915;0.999999;0.488655;0.992914;-0.653233;0.118384;0.534848;
0.001100;0.991184;0.999999;0.487923;0.991183;-0.652608;0.116103;0.536506;
0.001110;0.989488;0.999999;0.487233;0.989487;-0.651997;0.113776;0.538221;
0.001120;0.987833;0.999999;0.486587;0.987831;-0.651397;0.111405;0.539992;
0.001130;0.986225;0.999999;0.485987;0.986223;-0.650808;0.108990;0.541818;
0.001140;0.984669;0.999999;0.485435;0.984667;-0.650229;0.106532;0.543697;
0.001150;0.983171;0.999999;0.484933;0.983170;-0.649659;0.104032;0.545627;
0.001160;0.981737;0.999999;0.484483;0.981735;-0.649097;0.101491;0.547607;
0.001170;0.980372;0.999999;0.484087;0.980369;-0.648542;0.098909;0.549633;
0.001180;0.979079;0.999999;0.483747;0.979077;-0.647993;0.096289;0.551704;
0.001190;0.977864;0.999999;0.483464;0.977862;-0.647448;0.093631;0.553817;
0.001200;0.976732;0.999999;0.483240;0.976729;-0.646907;0.090937;0.555970;
0.001210;0.975686;0.999999;0.483075;0.975683;-0.646367;0.088209;0.558158;
0.001220;0.974730;0.999999;0.482971;0.974726;-0.645829;0.085449;0.560380;
0.001230;0.973867;0.999999;0.482928;0.973863;-0.645290;0.082659;0.562631;
0.001240;0.973101;0.999999;0.482948;0.973097;-0.644749;0.079840;0.564909;
