time;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;GEN_generator_delta;LOAD_load_PPu;LOAD_load_QPu;OMEGA_REF_omegaRef_grp_0_value;NETWORK_BUS_Upu_value;
5.200000;0.906000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.906000;0.990591;
5.300000;0.904000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.904000;0.990591;
5.400000;0.902000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.902000;0.990591;
5.500000;0.900000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.900000;0.990591;
5.600000;0.898000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.898000;0.990591;
5.700000;0.896000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.896000;0.990591;
5.800000;0.894000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.894000;0.990591;
5.900000;0.892000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.892000;0.990591;
6.000000;0.890000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.890000;0.990591;
6.100000;0.888000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.888000;0.990591;
6.200000;0.886000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.886000;0.990591;
6.300000;0.884000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.884000;0.990591;
6.400000;0.882000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.882000;0.990591;
6.500000;0.880000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.880000;0.990591;
6.600000;0.878000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.878000;0.990591;
6.700000;0.876000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.876000;0.990591;
6.800000;0.874000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.874000;0.990591;
6.900000;0.872000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.872000;0.990591;
7.000000;0.870000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.870000;0.990591;
7.100000;0.868000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.868000;0.990591;
7.200000;0.866000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.866000;0.990591;
7.300000;0.864000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.864000;0.990591;
7.400000;0.862000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.862000;0.990591;
7.500000;0.860000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.860000;0.990591;
7.600000;0.858000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.858000;0.990591;
7.700000;0.856000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.856000;0.990591;
7.800000;0.854000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.854000;0.990591;
7.900000;0.852000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.852000;0.990591;
8.000000;0.850000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.850000;0.990591;
8.100000;0.848000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.848000;0.990591;
8.200000;0.846000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.846000;0.990591;
8.300000;0.844000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.844000;0.990591;
8.400000;0.842000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.842000;0.990591;
8.500000;0.840000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.840000;0.990591;
8.600000;0.838000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.838000;0.990591;
8.700000;0.836000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.836000;0.990591;
8.800000;0.834000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.834000;0.990591;
8.900000;0.832000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.832000;0.990591;
9.000000;0.830000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.830000;0.990591;
9.100000;0.828000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.828000;0.990591;
9.200000;0.826000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.826000;0.990591;
9.300000;0.824000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.824000;0.990591;
9.400000;0.822000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.822000;0.990591;
9.500000;0.820000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.820000;0.990591;
9.600000;0.818000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.818000;0.990591;
9.700000;0.816000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.816000;0.990591;
9.800000;0.814000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.814000;0.990591;
9.900000;0.812000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.812000;0.990591;
10.000000;0.810000;1.200000;0.200000;0.990591;0.189988;1.200000;0.200000;0.810000;0.990591;
