time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;SM_generator_UStatorPu;SM_compensator_VcPu;
1.007772;1.000864;2.307074;0.475280;7.000000;0.475280;0.475289;
1.009820;1.001092;2.310794;0.470682;7.000000;0.470682;0.470694;
1.011868;1.001320;2.315161;0.466419;7.000000;0.466419;0.466430;
1.013916;1.001548;2.320114;0.462466;7.000000;0.462466;0.462477;
1.015964;1.001776;2.325599;0.458802;7.000000;0.458802;0.458812;
1.018012;1.002004;2.331568;0.455405;7.000000;0.455405;0.455414;
1.020060;1.002232;2.337977;0.452256;7.000000;0.452256;0.452264;
1.022108;1.002459;2.344787;0.449336;7.000000;0.449336;0.449343;
1.024156;1.002687;2.351962;0.446629;7.000000;0.446629;0.446635;
1.028252;1.003142;2.367256;0.441777;7.000000;0.441777;0.441777;
1.031939;1.003551;2.381990;0.437993;7.000000;0.437993;0.437994;
1.035625;1.003960;2.397508;0.434688;7.000000;0.434688;0.434690;
1.039311;1.004368;2.413703;0.431799;7.000000;0.431799;0.431801;
1.042998;1.004776;2.430485;0.429272;7.000000;0.429272;0.429274;
1.044960;1.004993;2.439624;0.428055;7.000000;0.428055;0.428056;
1.044960;1.004993;2.439625;0.428055;6.999960;0.428055;0.428055;
1.044961;1.004993;2.439629;0.428055;7.000000;0.428055;0.428055;
1.044962;1.004993;2.439634;0.428054;7.000000;0.428054;0.428054;
1.044964;1.004993;2.439643;0.428053;6.999998;0.428053;0.428053;
1.044968;1.004993;2.439662;0.428050;7.000000;0.428050;0.428050;
1.044976;1.004994;2.439700;0.428046;7.000000;0.428046;0.428046;
1.044992;1.004996;2.439775;0.428036;7.000000;0.428036;0.428036;
1.045024;1.005000;2.439926;0.428017;7.000000;0.428017;0.428017;
1.045088;1.005007;2.440227;0.427979;7.000000;0.427979;0.427979;
1.045216;1.005021;2.440829;0.427904;7.000000;0.427904;0.427904;
1.045472;1.005049;2.442036;0.427754;7.000000;0.427754;0.427754;
1.045984;1.005106;2.444457;0.427458;7.000000;0.427458;0.427458;
1.047008;1.005219;2.449323;0.426882;7.000000;0.426882;0.426882;
1.049056;1.005445;2.459155;0.425789;7.000000;0.425789;0.425789;
1.053152;1.005896;2.479178;0.423820;7.000000;0.423820;0.423820;
1.057248;1.006347;2.499635;0.422109;7.000000;0.422109;0.422110;
1.061344;1.006797;2.520470;0.420620;7.000000;0.420620;0.420620;
1.065440;1.007247;2.541639;0.419321;7.000000;0.419321;0.419329;
1.069536;1.007695;2.563077;0.418181;7.000000;0.418181;0.418194;
1.070000;1.007746;2.565519;0.418060;7.000000;0.418060;0.418073;
1.070000;1.007746;18.082175;0.850658;7.000000;0.850658;0.850657;
1.070001;1.007746;18.082252;0.850662;7.000000;0.850662;0.850662;
1.070002;1.007746;18.082329;0.850666;7.000000;0.850666;0.850666;
1.070004;1.007746;18.082484;0.850673;7.000000;0.850673;0.850673;
1.070008;1.007746;18.082792;0.850689;7.000000;0.850689;0.850689;
1.070016;1.007746;18.083408;0.850719;7.000000;0.850719;0.850719;
1.070032;1.007746;18.084640;0.850779;7.000000;0.850779;0.850779;
1.070064;1.007747;18.087104;0.850901;7.000000;0.850901;0.850901;
1.070128;1.007748;18.092027;0.851143;7.000000;0.851143;0.851143;
1.070256;1.007749;18.101856;0.851625;7.000000;0.851625;0.851625;
1.070512;1.007752;18.121449;0.852585;7.000000;0.852585;0.852585;
1.071024;1.007758;18.160375;0.854484;7.000000;0.854484;0.854483;
