time;EmtTfoYD_circuit_vPrimA;EmtTfoYD_circuit_vSecA;EmtTfoYD_circuit_vSecB;EmtTfoYD_circuit_vSecC;
0.000970;1.349721;0.794206;-0.559308;-0.234898;
0.000980;1.348388;0.794790;-0.557438;-0.237352;
0.000990;1.347041;0.795367;-0.555563;-0.239804;
0.001000;1.345682;0.795936;-0.553683;-0.242253;
0.001010;1.344309;0.796497;-0.551797;-0.244700;
0.001020;1.342923;0.797050;-0.549906;-0.247144;
0.001030;1.341523;0.797595;-0.548009;-0.249586;
0.001040;1.340111;0.798132;-0.546107;-0.252025;
0.001050;1.338685;0.798662;-0.544200;-0.254462;
0.001060;1.337246;0.799184;-0.542287;-0.256897;
0.001070;1.335793;0.799697;-0.540369;-0.259328;
0.001080;1.334328;0.800203;-0.538445;-0.261758;
0.001090;1.332849;0.800701;-0.536516;-0.264185;
0.001100;1.331357;0.801191;-0.534582;-0.266609;
0.001110;1.329852;0.801673;-0.532643;-0.269030;
0.001120;1.328334;0.802147;-0.530698;-0.271449;
0.001130;1.326803;0.802613;-0.528748;-0.273865;
0.001140;1.325259;0.803072;-0.526793;-0.276279;
0.001150;1.323701;0.803522;-0.524833;-0.278689;
0.001160;1.322131;0.803965;-0.522867;-0.281097;
0.001170;1.320547;0.804399;-0.520897;-0.283503;
0.001180;1.318951;0.804826;-0.518921;-0.285905;
0.001190;1.317341;0.805245;-0.516940;-0.288305;
0.001200;1.315719;0.805655;-0.514954;-0.290701;
0.001210;1.314083;0.806058;-0.512963;-0.293095;
0.001220;1.312435;0.806453;-0.510967;-0.295486;
0.001230;1.310773;0.806840;-0.508965;-0.297874;
0.001240;1.309099;0.807219;-0.506959;-0.300259;
0.001250;1.307411;0.807590;-0.504948;-0.302642;
0.001260;1.305711;0.807953;-0.502932;-0.305021;
0.001270;1.303998;0.808308;-0.500911;-0.307397;
0.001280;1.302272;0.808655;-0.498884;-0.309770;
0.001290;1.300533;0.808994;-0.496853;-0.312140;
0.001300;1.298782;0.809325;-0.494817;-0.314507;
0.001310;1.297017;0.809648;-0.492777;-0.316871;
0.001320;1.295240;0.809963;-0.490731;-0.319232;
0.001330;1.293450;0.810270;-0.488680;-0.321589;
0.001340;1.291647;0.810569;-0.486625;-0.323944;
0.001350;1.289831;0.810860;-0.484565;-0.326295;
0.001360;1.288003;0.811143;-0.482500;-0.328643;
0.001370;1.286162;0.811418;-0.480430;-0.330988;
0.001380;1.284308;0.811685;-0.478356;-0.333329;
0.001390;1.282442;0.811944;-0.476276;-0.335668;
0.001400;1.280563;0.812195;-0.474193;-0.338003;
0.001410;1.278671;0.812438;-0.472104;-0.340334;
0.001420;1.276767;0.812673;-0.470011;-0.342662;
0.001430;1.274850;0.812900;-0.467913;-0.344987;
0.001440;1.272921;0.813119;-0.465810;-0.347309;
0.001450;1.270979;0.813330;-0.463703;-0.349627;
0.001460;1.269024;0.813533;-0.461592;-0.351941;
0.001470;1.267057;0.813728;-0.459475;-0.354252;
0.001480;1.265077;0.813915;-0.457355;-0.356560;
0.001490;1.263085;0.814093;-0.455229;-0.358864;
0.001500;1.261080;0.814264;-0.453100;-0.361165;
0.001510;1.259063;0.814427;-0.450965;-0.363461;
0.001520;1.257034;0.814582;-0.448827;-0.365755;
0.001530;1.254992;0.814728;-0.446684;-0.368045;
0.001540;1.252938;0.814867;-0.444536;-0.370331;
0.001550;1.250871;0.814997;-0.442384;-0.372613;
0.001560;1.248792;0.815120;-0.440228;-0.374892;
0.001570;1.246701;0.815234;-0.438067;-0.377167;
0.001580;1.244597;0.815341;-0.435902;-0.379438;
0.001590;1.242482;0.815439;-0.433733;-0.381706;
0.001600;1.240353;0.815530;-0.431560;-0.383970;
0.001610;1.238213;0.815612;-0.429382;-0.386230;
0.001620;1.236060;0.815686;-0.427200;-0.388486;
0.001630;1.233896;0.815752;-0.425014;-0.390739;
0.001640;1.231719;0.815811;-0.422823;-0.392987;
0.001650;1.229530;0.815861;-0.420629;-0.395232;
0.001660;1.227328;0.815903;-0.418430;-0.397473;
0.001670;1.225115;0.815937;-0.416227;-0.399710;
0.001680;1.222889;0.815963;-0.414020;-0.401943;
0.001690;1.220652;0.815980;-0.411809;-0.404171;
0.001700;1.218402;0.815990;-0.409594;-0.406396;
0.001710;1.216141;0.815992;-0.407375;-0.408617;
0.001720;1.213867;0.815986;-0.405151;-0.410834;
0.001730;1.211582;0.815971;-0.402924;-0.413047;
0.001740;1.209284;0.815949;-0.400693;-0.415256;
0.001750;1.206974;0.815919;-0.398458;-0.417461;
0.001760;1.204653;0.815880;-0.396219;-0.419661;
0.001770;1.202320;0.815834;-0.393976;-0.421858;
0.001780;1.199975;0.815779;-0.391729;-0.424050;
0.001790;1.197618;0.815716;-0.389478;-0.426238;
0.001800;1.195249;0.815646;-0.387224;-0.428422;
0.001810;1.192868;0.815567;-0.384965;-0.430602;
0.001820;1.190476;0.815480;-0.382703;-0.432777;
0.001830;1.188072;0.815385;-0.380437;-0.434948;
0.001840;1.185656;0.815282;-0.378167;-0.437115;
0.001850;1.183228;0.815171;-0.375894;-0.439277;
0.001860;1.180789;0.815052;-0.373617;-0.441436;
0.001870;1.178338;0.814925;-0.371336;-0.443589;
0.001880;1.175876;0.814790;-0.369051;-0.445739;
0.001890;1.173401;0.814647;-0.366763;-0.447884;
0.001900;1.170916;0.814496;-0.364471;-0.450025;
0.001910;1.168418;0.814337;-0.362176;-0.452161;
0.001920;1.165910;0.814170;-0.359877;-0.454292;
0.001930;1.163389;0.813994;-0.357575;-0.456420;
0.001940;1.160858;0.813811;-0.355269;-0.458542;
0.001950;1.158314;0.813620;-0.352959;-0.460661;
0.001960;1.155760;0.813420;-0.350646;-0.462774;
0.001970;1.153194;0.813213;-0.348330;-0.464883;
0.001980;1.150616;0.812998;-0.346010;-0.466988;
0.001990;1.148027;0.812774;-0.343686;-0.469088;
0.002000;1.145427;0.812543;-0.341360;-0.471183;
0.002010;1.142816;0.812303;-0.339029;-0.473274;
0.002020;1.140193;0.812056;-0.336696;-0.475360;
0.002030;1.137559;0.811800;-0.334359;-0.477441;
0.002040;1.134914;0.811537;-0.332019;-0.479517;
0.002050;1.132257;0.811265;-0.329676;-0.481589;
0.002060;1.129590;0.810986;-0.327329;-0.483656;
0.002070;1.126911;0.810698;-0.324979;-0.485719;
0.002080;1.124221;0.810402;-0.322626;-0.487776;
0.002090;1.121520;0.810099;-0.320270;-0.489829;
0.002100;1.118808;0.809787;-0.317911;-0.491877;
0.002110;1.116085;0.809468;-0.315548;-0.493920;
0.002120;1.113351;0.809140;-0.313183;-0.495958;
0.002130;1.110606;0.808805;-0.310814;-0.497991;
0.002140;1.107850;0.808461;-0.308442;-0.500019;
0.002150;1.105083;0.808110;-0.306067;-0.502043;
0.002160;1.102305;0.807750;-0.303689;-0.504061;
0.002170;1.099516;0.807383;-0.301308;-0.506074;
0.002180;1.096717;0.807008;-0.298925;-0.508083;
0.002190;1.093906;0.806624;-0.296538;-0.510086;
0.002200;1.091085;0.806233;-0.294148;-0.512085;
0.002210;1.088253;0.805834;-0.291756;-0.514078;
0.002220;1.085410;0.805426;-0.289360;-0.516066;
0.002230;1.082557;0.805011;-0.286962;-0.518049;
0.002240;1.079693;0.804588;-0.284561;-0.520028;
0.002250;1.076818;0.804157;-0.282157;-0.522000;
0.002260;1.073932;0.803718;-0.279750;-0.523968;
0.002270;1.071036;0.803271;-0.277340;-0.525931;
0.002280;1.068130;0.802816;-0.274928;-0.527888;
0.002290;1.065213;0.802353;-0.272513;-0.529840;
0.002300;1.062285;0.801883;-0.270095;-0.531787;
0.002310;1.059347;0.801404;-0.267675;-0.533729;
0.002320;1.056398;0.800918;-0.265252;-0.535666;
0.002330;1.053439;0.800423;-0.262826;-0.537597;
0.002340;1.050470;0.799921;-0.260398;-0.539523;
0.002350;1.047490;0.799411;-0.257967;-0.541443;
0.002360;1.044500;0.798893;-0.255534;-0.543358;
0.002370;1.041500;0.798367;-0.253098;-0.545268;
0.002380;1.038489;0.797833;-0.250660;-0.547173;
0.002390;1.035468;0.797291;-0.248219;-0.549072;
0.002400;1.032437;0.796741;-0.245776;-0.550965;
0.002410;1.029395;0.796184;-0.243330;-0.552854;
0.002420;1.026344;0.795618;-0.240882;-0.554736;
0.002430;1.023282;0.795045;-0.238432;-0.556614;
0.002440;1.020210;0.794464;-0.235979;-0.558485;
0.002450;1.017129;0.793875;-0.233524;-0.560352;
0.002460;1.014037;0.793279;-0.231066;-0.562212;
0.002470;1.010935;0.792674;-0.228607;-0.564068;
0.002480;1.007823;0.792062;-0.226145;-0.565917;
0.002490;1.004701;0.791442;-0.223680;-0.567761;
0.002500;1.001570;0.790814;-0.221214;-0.569600;
0.002510;0.998428;0.790178;-0.218745;-0.571432;
0.002520;0.995277;0.789534;-0.216275;-0.573260;
0.002530;0.992115;0.788883;-0.213802;-0.575081;
0.002540;0.988944;0.788224;-0.211327;-0.576897;
0.002550;0.985763;0.787557;-0.208850;-0.578707;
0.002560;0.982573;0.786882;-0.206370;-0.580511;
0.002570;0.979373;0.786199;-0.203889;-0.582310;
0.002580;0.976163;0.785509;-0.201406;-0.584103;
0.002590;0.972943;0.784811;-0.198921;-0.585890;
0.002600;0.969714;0.784105;-0.196434;-0.587672;
0.002610;0.966475;0.783392;-0.193945;-0.589447;
0.002620;0.963227;0.782671;-0.191454;-0.591217;
0.002630;0.959969;0.781942;-0.188961;-0.592981;
0.002640;0.956702;0.781205;-0.186466;-0.594739;
0.002650;0.953425;0.780461;-0.183969;-0.596491;
0.002660;0.950139;0.779709;-0.181471;-0.598238;
0.002670;0.946844;0.778949;-0.178971;-0.599978;
0.002680;0.943539;0.778181;-0.176469;-0.601713;
0.002690;0.940225;0.777406;-0.173965;-0.603441;
0.002700;0.936901;0.776623;-0.171460;-0.605164;
0.002710;0.933569;0.775833;-0.168952;-0.606880;
0.002720;0.930227;0.775035;-0.166444;-0.608591;
0.002730;0.926876;0.774229;-0.163933;-0.610296;
0.002740;0.923516;0.773415;-0.161421;-0.611994;
0.002750;0.920146;0.772594;-0.158908;-0.613687;
0.002760;0.916768;0.771766;-0.156392;-0.615373;
0.002770;0.913380;0.770929;-0.153876;-0.617054;
0.002780;0.909984;0.770086;-0.151357;-0.618728;
0.002790;0.906579;0.769234;-0.148837;-0.620396;
0.002800;0.903164;0.768375;-0.146316;-0.622059;
0.002810;0.899741;0.767508;-0.143794;-0.623715;
0.002820;0.896309;0.766634;-0.141269;-0.625364;
0.002830;0.892868;0.765752;-0.138744;-0.627008;
0.002840;0.889418;0.764863;-0.136217;-0.628646;
0.002850;0.885959;0.763966;-0.133689;-0.630277;
0.002860;0.882492;0.763061;-0.131159;-0.631902;
0.002870;0.879016;0.762149;-0.128629;-0.633521;
