time;CAPBUS_cap_p_v_0_;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;MACHINE_machine_omegaPu;MACHINE_machine_theta;MACHINE_machine_cePu;MACHINE_machine_UStatorPu;MACHINE_machine_ifPu;
0.001000;0.426100;-0.062408;-0.305604;0.368012;1.000026;1.120141;0.138629;1.174605;0.637200;
0.001020;0.387144;-0.053267;-0.317100;0.370367;1.000027;1.126424;0.136566;1.062007;0.633950;
0.001040;0.377193;-0.048962;-0.325243;0.374204;1.000028;1.132708;0.137238;0.942845;0.632320;
0.001060;0.394409;-0.049846;-0.329808;0.379654;1.000030;1.138991;0.140807;0.821341;0.632431;
0.001080;0.435894;-0.056176;-0.330637;0.386813;1.000031;1.145274;0.147376;0.703321;0.634375;
0.001100;0.497812;-0.068097;-0.327645;0.395742;1.000032;1.151558;0.156985;0.596918;0.638205;
0.001120;0.575554;-0.085634;-0.320828;0.406462;1.000034;1.157841;0.169607;0.513142;0.643936;
0.001140;0.663925;-0.108685;-0.310265;0.418950;1.000035;1.164125;0.185141;0.464359;0.651541;
0.001160;0.757368;-0.137020;-0.296118;0.433139;1.000036;1.170408;0.203420;0.457625;0.660950;
0.001180;0.850190;-0.170282;-0.278635;0.448917;1.000037;1.176691;0.224207;0.487314;0.672049;
0.001200;0.936800;-0.207991;-0.258138;0.466129;1.000038;1.182975;0.247205;0.538500;0.684686;
0.001220;1.011945;-0.249557;-0.235023;0.484580;1.000039;1.189258;0.272059;0.596341;0.698669;
0.001240;1.070929;-0.294295;-0.209747;0.504042;1.000040;1.195542;0.298372;0.650244;0.713773;
0.001260;1.109809;-0.341438;-0.182815;0.524254;1.000041;1.201825;0.325708;0.693552;0.729747;
0.001280;1.125560;-0.390162;-0.154773;0.544935;1.000042;1.208109;0.353612;0.722391;0.746318;
0.001300;1.116210;-0.439604;-0.126185;0.565789;1.000042;1.214392;0.381614;0.734878;0.763199;
0.001320;1.080920;-0.488891;-0.097624;0.586516;1.000043;1.220676;0.409251;0.730718;0.780099;
0.001340;1.020031;-0.537160;-0.069655;0.606814;1.000043;1.226959;0.436073;0.711069;0.796728;
0.001360;0.935051;-0.583584;-0.042815;0.626398;1.000044;1.233242;0.461659;0.678589;0.812808;
0.001380;0.828603;-0.627395;-0.017605;0.645000;1.000044;1.239526;0.485629;0.637643;0.828078;
0.001400;0.704327;-0.667908;0.005528;0.662379;1.000045;1.245809;0.507650;0.594592;0.842306;
0.001420;0.566731;-0.704534;0.026202;0.678332;1.000045;1.252093;0.527452;0.557916;0.855288;
0.001440;0.421023;-0.736802;0.044109;0.692693;1.000045;1.258376;0.544825;0.537384;0.866861;
0.001460;0.272897;-0.764366;0.059024;0.705343;1.000045;1.264660;0.559632;0.541317;0.876903;
0.001480;0.128312;-0.787016;0.070805;0.716210;1.000045;1.270943;0.571805;0.572745;0.885338;
0.001500;-0.006747;-0.804677;0.079403;0.725273;1.000045;1.277227;0.581350;0.628054;0.892132;
0.001520;-0.126508;-0.817411;0.084853;0.732558;1.000045;1.283510;0.588339;0.699587;0.897301;
0.001540;-0.225642;-0.825412;0.087274;0.738138;1.000045;1.289794;0.592909;0.779078;0.900904;
0.001560;-0.299478;-0.828992;0.086862;0.742130;1.000045;1.296077;0.595256;0.859445;0.903039;
0.001580;-0.344189;-0.828571;0.083880;0.744690;1.000045;1.302361;0.595623;0.935188;0.903841;
0.001600;-0.356947;-0.824656;0.078649;0.746007;1.000045;1.308644;0.594293;1.002241;0.903477;
0.001620;-0.336039;-0.817824;0.071532;0.746292;1.000045;1.314928;0.591578;1.057752;0.902137;
0.001640;-0.280937;-0.808702;0.062924;0.745778;1.000045;1.321211;0.587807;1.099901;0.900027;
0.001660;-0.192321;-0.797936;0.053233;0.744703;1.000046;1.327495;0.583314;1.127774;0.897364;
0.001680;-0.072059;-0.786179;0.042870;0.743309;1.000046;1.333778;0.578424;1.141264;0.894363;
0.001700;0.076868;-0.774059;0.032230;0.741828;1.000046;1.340061;0.573449;1.140984;0.891235;
0.001720;0.250472;-0.762160;0.021682;0.740478;1.000046;1.346345;0.568671;1.128175;0.888177;
0.001740;0.443919;-0.751005;0.011553;0.739452;1.000046;1.352628;0.564336;1.104616;0.885365;
0.001760;0.651708;-0.741037;0.002121;0.738916;1.000046;1.358912;0.560647;1.072505;0.882947;
0.001780;0.867883;-0.732606;-0.006397;0.739003;1.000046;1.365195;0.557759;1.034341;0.881043;
0.001800;1.086261;-0.725959;-0.013848;0.739806;1.000046;1.371479;0.555775;0.992772;0.879736;
0.001820;1.300664;-0.721233;-0.020147;0.741380;1.000046;1.377762;0.554745;0.950441;0.879075;
0.001840;1.505155;-0.718456;-0.025283;0.743739;1.000047;1.384046;0.554667;0.909821;0.879068;
0.001860;1.694256;-0.717545;-0.029311;0.746856;1.000047;1.390329;0.555489;0.873064;0.879691;
0.001880;1.863149;-0.718318;-0.032351;0.750668;1.000047;1.396613;0.557114;0.841885;0.880883;
0.001900;2.007853;-0.720496;-0.034582;0.755078;1.000047;1.402896;0.559405;0.817516;0.882550;
0.001920;2.125357;-0.723724;-0.036235;0.759959;1.000047;1.409180;0.562194;0.800750;0.884574;
0.001940;2.213724;-0.727578;-0.037580;0.765158;1.000047;1.415463;0.565287;0.792062;0.886814;
0.001960;2.272142;-0.731590;-0.038918;0.770508;1.000047;1.421747;0.568475;0.791769;0.889113;
0.001980;2.300933;-0.735263;-0.040567;0.775829;1.000047;1.428030;0.571544;0.800157;0.891304;
0.002000;2.301517;-0.738088;-0.042851;0.780939;1.000047;1.434314;0.574279;0.817536;0.893216;
0.002020;2.276334;-0.739567;-0.046089;0.785656;1.000048;1.440597;0.576478;0.844176;0.894683;
0.002040;2.228719;-0.739231;-0.050580;0.789812;1.000048;1.446881;0.577957;0.880166;0.895547;
0.002060;2.162750;-0.736653;-0.056599;0.793251;1.000048;1.453164;0.578554;0.925259;0.895666;
0.002080;2.083063;-0.731464;-0.064379;0.795843;1.000048;1.459448;0.578140;0.978751;0.894917;
0.002100;1.994646;-0.723368;-0.074111;0.797479;1.000048;1.465731;0.576620;1.039442;0.893201;
0.002120;1.902627;-0.712147;-0.085935;0.798083;1.000048;1.472015;0.573935;1.105694;0.890447;
0.002140;1.812049;-0.697669;-0.099938;0.797608;1.000048;1.478298;0.570064;1.175534;0.886612;
0.002160;1.727662;-0.679889;-0.116151;0.796039;1.000048;1.484582;0.565024;1.246795;0.881683;
0.002180;1.653721;-0.658849;-0.134548;0.793397;1.000048;1.490865;0.558870;1.317253;0.875676;
0.002200;1.593812;-0.634675;-0.155053;0.789728;1.000048;1.497148;0.551687;1.384755;0.868636;
0.002220;1.550706;-0.607571;-0.177540;0.785111;1.000049;1.503432;0.543592;1.447317;0.860633;
0.002240;1.526251;-0.577806;-0.201840;0.779646;1.000049;1.509715;0.534725;1.503210;0.851761;
0.002260;1.521299;-0.545708;-0.227748;0.773457;1.000049;1.515999;0.525244;1.551014;0.842131;
0.002280;1.535685;-0.511648;-0.255032;0.766681;1.000049;1.522282;0.515321;1.589658;0.831872;
0.002300;1.568237;-0.476029;-0.283439;0.759468;1.000049;1.528566;0.505133;1.618440;0.821121;
0.002320;1.616841;-0.439268;-0.312704;0.751972;1.000050;1.534849;0.494860;1.637025;0.810020;
0.002340;1.678540;-0.401789;-0.342559;0.744349;1.000050;1.541133;0.484673;1.645431;0.798713;
0.002360;1.749665;-0.364007;-0.372741;0.736747;1.000050;1.547416;0.474738;1.644001;0.787342;
0.002380;1.826006;-0.326315;-0.402995;0.729310;1.000051;1.553700;0.465202;1.633363;0.776039;
0.002400;1.902994;-0.289077;-0.433087;0.722164;1.000051;1.559983;0.456198;1.614377;0.764929;
0.002420;1.975906;-0.252621;-0.462801;0.715422;1.000052;1.566267;0.447835;1.588079;0.754123;
0.002440;2.040074;-0.217232;-0.491945;0.709177;1.000052;1.572550;0.440203;1.555622;0.743715;
0.002460;2.091085;-0.183150;-0.520354;0.703503;1.000053;1.578834;0.433369;1.518210;0.733789;
