time;CAPBUS_cap_p_v_0_;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;MACHINE_machine_omegaPu;MACHINE_machine_theta;MACHINE_machine_cePu;MACHINE_machine_UStatorPu;MACHINE_machine_ifPu;
0.001020;1.318987;-0.923868;0.233337;0.690532;0.999997;1.126422;0.628685;0.959111;0.916667;
0.001040;1.319116;-0.921137;0.228866;0.692271;0.999997;1.132705;0.627481;0.961111;0.916658;
0.001060;1.318958;-0.918338;0.224495;0.693843;0.999997;1.138988;0.626208;0.962880;0.916650;
0.001080;1.318500;-0.915480;0.220213;0.695267;0.999997;1.145271;0.624873;0.964403;0.916641;
0.001100;1.317730;-0.912571;0.216013;0.696559;0.999997;1.151555;0.623485;0.965670;0.916632;
0.001120;1.316638;-0.909620;0.211882;0.697738;0.999997;1.157838;0.622052;0.966671;0.916621;
0.001140;1.315215;-0.906635;0.207811;0.698823;0.999997;1.164121;0.620583;0.967397;0.916609;
0.001160;1.313457;-0.903622;0.203788;0.699834;0.999997;1.170404;0.619087;0.967844;0.916596;
0.001180;1.311358;-0.900591;0.199802;0.700789;0.999997;1.176687;0.617572;0.968005;0.916579;
0.001200;1.308919;-0.897548;0.195839;0.701709;0.999997;1.182970;0.616049;0.967880;0.916560;
0.001220;1.306141;-0.894501;0.191887;0.702613;0.999997;1.189254;0.614526;0.967466;0.916539;
0.001240;1.303029;-0.891455;0.187934;0.703520;0.999997;1.195537;0.613012;0.966764;0.916514;
0.001260;1.299588;-0.888418;0.183968;0.704450;0.999997;1.201820;0.611517;0.965777;0.916486;
0.001280;1.295830;-0.885395;0.179975;0.705420;0.999997;1.208103;0.610051;0.964509;0.916455;
0.001300;1.291766;-0.882392;0.175943;0.706449;0.999997;1.214386;0.608622;0.962966;0.916421;
0.001320;1.287413;-0.879415;0.171861;0.707555;0.999997;1.220669;0.607240;0.961154;0.916385;
0.001340;1.282787;-0.876469;0.167715;0.708754;0.999997;1.226953;0.605912;0.959083;0.916345;
0.001360;1.277907;-0.873557;0.163496;0.710061;0.999997;1.233236;0.604649;0.956762;0.916304;
0.001380;1.272797;-0.870685;0.159192;0.711493;0.999997;1.239519;0.603457;0.954203;0.916261;
0.001400;1.267478;-0.867857;0.154793;0.713064;0.999997;1.245802;0.602345;0.951419;0.916217;
0.001420;1.261976;-0.865075;0.150290;0.714785;0.999997;1.252085;0.601321;0.948424;0.916173;
0.001440;1.256317;-0.862343;0.145674;0.716668;0.999997;1.258368;0.600391;0.945233;0.916130;
0.001460;1.250526;-0.859663;0.140938;0.718726;0.999997;1.264652;0.599561;0.941864;0.916089;
0.001480;1.244630;-0.857039;0.136074;0.720965;0.999997;1.270935;0.598839;0.938335;0.916050;
0.001500;1.238657;-0.854471;0.131076;0.723395;0.999997;1.277218;0.598228;0.934664;0.916015;
0.001520;1.232632;-0.851962;0.125939;0.726023;0.999997;1.283501;0.597735;0.930871;0.915984;
0.001540;1.226581;-0.849512;0.120660;0.728852;0.999997;1.289784;0.597363;0.926978;0.915960;
0.001560;1.220530;-0.847122;0.115235;0.731888;0.999997;1.296067;0.597115;0.923007;0.915943;
0.001580;1.214501;-0.844792;0.109661;0.735132;0.999997;1.302351;0.596994;0.918981;0.915935;
0.001600;1.208517;-0.842522;0.103937;0.738585;0.999997;1.308634;0.597002;0.914924;0.915937;
0.001620;1.202598;-0.840310;0.098063;0.742246;0.999997;1.314917;0.597140;0.910859;0.915949;
0.001640;1.196763;-0.838154;0.092040;0.746115;0.999997;1.321200;0.597409;0.906812;0.915973;
0.001660;1.191028;-0.836078;0.085882;0.750195;0.999997;1.327483;0.597807;0.902818;0.916011;
0.001680;1.185409;-0.834031;0.079570;0.754461;0.999997;1.333766;0.598332;0.898888;0.916063;
0.001700;1.179917;-0.832034;0.073115;0.758918;0.999997;1.340049;0.598984;0.895052;0.916129;
0.001720;1.174564;-0.830081;0.066522;0.763559;0.999997;1.346333;0.599758;0.891335;0.916210;
0.001740;1.169359;-0.828168;0.059794;0.768375;0.999997;1.352616;0.600652;0.887762;0.916307;
0.001760;1.164309;-0.826292;0.052937;0.773354;0.999997;1.358899;0.601659;0.884357;0.916419;
0.001780;1.159418;-0.824445;0.045958;0.778487;0.999997;1.365182;0.602775;0.881144;0.916548;
0.001800;1.154691;-0.822622;0.038862;0.783760;0.999997;1.371465;0.603994;0.878146;0.916692;
0.001820;1.150130;-0.820817;0.031656;0.789160;0.999997;1.377748;0.605308;0.875384;0.916851;
0.001840;1.145736;-0.819023;0.024350;0.794673;0.999997;1.384032;0.606709;0.872879;0.917025;
0.001860;1.141508;-0.817232;0.016951;0.800281;0.999997;1.390315;0.608190;0.870649;0.917214;
0.001880;1.137447;-0.815437;0.009467;0.805970;0.999997;1.396598;0.609741;0.868712;0.917416;
0.001900;1.133549;-0.813631;0.001908;0.811723;0.999997;1.402881;0.611354;0.867083;0.917630;
0.001920;1.129814;-0.811805;-0.005716;0.817521;0.999997;1.409164;0.613017;0.865775;0.917856;
0.001940;1.126237;-0.809952;-0.013396;0.823348;0.999997;1.415447;0.614721;0.864799;0.918091;
0.001960;1.122817;-0.808062;-0.021121;0.829183;0.999997;1.421731;0.616455;0.864163;0.918334;
0.001980;1.119549;-0.806129;-0.028880;0.835009;0.999997;1.428014;0.618209;0.863876;0.918584;
0.002000;1.116430;-0.804144;-0.036664;0.840808;0.999997;1.434297;0.619971;0.863939;0.918839;
0.002020;1.113457;-0.802099;-0.044460;0.846559;0.999997;1.440580;0.621730;0.864356;0.919097;
0.002040;1.110626;-0.799987;-0.052258;0.852245;0.999997;1.446863;0.623476;0.865125;0.919356;
0.002060;1.107933;-0.797801;-0.060046;0.857846;0.999996;1.453146;0.625197;0.866242;0.919615;
0.002080;1.105373;-0.795533;-0.067813;0.863346;0.999996;1.459430;0.626882;0.867702;0.919871;
0.002100;1.102942;-0.793178;-0.075548;0.868726;0.999996;1.465713;0.628522;0.869497;0.920122;
0.002120;1.100634;-0.790730;-0.083240;0.873970;0.999996;1.471996;0.630105;0.871617;0.920367;
0.002140;1.098445;-0.788183;-0.090878;0.879061;0.999996;1.478279;0.631621;0.874047;0.920604;
0.002160;1.096367;-0.785533;-0.098450;0.883983;0.999996;1.484562;0.633061;0.876775;0.920830;
0.002180;1.094394;-0.782775;-0.105947;0.888722;0.999996;1.490845;0.634417;0.879782;0.921044;
