time;VARC_controller_QGenPu;VARC_controller_VVarPu;
0.000000;0.300000;0.000000;
0.000001;0.300000;0.000000;
0.000002;0.300000;0.000000;
0.000004;0.300000;0.000000;
0.000008;0.300000;0.000000;
0.000016;0.300000;0.000000;
0.000032;0.300000;0.000000;
0.000064;0.300000;0.000000;
0.000128;0.300000;0.000000;
0.000256;0.300000;0.000000;
0.000512;0.300000;0.000000;
0.001024;0.300000;0.000000;
0.002048;0.300000;0.000000;
0.004096;0.300000;0.000000;
0.008192;0.300000;0.000000;
0.016384;0.300000;0.000000;
0.032768;0.300000;0.000000;
0.065536;0.300000;0.000000;
0.131072;0.300000;0.000000;
0.262144;0.300000;0.000000;
0.524288;0.300000;0.000000;
1.048576;0.300000;0.000000;
2.048576;0.300000;0.000000;
3.048576;0.300000;0.000000;
4.048576;0.300000;0.000000;
4.999999;0.300000;0.000000;
4.999999;0.100000;0.000000;
5.000000;0.100000;0.000000;
5.000001;0.100000;0.000000;
5.000003;0.100000;0.000000;
5.000007;0.100000;0.000000;
5.000015;0.100000;0.000000;
5.000031;0.100000;0.000000;
5.000063;0.100000;0.000000;
5.000127;0.100000;0.000001;
5.000255;0.100000;0.000002;
5.000511;0.100000;0.000003;
5.001023;0.100000;0.000006;
5.002047;0.100000;0.000012;
5.004095;0.100000;0.000025;
5.008191;0.100000;0.000049;
5.016383;0.100000;0.000098;
5.032767;0.100000;0.000197;
5.065535;0.100000;0.000393;
5.131071;0.100000;0.000786;
5.262143;0.100000;0.001573;
5.524287;0.100000;0.003146;
6.048575;0.100000;0.006291;
7.048575;0.100000;0.012291;
8.048575;0.100000;0.018291;
9.048575;0.100000;0.024291;
10.048575;0.100000;0.030291;
11.048575;0.100000;0.036291;
12.048575;0.100000;0.042291;
13.048575;0.100000;0.048291;
14.048575;0.100000;0.054291;
15.048575;0.100000;0.060291;
16.048575;0.100000;0.066291;
17.048575;0.100000;0.072291;
18.048575;0.100000;0.078291;
19.048575;0.100000;0.084291;
20.048575;0.100000;0.090291;
21.048575;0.100000;0.096291;
21.666699;0.100000;0.100000;
21.666700;0.100000;0.100000;
21.666701;0.100000;0.100000;
21.666703;0.100000;0.100000;
21.666707;0.100000;0.100000;
21.666715;0.100000;0.100000;
21.666731;0.100000;0.100000;
21.666763;0.100000;0.100000;
21.666827;0.100000;0.100000;
21.666955;0.100000;0.100000;
21.667211;0.100000;0.100000;
21.667723;0.100000;0.100000;
21.668747;0.100000;0.100000;
21.670795;0.100000;0.100000;
21.674891;0.100000;0.100000;
21.683083;0.100000;0.100000;
21.699467;0.100000;0.100000;
21.732235;0.100000;0.100000;
21.797771;0.100000;0.100000;
21.928843;0.100000;0.100000;
22.190987;0.100000;0.100000;
22.715275;0.100000;0.100000;
23.715275;0.100000;0.100000;
24.715275;0.100000;0.100000;
25.715275;0.100000;0.100000;
26.715275;0.100000;0.100000;
27.715275;0.100000;0.100000;
28.715275;0.100000;0.100000;
29.715275;0.100000;0.100000;
30.715275;0.100000;0.100000;
31.715275;0.100000;0.100000;
32.715275;0.100000;0.100000;
33.715275;0.100000;0.100000;
34.715275;0.100000;0.100000;
35.715275;0.100000;0.100000;
36.715275;0.100000;0.100000;
37.715275;0.100000;0.100000;
38.715275;0.100000;0.100000;
39.715275;0.100000;0.100000;
40.715275;0.100000;0.100000;
41.715275;0.100000;0.100000;
42.715275;0.100000;0.100000;
43.715275;0.100000;0.100000;
44.715275;0.100000;0.100000;
45.715275;0.100000;0.100000;
46.715275;0.100000;0.100000;
47.715275;0.100000;0.100000;
48.715275;0.100000;0.100000;
49.715275;0.100000;0.100000;
50.715275;0.100000;0.100000;
51.715275;0.100000;0.100000;
52.715275;0.100000;0.100000;
53.715275;0.100000;0.100000;
54.715275;0.100000;0.100000;
55.715275;0.100000;0.100000;
56.715275;0.100000;0.100000;
57.715275;0.100000;0.100000;
58.715275;0.100000;0.100000;
59.715275;0.100000;0.100000;
60.000000;0.100000;0.100000;
