time;GEN1_generator_delta;GEN1_generator_omegaPu;GEN1_generator_PGenPu;GEN1_generator_UPu;GEN2_generator_delta;GEN2_generator_omegaPu;GEN2_generator_PGenPu;GEN2_generator_UPu;NETWORK_GEN1_BUS_numcc_value;NETWORK_GEN2_BUS_numcc_value;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_1_value;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;
1.065536;0.781179;1.000778;5.722568;0.983477;0.711009;1.000786;4.547760;0.986479;0.000000;1.000000;1.000778;1.000786;1.000778;1.000786;
1.131072;0.781179;1.001556;5.722568;0.983477;0.711009;1.001573;4.547760;0.986479;0.000000;1.000000;1.001556;1.001573;1.001556;1.001573;
1.262144;0.781179;1.003112;5.722568;0.983477;0.711009;1.003146;4.547760;0.986479;0.000000;1.000000;1.003112;1.003146;1.003112;1.003146;
1.524288;0.781179;1.006225;5.722568;0.983477;0.711009;1.006291;4.547760;0.986479;0.000000;1.000000;1.006225;1.006291;1.006225;1.006291;
2.048576;0.781179;1.012450;5.722568;0.983477;0.711009;1.012582;4.547760;0.986479;0.000000;1.000000;1.012450;1.012582;1.012450;1.012582;
3.097152;0.781179;1.024899;5.722568;0.983477;0.711009;1.025163;4.547760;0.986479;0.000000;1.000000;1.024899;1.025163;1.024899;1.025163;
5.194304;0.781179;1.049799;5.722568;0.983477;0.711009;1.050327;4.547760;0.986479;0.000000;1.000000;1.049799;1.050327;1.049799;1.050327;
9.388608;0.781179;1.099597;5.722568;0.983477;0.711009;1.100654;4.547760;0.986479;0.000000;1.000000;1.099597;1.100654;1.099597;1.100654;
10.999998;0.781179;1.118729;5.722568;0.983477;0.711009;1.119989;4.547760;0.986479;0.000000;1.000000;1.118729;1.119989;1.118729;1.119989;
10.999998;0.781179;1.118729;5.841297;1.000001;0.711009;1.119989;4.667747;1.000001;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
10.999999;0.781179;1.118729;5.841296;1.000001;0.711010;1.119989;4.667748;1.000001;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.000000;0.781179;1.118729;5.841295;1.000001;0.711010;1.119989;4.667750;1.000001;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.000002;0.781179;1.118729;5.841293;1.000001;0.711010;1.119989;4.667752;1.000001;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.000006;0.781178;1.118729;5.841289;1.000001;0.711011;1.119989;4.667756;1.000001;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.000014;0.781176;1.118729;5.841281;1.000002;0.711013;1.119989;4.667765;1.000001;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.000030;0.781174;1.118729;5.841265;1.000002;0.711016;1.119989;4.667783;1.000001;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.000062;0.781168;1.118729;5.841234;1.000002;0.711023;1.119989;4.667820;1.000002;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.000126;0.781156;1.118729;5.841171;1.000003;0.711037;1.119989;4.667892;1.000002;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.000254;0.781133;1.118729;5.841045;1.000005;0.711065;1.119988;4.668037;1.000003;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.000510;0.781087;1.118729;5.840792;1.000008;0.711120;1.119988;4.668326;1.000004;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.001022;0.780995;1.118729;5.840288;1.000014;0.711230;1.119988;4.668904;1.000006;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.002046;0.780811;1.118730;5.839278;1.000027;0.711451;1.119988;4.670060;1.000011;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.004094;0.780444;1.118731;5.837260;1.000053;0.711892;1.119987;4.672368;1.000020;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.008190;0.779711;1.118734;5.833232;1.000104;0.712772;1.119984;4.676964;1.000037;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.016382;0.778264;1.118744;5.825260;1.000201;0.714508;1.119971;4.686018;1.000069;0.000000;0.000000;1.119302;1.119302;1.119302;1.000000;
11.032766;0.775512;1.118785;5.810012;1.000378;0.717810;1.119925;4.703180;1.000121;0.000000;0.000000;1.119303;1.119303;1.119303;1.000000;
11.065534;0.771007;1.118928;5.784832;1.000640;0.723216;1.119764;4.731081;1.000179;0.000000;0.000000;1.119308;1.119308;1.119308;1.000000;
11.098302;0.768259;1.119134;5.769318;1.000783;0.726514;1.119534;4.747979;1.000196;0.000000;0.000000;1.119316;1.119316;1.119316;1.000000;
11.131070;0.767635;1.119367;5.765784;1.000813;0.727263;1.119274;4.751805;1.000199;0.000000;0.000000;1.119325;1.119325;1.119325;1.000000;
11.163838;0.769187;1.119590;5.774576;1.000737;0.725400;1.119026;4.742291;1.000193;0.000000;0.000000;1.119333;1.119333;1.119333;1.000000;
11.203221;0.773433;1.119791;5.798426;1.000503;0.720305;1.118801;4.716092;1.000152;0.000000;0.000000;1.119341;1.119341;1.119341;1.000000;
11.242604;0.779302;1.119883;5.830988;1.000132;0.713262;1.118697;4.679531;1.000047;0.000000;0.000000;1.119344;1.119344;1.119344;1.000000;
11.281987;0.785453;1.119850;5.864599;0.999684;0.705881;1.118736;4.640794;0.999878;0.000000;0.000000;1.119344;1.119344;1.119344;1.000000;
11.305659;0.788514;1.119754;5.881125;0.999438;0.702207;1.118848;4.621357;0.999771;0.000000;0.000000;1.119342;1.119342;1.119342;1.000000;
11.329331;0.790673;1.119631;5.892676;0.999253;0.699617;1.118992;4.607574;0.999683;0.000000;0.000000;1.119341;1.119341;1.119341;1.000000;
11.353003;0.791825;1.119494;5.898807;0.999151;0.698235;1.119153;4.600191;0.999633;0.000000;0.000000;1.119339;1.119339;1.119339;1.000000;
11.400347;0.791838;1.119226;5.898926;0.999155;0.698219;1.119467;4.600141;0.999638;0.000000;0.000000;1.119336;1.119336;1.119336;1.000000;
11.442956;0.789055;1.119026;5.884030;0.999394;0.701559;1.119701;4.617918;0.999750;0.000000;0.000000;1.119333;1.119333;1.119333;1.000000;
11.485566;0.784378;1.118912;5.858755;0.999766;0.707172;1.119833;4.647592;0.999911;0.000000;0.000000;1.119331;1.119331;1.119331;1.000000;
11.528175;0.779049;1.118910;5.829593;1.000149;0.713566;1.119837;4.681108;1.000052;0.000000;0.000000;1.119331;1.119331;1.119331;1.000000;
11.570785;0.774435;1.119018;5.804025;1.000444;0.719103;1.119715;4.709876;1.000138;0.000000;0.000000;1.119335;1.119335;1.119335;1.000000;
11.613394;0.771674;1.119205;5.788591;1.000605;0.722416;1.119505;4.726972;1.000174;0.000000;0.000000;1.119341;1.119341;1.119341;1.000000;
11.656004;0.771407;1.119426;5.786936;1.000602;0.722736;1.119257;4.728499;1.000158;0.000000;0.000000;1.119349;1.119349;1.119349;1.000000;
11.698614;0.773722;1.119622;5.800069;1.000489;0.719958;1.119038;4.714310;1.000150;0.000000;0.000000;1.119356;1.119356;1.119356;1.000000;
11.735549;0.777591;1.119692;5.821539;1.000245;0.715315;1.118958;4.690224;1.000083;0.000000;0.000000;1.119358;1.119358;1.119358;1.000000;
