time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;SM_pss_UPssPu;
0.290295;1.002034;16.741912;0.922602;-3.374897;-0.100000;
0.298487;1.002206;16.711873;0.919606;-2.700265;-0.100000;
0.306679;1.002379;16.705182;0.916830;-2.066985;-0.100000;
0.314871;1.002551;16.721319;0.914260;-1.475658;-0.100000;
0.323063;1.002722;16.759533;0.911882;-0.925482;-0.100000;
0.331255;1.002891;16.818908;0.909680;-0.414667;-0.100000;
0.339447;1.003055;16.898412;0.907638;0.059228;-0.100000;
0.346820;1.003199;16.986308;0.905923;0.456341;-0.100000;
0.354193;1.003339;17.088748;0.904311;0.828170;-0.100000;
0.360776;1.003460;17.191902;0.902952;1.140319;-0.100000;
0.367359;1.003575;17.305332;0.901658;1.435761;-0.100000;
0.373109;1.003672;17.412468;0.900577;1.681003;-0.100000;
0.378859;1.003765;17.526553;0.899537;1.915705;-0.100000;
0.384609;1.003854;17.647273;0.898533;2.140598;-0.100000;
0.390359;1.003938;17.774209;0.897563;2.356627;-0.100000;
0.396109;1.004017;17.906988;0.896623;2.564589;-0.100000;
0.397347;1.004033;17.936271;0.896424;2.608378;-0.100000;
0.397347;1.004033;17.936275;0.896424;2.608338;-0.100000;
0.397348;1.004033;17.936299;0.896424;2.612589;-0.099979;
0.397349;1.004033;17.936322;0.896424;2.616839;-0.099958;
0.397351;1.004033;17.936370;0.896424;2.625341;-0.099916;
0.397355;1.004033;17.936466;0.896423;2.642343;-0.099832;
0.397363;1.004033;17.936657;0.896422;2.676349;-0.099663;
0.397379;1.004034;17.937041;0.896419;2.744363;-0.099326;
0.397411;1.004034;17.937815;0.896414;2.880400;-0.098651;
0.397475;1.004035;17.939389;0.896405;3.152511;-0.097302;
0.397603;1.004036;17.942634;0.896388;3.696876;-0.094602;
0.397859;1.004040;17.949522;0.896359;4.786156;-0.089201;
0.398371;1.004047;17.964900;0.896326;6.966755;-0.078386;
0.398378;1.004047;17.965151;0.896325;7.000001;-0.078221;
0.398379;1.004047;17.965183;0.896325;7.000000;-0.078200;
0.398380;1.004047;17.965215;0.896325;7.000000;-0.078179;
0.398382;1.004047;17.965280;0.896325;6.999999;-0.078136;
0.398386;1.004047;17.965409;0.896325;7.000000;-0.078052;
0.398394;1.004047;17.965666;0.896325;7.000000;-0.077883;
0.398410;1.004047;17.966181;0.896324;7.000000;-0.077545;
0.398442;1.004047;17.967211;0.896323;7.000000;-0.076868;
0.398506;1.004048;17.969273;0.896321;7.000000;-0.075515;
0.398634;1.004050;17.973399;0.896317;7.000000;-0.072808;
0.398890;1.004053;17.981667;0.896309;7.000000;-0.067391;
0.399402;1.004060;17.998259;0.896294;7.000000;-0.056546;
0.400426;1.004073;18.031666;0.896265;7.000000;-0.034815;
0.402474;1.004098;18.099325;0.896215;7.000000;0.008804;
0.406570;1.004146;18.237684;0.896139;7.000000;0.096629;
0.406727;1.004147;18.243043;0.896137;7.000000;0.100000;
0.406728;1.004147;18.243078;0.896137;7.000000;0.100000;
0.406729;1.004147;18.243112;0.896137;7.000000;0.100000;
0.406731;1.004148;18.243181;0.896137;7.000000;0.100000;
0.406735;1.004148;18.243318;0.896137;7.000000;0.100000;
0.406743;1.004148;18.243593;0.896137;7.000000;0.100000;
0.406759;1.004148;18.244142;0.896136;7.000000;0.100000;
0.406791;1.004148;18.245241;0.896136;7.000000;0.100000;
0.406855;1.004149;18.247438;0.896135;7.000000;0.100000;
0.406983;1.004150;18.251837;0.896133;7.000000;0.100000;
0.407239;1.004153;18.260644;0.896130;7.000000;0.100000;
0.407751;1.004159;18.278300;0.896123;7.000000;0.100000;
0.408775;1.004170;18.313774;0.896111;7.000000;0.100000;
