time;GEN_A1_generator_omegaPu;GEN_A1_generator_PGen;GEN_A1_generator_QGen;GEN_A1_generator_UStatorPu;GEN_A1_voltageRegulator_EfdPu;GEN_A2_generator_omegaPu;GEN_A2_generator_PGen;GEN_A2_generator_QGen;GEN_A2_generator_UStatorPu;GEN_B1_generator_omegaPu;GEN_B1_generator_PGen;GEN_B1_generator_QGen;GEN_B1_generator_UStatorPu;GEN_B1_voltageRegulator_EfdPu;GEN_B2_generator_omegaPu;GEN_B2_generator_PGen;GEN_B2_generator_QGen;GEN_B2_generator_UStatorPu;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_2_value;NETWORK_A_HV1_Upu_value;NETWORK_A_HV2_Upu_value;NETWORK_A_HV3_Upu_value;NETWORK_B_HV1_Upu_value;NETWORK_B_HV2_Upu_value;NETWORK_A_LD1_Upu_value;NETWORK_B_LD2_Upu_value;NETWORK_A_HV1_numcc_value;NETWORK_B_HV1_numcc_value;
0.032768;1.000000;794.190170;-5.204621;1.002046;2.202374;1.000000;158.784359;25.812941;1.012318;1.000000;402.610257;31.893956;1.003492;1.520319;1.000000;100.545870;10.475009;1.004995;1.000000;1.000000;1.000000;1.000000;0.999998;0.999998;0.999998;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
0.065536;1.000000;794.190081;-5.204655;1.002046;2.202377;1.000000;158.784298;25.812970;1.012318;1.000000;402.610250;31.893963;1.003492;1.520319;1.000000;100.545879;10.475001;1.004995;1.000000;1.000000;1.000000;1.000000;0.999998;0.999998;0.999998;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
0.131072;1.000000;794.190415;-5.204686;1.002046;2.202378;1.000000;158.783846;25.813023;1.012318;1.000000;402.610286;31.893982;1.003492;1.520319;1.000000;100.545856;10.474985;1.004995;1.000000;1.000000;1.000000;1.000000;0.999998;0.999998;0.999998;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
0.262144;1.000000;794.191478;-5.204725;1.002046;2.202378;1.000000;158.782825;25.813131;1.012318;1.000000;402.610412;31.894017;1.003492;1.520318;1.000000;100.545762;10.474958;1.004995;1.000000;1.000000;1.000000;1.000000;0.999998;0.999998;0.999998;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
0.524288;0.999999;794.191573;-5.204693;1.002046;2.202373;0.999999;158.783063;25.813106;1.012318;1.000000;402.610451;31.894051;1.003492;1.520317;1.000000;100.545754;10.474930;1.004995;0.999999;1.000000;0.999999;1.000000;0.999998;0.999999;0.999999;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
1.000000;0.999999;794.191051;-5.204701;1.002046;2.202372;0.999999;158.783651;25.813079;1.012318;1.000000;402.610367;31.894056;1.003492;1.520317;1.000000;100.545821;10.474920;1.004995;0.999999;1.000000;0.999999;1.000000;0.999998;0.999999;0.999999;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
1.000000;0.999999;747.621493;-3.763734;1.006335;2.116591;0.999999;150.880652;23.948286;1.015396;1.000000;450.467004;36.649660;0.999540;1.599348;1.000000;107.463274;12.850048;1.002175;0.999999;1.000000;0.999999;1.000000;1.004473;1.004075;1.004257;0.995436;0.996085;0.991352;0.988675;0.000000;1.000000;
1.000001;0.999999;747.621467;-3.763431;1.006335;2.116591;0.999999;150.880623;23.948334;1.015396;1.000000;450.466881;36.649920;0.999540;1.599349;1.000000;107.463294;12.850103;1.002175;0.999999;1.000000;0.999999;1.000000;1.004473;1.004075;1.004257;0.995436;0.996085;0.991352;0.988675;0.000000;1.000000;
1.000002;0.999999;747.621524;-3.763421;1.006335;2.116590;0.999999;150.880599;23.948328;1.015396;1.000000;450.466841;36.649913;0.999540;1.599349;1.000000;107.463321;12.850106;1.002175;0.999999;1.000000;0.999999;1.000000;1.004473;1.004075;1.004257;0.995436;0.996085;0.991352;0.988675;0.000000;1.000000;
1.000004;0.999999;747.621644;-3.763418;1.006335;2.116589;0.999999;150.880550;23.948311;1.015396;1.000000;450.466764;36.649884;0.999540;1.599350;1.000000;107.463376;12.850110;1.002175;0.999999;1.000000;0.999999;1.000000;1.004473;1.004075;1.004257;0.995436;0.996085;0.991352;0.988675;0.000000;1.000000;
