time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;SM_pss_UPssPu;
8.681137;1.000317;19.268170;1.000159;2.339703;-0.000010;
8.736591;1.000532;19.445715;0.999298;2.509496;-0.000018;
8.792046;1.000669;19.705861;0.998519;2.669771;-0.000024;
8.847500;1.000708;20.010546;0.997925;2.799417;-0.000026;
8.902954;1.000640;20.315357;0.997611;2.879041;-0.000024;
8.935302;1.000538;20.468989;0.997647;2.884773;-0.000021;
8.967650;1.000410;20.590858;0.997809;2.864696;-0.000017;
8.999998;1.000264;20.675603;0.998092;2.820107;-0.000012;
9.032346;1.000110;20.733993;0.998459;2.759828;-0.000006;
9.064693;0.999950;20.755332;0.998905;2.680995;-0.000001;
9.097041;0.999791;20.735130;0.999423;2.585618;0.000005;
9.161737;0.999517;20.577535;1.000521;2.373658;0.000016;
9.226433;0.999339;20.293136;1.001519;2.168588;0.000024;
9.291129;0.999291;19.938336;1.002195;2.016118;0.000027;
9.349355;0.999370;19.615159;1.002416;1.950580;0.000025;
9.407581;0.999556;19.347769;1.002231;1.964475;0.000018;
9.459985;0.999792;19.192516;1.001753;2.041062;0.000010;
9.512388;1.000060;19.143644;1.001053;2.166528;-0.000000;
9.564792;1.000324;19.208900;1.000221;2.324171;-0.000010;
9.617195;1.000547;19.380118;0.999353;2.495144;-0.000019;
9.669599;1.000700;19.634711;0.998546;2.660040;-0.000025;
9.722002;1.000760;19.939252;0.997896;2.799602;-0.000028;
9.774406;1.000718;20.253900;0.997494;2.895556;-0.000027;
9.826810;1.000578;20.537339;0.997410;2.932396;-0.000023;
9.879213;1.000356;20.751643;0.997685;2.900274;-0.000015;
9.931617;1.000082;20.866753;0.998306;2.798315;-0.000006;
9.984020;0.999790;20.864363;0.999200;2.636991;0.000005;
10.000000;0.999700;20.839359;0.999520;2.577207;0.000008;
