time;NETWORK_B1_v_a;NETWORK_B1_Urms;NETWORK_LINE_i_a;NETWORK_LINE_Irms;
0.001200;1.646342;1.196167;0.725413;0.554532;
0.001210;1.641334;1.193569;0.718098;0.550370;
0.001220;1.636090;1.190822;0.710860;0.546274;
0.001230;1.630620;1.187934;0.703704;0.542247;
0.001240;1.624934;1.184912;0.696633;0.538291;
0.001250;1.619041;1.181762;0.689651;0.534408;
0.001260;1.612952;1.178491;0.682763;0.530600;
0.001270;1.606675;1.175106;0.675971;0.526870;
0.001280;1.600220;1.171614;0.669278;0.523219;
0.001290;1.593596;1.168021;0.662689;0.519648;
0.001300;1.586814;1.164335;0.656206;0.516161;
0.001310;1.579881;1.160561;0.649831;0.512757;
0.001320;1.572807;1.156707;0.643567;0.509439;
0.001330;1.565602;1.152778;0.637416;0.506206;
0.001340;1.558273;1.148781;0.631382;0.503061;
0.001350;1.550830;1.144722;0.625465;0.500004;
0.001360;1.543282;1.140607;0.619667;0.497035;
0.001370;1.535637;1.136442;0.613990;0.494156;
0.001380;1.527904;1.132234;0.608436;0.491366;
0.001390;1.520090;1.127987;0.603006;0.488666;
0.001400;1.512204;1.123707;0.597701;0.486056;
0.001410;1.504254;1.119401;0.592522;0.483536;
0.001420;1.496247;1.115073;0.587470;0.481106;
0.001430;1.488192;1.110729;0.582545;0.478765;
0.001440;1.480096;1.106374;0.577748;0.476515;
0.001450;1.471966;1.102013;0.573080;0.474353;
0.001460;1.463809;1.097650;0.568540;0.472280;
0.001470;1.455633;1.093291;0.564129;0.470295;
0.001480;1.447444;1.088941;0.559846;0.468397;
0.001490;1.439248;1.084603;0.555692;0.466586;
0.001500;1.431054;1.080283;0.551666;0.464861;
0.001510;1.422865;1.075983;0.547768;0.463221;
0.001520;1.414690;1.071709;0.543996;0.461664;
0.001530;1.406533;1.067464;0.540352;0.460191;
0.001540;1.398401;1.063253;0.536832;0.458799;
0.001550;1.390299;1.059078;0.533438;0.457488;
0.001560;1.382233;1.054943;0.530167;0.456257;
0.001570;1.374207;1.050852;0.527018;0.455104;
0.001580;1.366227;1.046807;0.523991;0.454028;
0.001590;1.358297;1.042813;0.521084;0.453027;
0.001600;1.350423;1.038870;0.518295;0.452101;
0.001610;1.342608;1.034984;0.515623;0.451248;
0.001620;1.334857;1.031155;0.513067;0.450466;
0.001630;1.327174;1.027387;0.510624;0.449754;
0.001640;1.319562;1.023682;0.508294;0.449110;
0.001650;1.312027;1.020041;0.506073;0.448534;
0.001660;1.304570;1.016468;0.503961;0.448023;
0.001670;1.297196;1.012964;0.501955;0.447576;
0.001680;1.289907;1.009530;0.500053;0.447191;
0.001690;1.282707;1.006169;0.498253;0.446867;
0.001700;1.275599;1.002881;0.496554;0.446602;
0.001710;1.268584;0.999669;0.494952;0.446396;
0.001720;1.261666;0.996534;0.493446;0.446245;
0.001730;1.254846;0.993476;0.492033;0.446149;
0.001740;1.248128;0.990496;0.490710;0.446105;
0.001750;1.241512;0.987596;0.489477;0.446113;
0.001760;1.235001;0.984777;0.488330;0.446171;
0.001770;1.228596;0.982038;0.487266;0.446277;
0.001780;1.222298;0.979381;0.486284;0.446430;
0.001790;1.216110;0.976805;0.485380;0.446628;
0.001800;1.210031;0.974312;0.484553;0.446869;
0.001810;1.204064;0.971901;0.483800;0.447152;
0.001820;1.198208;0.969572;0.483118;0.447476;
0.001830;1.192466;0.967326;0.482504;0.447838;
0.001840;1.186836;0.965163;0.481957;0.448238;
0.001850;1.181320;0.963082;0.481473;0.448673;
0.001860;1.175917;0.961082;0.481050;0.449143;
0.001870;1.170629;0.959165;0.480686;0.449646;
0.001880;1.165454;0.957329;0.480377;0.450180;
0.001890;1.160394;0.955573;0.480122;0.450744;
0.001900;1.155447;0.953898;0.479917;0.451337;
0.001910;1.150613;0.952302;0.479761;0.451957;
0.001920;1.145892;0.950785;0.479650;0.452602;
0.001930;1.141283;0.949346;0.479582;0.453271;
0.001940;1.136786;0.947985;0.479555;0.453964;
0.001950;1.132399;0.946700;0.479566;0.454677;
0.001960;1.128122;0.945490;0.479613;0.455411;
0.001970;1.123953;0.944354;0.479693;0.456164;
0.001980;1.119893;0.943292;0.479803;0.456934;
0.001990;1.115939;0.942302;0.479942;0.457721;
0.002000;1.112089;0.941383;0.480107;0.458522;
0.002010;1.108344;0.940534;0.480296;0.459337;
0.002020;1.104701;0.939754;0.480506;0.460165;
0.002030;1.101159;0.939041;0.480735;0.461004;
0.002040;1.097716;0.938395;0.480980;0.461853;
0.002050;1.094370;0.937813;0.481241;0.462711;
0.002060;1.091120;0.937294;0.481514;0.463576;
0.002070;1.087965;0.936838;0.481797;0.464449;
0.002080;1.084901;0.936443;0.482088;0.465326;
0.002090;1.081927;0.936106;0.482386;0.466209;
0.002100;1.079042;0.935828;0.482688;0.467095;
0.002110;1.076243;0.935605;0.482991;0.467983;
0.002120;1.073528;0.935438;0.483296;0.468873;
0.002130;1.070895;0.935324;0.483598;0.469763;
0.002140;1.068342;0.935262;0.483897;0.470653;
0.002150;1.065867;0.935251;0.484191;0.471542;
0.002160;1.063467;0.935288;0.484478;0.472428;
0.002170;1.061140;0.935373;0.484756;0.473311;
0.002180;1.058884;0.935503;0.485024;0.474190;
0.002190;1.056697;0.935678;0.485280;0.475064;
0.002200;1.054576;0.935896;0.485522;0.475933;
0.002210;1.052519;0.936155;0.485750;0.476795;
0.002220;1.050524;0.936454;0.485961;0.477650;
0.002230;1.048588;0.936791;0.486154;0.478498;
0.002240;1.046709;0.937165;0.486328;0.479337;
0.002250;1.044884;0.937575;0.486481;0.480166;
0.002260;1.043111;0.938018;0.486613;0.480986;
0.002270;1.041389;0.938493;0.486721;0.481796;
0.002280;1.039713;0.938999;0.486806;0.482595;
0.002290;1.038082;0.939535;0.486865;0.483382;
0.002300;1.036494;0.940098;0.486898;0.484157;
0.002310;1.034946;0.940689;0.486904;0.484920;
0.002320;1.033436;0.941304;0.486881;0.485669;
0.002330;1.031961;0.941943;0.486829;0.486406;
0.002340;1.030520;0.942604;0.486748;0.487128;
0.002350;1.029109;0.943286;0.486635;0.487837;
0.002360;1.027727;0.943988;0.486490;0.488530;
0.002370;1.026371;0.944708;0.486314;0.489209;
0.002380;1.025038;0.945445;0.486104;0.489873;
0.002390;1.023728;0.946197;0.485861;0.490521;
0.002400;1.022437;0.946964;0.485583;0.491153;
0.002410;1.021163;0.947744;0.485271;0.491770;
0.002420;1.019905;0.948537;0.484923;0.492370;
0.002430;1.018659;0.949339;0.484539;0.492954;
0.002440;1.017425;0.950152;0.484120;0.493521;
0.002450;1.016199;0.950973;0.483664;0.494072;
0.002460;1.014980;0.951801;0.483171;0.494606;
0.002470;1.013766;0.952635;0.482641;0.495123;
0.002480;1.012555;0.953474;0.482074;0.495623;
0.002490;1.011345;0.954318;0.481469;0.496106;
0.002500;1.010134;0.955164;0.480827;0.496572;
0.002510;1.008920;0.956013;0.480147;0.497021;
0.002520;1.007702;0.956862;0.479428;0.497453;
0.002530;1.006477;0.957712;0.478672;0.497868;
0.002540;1.005244;0.958561;0.477878;0.498266;
0.002550;1.004002;0.959408;0.477046;0.498647;
0.002560;1.002748;0.960253;0.476177;0.499012;
0.002570;1.001481;0.961094;0.475269;0.499359;
0.002580;1.000200;0.961931;0.474324;0.499691;
0.002590;0.998903;0.962763;0.473341;0.500005;
0.002600;0.997588;0.963589;0.472321;0.500304;
0.002610;0.996255;0.964409;0.471263;0.500586;
0.002620;0.994901;0.965222;0.470169;0.500852;
0.002630;0.993526;0.966027;0.469038;0.501103;
