time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_eqPPPu;GEN_generator_edPPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_psiAgPu;GEN_generator_psiArgPu;GEN_generator_satDPu;GEN_generator_satQPu;GEN_generator_UPu;
0.139264;0.921095;1.000095;0.858899;0.530578;0.791422;0.650336;0.654461;0.050066;1.016843;1.043028;1.136467;1.129644;1.002685;
0.154010;0.921585;1.000116;0.858877;0.532154;0.791355;0.651390;0.653977;0.051912;1.017386;1.043550;1.136935;1.130088;1.002969;
0.167281;0.922109;1.000135;0.858852;0.533491;0.791277;0.652314;0.653772;0.053484;1.017849;1.044004;1.137342;1.130475;1.003208;
0.180552;0.922713;1.000154;0.858823;0.534760;0.791181;0.653218;0.653782;0.054971;1.018287;1.044441;1.137735;1.130848;1.003430;
0.193823;0.923396;1.000174;0.858789;0.535965;0.791066;0.654102;0.654003;0.056373;1.018701;1.044863;1.138114;1.131209;1.003637;
0.207094;0.924158;1.000192;0.858750;0.537113;0.790931;0.654970;0.654424;0.057693;1.019091;1.045269;1.138480;1.131556;1.003828;
0.220365;0.924996;1.000210;0.858704;0.538209;0.790777;0.655823;0.655034;0.058932;1.019457;1.045660;1.138832;1.131890;1.004004;
0.233636;0.925905;1.000227;0.858651;0.539258;0.790602;0.656663;0.655816;0.060095;1.019802;1.046035;1.139170;1.132211;1.004167;
0.246907;0.926880;1.000242;0.858592;0.540264;0.790407;0.657493;0.656753;0.061184;1.020125;1.046395;1.139495;1.132520;1.004316;
0.260178;0.927915;1.000255;0.858524;0.541232;0.790192;0.658315;0.657825;0.062205;1.020428;1.046741;1.139808;1.132817;1.004452;
0.273449;0.929001;1.000267;0.858449;0.542166;0.789958;0.659128;0.659011;0.063161;1.020713;1.047073;1.140108;1.133102;1.004578;
0.286720;0.930132;1.000277;0.858365;0.543068;0.789706;0.659935;0.660289;0.064056;1.020980;1.047391;1.140395;1.133375;1.004693;
0.299991;0.931298;1.000284;0.858271;0.543942;0.789436;0.660737;0.661635;0.064895;1.021230;1.047696;1.140671;1.133637;1.004798;
0.313262;0.932491;1.000289;0.858169;0.544791;0.789151;0.661532;0.663027;0.065682;1.021465;1.047986;1.140934;1.133887;1.004895;
0.326533;0.933699;1.000292;0.858057;0.545618;0.788852;0.662321;0.664442;0.066420;1.021686;1.048264;1.141186;1.134126;1.004984;
0.339804;0.934915;1.000292;0.857936;0.546424;0.788540;0.663104;0.665856;0.067114;1.021894;1.048528;1.141425;1.134354;1.005066;
0.353075;0.936127;1.000291;0.857805;0.547211;0.788217;0.663880;0.667249;0.067766;1.022090;1.048780;1.141654;1.134571;1.005143;
0.366346;0.937327;1.000287;0.857665;0.547980;0.787884;0.664648;0.668601;0.068380;1.022274;1.049018;1.141870;1.134777;1.005214;
0.379617;0.938506;1.000280;0.857515;0.548733;0.787545;0.665406;0.669891;0.068960;1.022448;1.049244;1.142075;1.134971;1.005282;
0.392888;0.939655;1.000272;0.857356;0.549471;0.787201;0.666154;0.671103;0.069508;1.022612;1.049456;1.142269;1.135155;1.005345;
0.406159;0.940765;1.000262;0.857189;0.550195;0.786853;0.666889;0.672219;0.070027;1.022768;1.049657;1.142451;1.135328;1.005406;
0.419430;0.941829;1.000250;0.857013;0.550905;0.786504;0.667611;0.673227;0.070520;1.022915;1.049844;1.142622;1.135490;1.005464;
0.432701;0.942840;1.000236;0.856828;0.551600;0.786155;0.668317;0.674114;0.070988;1.023055;1.050020;1.142781;1.135642;1.005521;
0.445972;0.943792;1.000221;0.856636;0.552282;0.785809;0.669006;0.674870;0.071434;1.023188;1.050183;1.142930;1.135783;1.005576;
0.459244;0.944681;1.000205;0.856437;0.552950;0.785468;0.669677;0.675487;0.071859;1.023314;1.050334;1.143067;1.135914;1.005630;
0.472515;0.945500;1.000189;0.856232;0.553603;0.785132;0.670327;0.675960;0.072265;1.023435;1.050474;1.143194;1.136035;1.005683;
0.485786;0.946249;1.000171;0.856021;0.554242;0.784803;0.670955;0.676286;0.072652;1.023549;1.050601;1.143311;1.136145;1.005736;
0.499057;0.946924;1.000153;0.855805;0.554866;0.784484;0.671561;0.676464;0.073023;1.023659;1.050718;1.143417;1.136246;1.005789;
0.512328;0.947523;1.000135;0.855584;0.555474;0.784174;0.672142;0.676495;0.073378;1.023763;1.050823;1.143513;1.136338;1.005841;
0.525599;0.948048;1.000117;0.855360;0.556066;0.783874;0.672697;0.676383;0.073718;1.023862;1.050918;1.143600;1.136420;1.005893;
0.552141;0.948880;1.000082;0.854904;0.557197;0.783312;0.673728;0.675764;0.074351;1.024046;1.051077;1.143745;1.136558;1.005997;
0.576029;0.949392;1.000053;0.854488;0.558153;0.782849;0.674563;0.674796;0.074871;1.024195;1.051188;1.143846;1.136654;1.006089;
0.599917;0.949702;1.000028;0.854070;0.559048;0.782427;0.675310;0.673502;0.075341;1.024329;1.051271;1.143922;1.136726;1.006178;
0.621416;0.949830;1.000009;0.853696;0.559798;0.782082;0.675908;0.672117;0.075722;1.024436;1.051323;1.143969;1.136771;1.006256;
0.640765;0.949844;0.999994;0.853363;0.560428;0.781797;0.676387;0.670742;0.076029;1.024522;1.051354;1.143998;1.136798;1.006322;
0.660114;0.949783;0.999984;0.853034;0.561015;0.781535;0.676814;0.669294;0.076302;1.024598;1.051372;1.144014;1.136813;1.006384;
0.677528;0.949680;0.999977;0.852744;0.561506;0.781317;0.677156;0.667965;0.076516;1.024657;1.051378;1.144020;1.136819;1.006436;
0.694942;0.949549;0.999973;0.852458;0.561963;0.781112;0.677462;0.666647;0.076700;1.024707;1.051376;1.144017;1.136817;1.006483;
