time;VARC_controller_QGenPu;VARC_controller_VVarPu;
0.000000;0.300000;0.000000;
0.000001;0.300000;0.000000;
0.000002;0.300000;0.000000;
0.000004;0.300000;0.000000;
0.000008;0.300000;0.000000;
0.000016;0.300000;0.000000;
0.000032;0.300000;0.000000;
0.000064;0.300000;0.000000;
0.000128;0.300000;0.000000;
0.000256;0.300000;0.000000;
0.000512;0.300000;0.000000;
0.001024;0.300000;0.000000;
0.002048;0.300000;0.000000;
0.004096;0.300000;0.000000;
0.008192;0.300000;0.000000;
0.016384;0.300000;0.000000;
0.032768;0.300000;0.000000;
0.065536;0.300000;0.000000;
0.131072;0.300000;0.000000;
0.262144;0.300000;0.000000;
0.524288;0.300000;0.000000;
1.000000;0.300000;0.000000;
1.000000;0.100000;0.000000;
1.000001;0.100000;0.000000;
1.000002;0.100000;0.000000;
1.000004;0.100000;0.000000;
1.000008;0.100000;0.000000;
1.000016;0.100000;0.000001;
1.000032;0.100000;0.000001;
1.000064;0.100000;0.000002;
1.000128;0.100000;0.000005;
1.000256;0.100000;0.000009;
1.000512;0.100000;0.000018;
1.001024;0.100000;0.000037;
1.002048;0.100000;0.000074;
1.004096;0.100000;0.000147;
1.008192;0.100000;0.000295;
1.016384;0.100000;0.000590;
1.032768;0.100000;0.001180;
1.065536;0.100000;0.002359;
1.131072;0.100000;0.004719;
1.262144;0.100000;0.009437;
1.524288;0.100000;0.018874;
2.048576;0.100000;0.037749;
3.048576;0.100000;0.073749;
3.777783;0.100000;0.100000;
3.777784;0.100000;0.100000;
3.777785;0.100000;0.100000;
3.777787;0.100000;0.100000;
3.777791;0.100000;0.100000;
3.777799;0.100000;0.100000;
3.777815;0.100000;0.100000;
3.777847;0.100000;0.100000;
3.777911;0.100000;0.100000;
3.778039;0.100000;0.100000;
3.778295;0.100000;0.100000;
3.778807;0.100000;0.100000;
3.779831;0.100000;0.100000;
3.781879;0.100000;0.100000;
3.785975;0.100000;0.100000;
3.794167;0.100000;0.100000;
3.810551;0.100000;0.100000;
3.843319;0.100000;0.100000;
3.908855;0.100000;0.100000;
4.039927;0.100000;0.100000;
4.302071;0.100000;0.100000;
4.826359;0.100000;0.100000;
5.826359;0.100000;0.100000;
6.826359;0.100000;0.100000;
7.826359;0.100000;0.100000;
8.826359;0.100000;0.100000;
9.826359;0.100000;0.100000;
10.000000;0.100000;0.100000;
