time;NETWORK_B1_v_a;
0.002530;1.148976;
0.002540;1.157051;
0.002550;1.163714;
0.002560;1.168884;
0.002570;1.172492;
0.002580;1.174486;
0.002590;1.174826;
0.002600;1.173491;
0.002610;1.170472;
0.002620;1.165777;
0.002630;1.159430;
0.002640;1.151470;
0.002650;1.141948;
0.002660;1.130933;
0.002670;1.118505;
0.002680;1.104756;
0.002690;1.089792;
0.002700;1.073728;
0.002710;1.056689;
0.002720;1.038809;
0.002730;1.020229;
0.002740;1.001095;
0.002750;0.981559;
0.002760;0.961775;
0.002770;0.941898;
0.002780;0.922086;
0.002790;0.902494;
0.002800;0.883274;
0.002810;0.864575;
0.002820;0.846540;
0.002830;0.829308;
0.002840;0.813008;
0.002850;0.797759;
0.002860;0.783672;
0.002870;0.770848;
0.002880;0.759374;
0.002890;0.749326;
0.002900;0.740766;
0.002910;0.733743;
0.002920;0.728291;
0.002930;0.724431;
0.002940;0.722168;
0.002950;0.721495;
0.002960;0.722389;
0.002970;0.724812;
0.002980;0.728714;
0.002990;0.734031;
0.003000;0.740688;
0.003010;0.748596;
0.003020;0.757656;
0.003030;0.767760;
0.003040;0.778789;
0.003050;0.790617;
0.003060;0.803112;
0.003070;0.816135;
0.003080;0.829544;
0.003090;0.843194;
0.003100;0.856937;
0.003110;0.870625;
0.003120;0.884113;
0.003130;0.897255;
0.003140;0.909912;
0.003150;0.921948;
0.003160;0.933232;
0.003170;0.943642;
0.003180;0.953064;
0.003190;0.961393;
0.003200;0.968533;
0.003210;0.974400;
0.003220;0.978923;
0.003230;0.982041;
0.003240;0.983706;
0.003250;0.983884;
0.003260;0.982554;
0.003270;0.979709;
0.003280;0.975355;
0.003290;0.969511;
0.003300;0.962209;
0.003310;0.953496;
0.003320;0.943428;
0.003330;0.932076;
0.003340;0.919519;
0.003350;0.905849;
0.003360;0.891166;
0.003370;0.875578;
0.003380;0.859203;
0.003390;0.842162;
0.003400;0.824584;
0.003410;0.806601;
0.003420;0.788348;
0.003430;0.769961;
0.003440;0.751577;
0.003450;0.733333;
0.003460;0.715363;
0.003470;0.697798;
0.003480;0.680764;
0.003490;0.664383;
0.003500;0.648768;
0.003510;0.634028;
0.003520;0.620259;
0.003530;0.607551;
0.003540;0.595983;
0.003550;0.585623;
0.003560;0.576528;
0.003570;0.568742;
0.003580;0.562298;
0.003590;0.557216;
0.003600;0.553504;
0.003610;0.551157;
0.003620;0.550158;
0.003630;0.550477;
0.003640;0.552073;
0.003650;0.554892;
0.003660;0.558871;
0.003670;0.563934;
0.003680;0.569999;
0.003690;0.576972;
0.003700;0.584753;
0.003710;0.593233;
0.003720;0.602299;
0.003730;0.611831;
0.003740;0.621708;
0.003750;0.631804;
0.003760;0.641992;
0.003770;0.652144;
0.003780;0.662134;
0.003790;0.671837;
0.003800;0.681130;
0.003810;0.689896;
0.003820;0.698023;
0.003830;0.705403;
0.003840;0.711936;
0.003850;0.717532;
0.003860;0.722107;
0.003870;0.725588;
0.003880;0.727911;
0.003890;0.729023;
0.003900;0.728882;
0.003910;0.727457;
0.003920;0.724731;
0.003930;0.720694;
0.003940;0.715353;
0.003950;0.708722;
0.003960;0.700830;
0.003970;0.691714;
0.003980;0.681426;
0.003990;0.670023;
0.004000;0.657577;
0.004010;0.644164;
0.004020;0.629873;
0.004030;0.614796;
0.004040;0.599035;
0.004050;0.582697;
0.004060;0.565893;
0.004070;0.548737;
0.004080;0.531347;
0.004090;0.513841;
0.004100;0.496341;
0.004110;0.478963;
0.004120;0.461826;
0.004130;0.445045;
0.004140;0.428729;
0.004150;0.412985;
0.004160;0.397913;
0.004170;0.383608;
0.004180;0.370155;
0.004190;0.357634;
0.004200;0.346114;
0.004210;0.335655;
0.004220;0.326308;
0.004230;0.318113;
0.004240;0.311100;
0.004250;0.305288;
0.004260;0.300685;
0.004270;0.297288;
0.004280;0.295082;
0.004290;0.294044;
0.004300;0.294138;
0.004310;0.295320;
0.004320;0.297534;
0.004330;0.300717;
0.004340;0.304797;
0.004350;0.309693;
0.004360;0.315319;
0.004370;0.321582;
0.004380;0.328382;
0.004390;0.335617;
0.004400;0.343180;
0.004410;0.350962;
0.004420;0.358852;
0.004430;0.366741;
0.004440;0.374516;
0.004450;0.382069;
0.004460;0.389293;
0.004470;0.396086;
0.004480;0.402347;
0.004490;0.407984;
0.004500;0.412909;
0.004510;0.417041;
0.004520;0.420306;
0.004530;0.422640;
0.004540;0.423986;
0.004550;0.424296;
0.004560;0.423532;
0.004570;0.421668;
0.004580;0.418683;
0.004590;0.414572;
0.004600;0.409335;
0.004610;0.402986;
0.004620;0.395548;
0.004630;0.387052;
0.004640;0.377540;
0.004650;0.367062;
0.004660;0.355679;
0.004670;0.343457;
0.004680;0.330470;
0.004690;0.316799;
0.004700;0.302531;
0.004710;0.287758;
0.004720;0.272577;
0.004730;0.257085;
0.004740;0.241385;
0.004750;0.225581;
0.004760;0.209775;
0.004770;0.194070;
0.004780;0.178570;
0.004790;0.163374;
0.004800;0.148577;
0.004810;0.134273;
0.004820;0.120549;
0.004830;0.107488;
0.004840;0.095165;
0.004850;0.083649;
0.004860;0.073001;
0.004870;0.063275;
0.004880;0.054516;
0.004890;0.046759;
0.004900;0.040031;
0.004910;0.034349;
0.004920;0.029721;
0.004930;0.026146;
0.004940;0.023612;
0.004950;0.022098;
0.004960;0.021576;
0.004970;0.022007;
0.004980;0.023343;
0.004990;0.025531;
0.005000;0.028508;
0.005010;0.032205;
0.005020;0.036547;
0.005030;0.041453;
0.005040;0.046837;
0.005050;0.052611;
0.005060;0.058682;
0.005070;0.064955;
0.005080;0.071334;
0.005090;0.077721;
0.005100;0.084022;
0.005110;0.090140;
0.005120;0.095982;
0.005130;0.101458;
0.005140;0.106482;
0.005150;0.110971;
0.005160;0.114849;
0.005170;0.118043;
0.005180;0.120490;
0.005190;0.122132;
0.005200;0.122918;
0.005210;0.122807;
0.005220;0.121764;
0.005230;0.119763;
0.005240;0.116789;
0.005250;0.112834;
0.005260;0.107897;
0.005270;0.101990;
0.005280;0.095130;
0.005290;0.087345;
0.005300;0.078670;
0.005310;0.069148;
0.005320;0.058829;
0.005330;0.047772;
0.005340;0.036040;
0.005350;0.023704;
0.005360;0.010837;
0.005370;-0.002481;
0.005380;-0.016166;
0.005390;-0.030133;
0.005400;-0.044293;
0.005410;-0.058557;
0.005420;-0.072834;
0.005430;-0.087035;
0.005440;-0.101070;
0.005450;-0.114853;
0.005460;-0.128299;
0.005470;-0.141327;
0.005480;-0.153861;
0.005490;-0.165829;
0.005500;-0.177163;
0.005510;-0.187803;
0.005520;-0.197695;
0.005530;-0.206792;
0.005540;-0.215053;
0.005550;-0.222447;
0.005560;-0.228949;
0.005570;-0.234544;
0.005580;-0.239223;
0.005590;-0.242987;
0.005600;-0.245844;
0.005610;-0.247812;
0.005620;-0.248915;
0.005630;-0.249186;
0.005640;-0.248664;
0.005650;-0.247396;
0.005660;-0.245436;
0.005670;-0.242842;
0.005680;-0.239680;
0.005690;-0.236019;
0.005700;-0.231932;
0.005710;-0.227498;
0.005720;-0.222796;
0.005730;-0.217908;
0.005740;-0.212918;
0.005750;-0.207911;
0.005760;-0.202969;
0.005770;-0.198175;
0.005780;-0.193612;
0.005790;-0.189357;
0.005800;-0.185486;
0.005810;-0.182072;
0.005820;-0.179181;
0.005830;-0.176877;
0.005840;-0.175215;
0.005850;-0.174247;
0.005860;-0.174017;
0.005870;-0.174562;
0.005880;-0.175914;
