0;0;1;
12;1;-1;
13;1;-1;
47;1;1;
5;2;1;
46;2;1;
44;3;1;
46;3;-5;
10;4;-1;
11;4;-1;
44;4;-1;
45;4;1;
16;5;1;
45;5;-1;
8;6;1;
9;6;0.47459542931642;
41;6;-0.926594268412177;
43;6;-0.3760625769013748;
7;7;1;
9;7;-0.8802106376256076;
41;7;0.3760625769013748;
43;7;-0.926594268412177;
5;8;-314.1592653589793;
6;8;314.1592653589793;
5;9;0.9029988531797205;
16;9;-0.9999998314986118;
19;9;1;
2;10;1;
15;10;0.4159036489845349;
23;10;-2.113676365379385;
24;10;-1.38845114015416;
27;10;-1.38845114015416;
3;11;1;
15;11;0.4159036489845349;
23;11;-1.38845114015416;
24;11;-1.51345114015416;
27;11;-1.38845114015416;
15;12;0.4159036489845349;
23;12;-1.38845114015416;
24;12;-1.38845114015416;
27;12;-1.53845114015416;
32;12;1;
14;13;-0.6315400446089375;
22;13;-1.43845114015416;
25;13;-1.588451140154159;
26;13;-1.43845114015416;
31;13;1;
5;14;-0.7720192941780698;
27;14;-0.003;
31;14;-1.000000168501417;
43;14;1;
5;15;-0.639848847931603;
25;15;-0.003;
32;15;1.000000168501417;
41;15;1;
4;16;1;
14;16;-0.6315400446089375;
22;16;-1.43845114015416;
25;16;-1.43845114015416;
26;16;-1.603351802405815;
1;17;1;
14;17;-0.6315400446089375;
22;17;-1.609879711582731;
25;17;-1.43845114015416;
26;17;-1.43845114015416;
14;18;-0.6315400446089375;
22;18;-1.43845114015416;
25;18;-1.43845114015416;
26;18;-1.43845114015416;
28;18;1;
28;19;-0.8439289827158617;
29;19;0.5364549115556412;
30;19;1;
30;20;1.077986623241971;
33;20;1;
30;21;1.045517146638297;
35;21;1;
14;22;1;
34;22;-1;
36;22;-0.05000000000000004;
20;23;-1.436513920596993;
33;23;-0.7122161278607388;
34;23;1;
35;23;-0.2877838721392613;
36;23;-1.393245429012746;
20;24;1;
28;24;-1.56799903579243;
30;24;1.323279831167235;
29;25;0.996719867776558;
30;25;0.5346952685103802;
36;25;1;
15;26;0.4159036489845349;
23;26;-1.38845114015416;
24;26;-1.38845114015416;
27;26;-1.38845114015416;
29;26;1;
15;27;1;
20;27;0.05000000000000004;
34;27;-1;
9;28;-0.9627191808663023;
25;28;-20.57039275875033;
27;28;-8.348589207210521;
38;28;1;
9;29;22.18040128984282;
25;29;8.348589207210521;
27;29;-20.57039275875033;
37;29;1;
24;30;-0.02842052555212416;
23;31;-0.007433252756549585;
22;32;-0.03410463066254901;
18;33;1;
25;33;0.639848847931603;
27;33;0.7720192941780698;
31;33;-0.4159130153534258;
32;33;0.9094680202820477;
18;34;1;
19;34;-1;
7;35;-1;
39;35;1;
8;36;-1;
40;36;1;
17;37;1;
39;37;-0.4745926794979771;
40;37;-0.8802055376824952;
17;38;1;
47;38;-1;
48;38;1;
48;39;-20;
49;39;1;
21;40;1;
49;40;-1;
21;41;-0.0004374125919413017;
42;41;1;
26;42;-0.0007261049026225609;
42;42;1;
53;43;-1;
55;43;1;
56;43;-0.022522;
52;44;1;
54;44;-1;
59;44;0.022522;
53;45;1;
55;45;-1;
58;45;-0.022522;
52;46;-1;
54;46;1;
57;46;0.022522;
61;47;-1;
63;47;1;
64;47;-0.04189;
60;48;1;
62;48;-1;
67;48;0.04189;
61;49;1;
63;49;-1;
66;49;-0.04189;
60;50;-1;
62;50;1;
65;50;0.04189;
69;51;1;
71;51;-1;
72;51;0.00675;
68;52;1;
70;52;-1;
73;52;-0.00675;
73;53;1;
75;53;1;
72;54;1;
74;54;1;
76;55;-1;
77;56;-1;
78;57;-1;
6;58;1;
76;58;-1;
10;59;1;
0;59;-1;
70;60;1;
7;60;-1;
71;61;1;
8;61;-1;
52;62;1;
77;62;-1;
52;63;1;
60;63;-1;
53;64;1;
78;64;-1;
53;65;1;
61;65;-1;
54;66;1;
68;66;-1;
54;67;1;
62;67;-1;
55;68;1;
69;68;-1;
55;69;1;
63;69;-1;
74;70;1;
37;70;1;
75;71;1;
38;71;1;
50;72;1;
56;72;1;
64;72;1;
51;73;1;
57;73;1;
65;73;1;
58;74;1;
72;74;1;
66;74;1;
59;75;1;
73;75;1;
67;75;1;
11;76;1;
12;77;1;
13;78;1;
