time;CAPBUS_cap_p_v_0_;MACHINE_generator_terminal_i_0_;MACHINE_generator_omegaPu;MACHINE_generator_UStatorPu;MACHINE_generator_efdPu;MACHINE_generator_ifPu;MACHINE_voltageRegulator_EfdPu;
0.001260;1.275915;-0.890286;0.999997;0.976082;0.353082;0.950391;0.353082;
0.001280;1.273407;-0.886991;0.999997;0.974209;0.390561;0.950360;0.390561;
0.001300;1.271103;-0.883742;0.999997;0.971527;0.444190;0.950326;0.444190;
0.001320;1.268972;-0.880559;0.999997;0.968087;0.512985;0.950290;0.512985;
0.001340;1.266971;-0.877456;0.999997;0.963958;0.595575;0.950253;0.595575;
0.001360;1.265047;-0.874447;0.999997;0.959224;0.690248;0.950217;0.690248;
0.001380;1.263141;-0.871544;0.999997;0.953986;0.795006;0.950183;0.795006;
0.001400;1.261187;-0.868755;0.999997;0.948355;0.907631;0.950153;0.907631;
0.001420;1.259119;-0.866086;0.999997;0.942449;1.025754;0.950128;1.025754;
0.001440;1.256868;-0.863538;0.999997;0.936390;1.146935;0.950109;1.146935;
0.001460;1.254368;-0.861112;0.999997;0.930300;1.268726;0.950097;1.268726;
0.001480;1.251557;-0.858803;0.999997;0.924299;1.388750;0.950095;1.388750;
0.001500;1.248381;-0.856605;0.999997;0.918498;1.504763;0.950102;1.504763;
0.001520;1.244795;-0.854509;0.999997;0.913001;1.614711;0.950119;1.614711;
0.001540;1.240764;-0.852505;0.999997;0.907898;1.716780;0.950147;1.716780;
0.001560;1.236264;-0.850580;0.999997;0.903265;1.809440;0.950186;1.809440;
0.001580;1.231288;-0.848718;0.999997;0.899163;1.891472;0.950235;1.891472;
0.001600;1.225839;-0.846905;0.999997;0.895637;1.961990;0.950294;1.961990;
0.001620;1.219937;-0.845145;0.999997;0.892732;2.020085;0.950363;2.020085;
0.001640;1.213614;-0.843383;0.999997;0.890425;2.066222;0.950441;2.066222;
0.001660;1.206916;-0.841622;0.999997;0.888722;2.100301;0.950525;2.100301;
0.001680;1.199903;-0.839848;0.999997;0.887596;2.122818;0.950616;2.122818;
0.001700;1.192643;-0.838047;0.999997;0.887007;2.134583;0.950711;2.134583;
0.001720;1.185215;-0.836208;0.999997;0.886902;2.136690;0.950809;2.136690;
0.001740;1.177703;-0.834320;0.999997;0.887213;2.130481;0.950910;2.130481;
0.001760;1.170197;-0.832375;0.999997;0.887862;2.117500;0.951011;2.117500;
0.001780;1.162787;-0.830366;0.999997;0.888764;2.099446;0.951112;2.099446;
0.001800;1.155565;-0.828290;0.999997;0.889831;2.078111;0.951211;2.078111;
0.001820;1.148618;-0.826144;0.999997;0.890971;2.055320;0.951309;2.055320;
0.001840;1.142027;-0.823929;0.999997;0.892093;2.032868;0.951406;2.032868;
0.001860;1.135866;-0.821647;0.999997;0.893114;2.012455;0.951500;2.012455;
0.001880;1.130198;-0.819301;0.999997;0.893956;1.995619;0.951593;1.995619;
0.001900;1.125075;-0.816896;0.999997;0.894552;1.983685;0.951686;1.983685;
0.001920;1.120533;-0.814439;0.999997;0.894851;1.977708;0.951778;1.977708;
0.001940;1.116597;-0.811937;0.999996;0.894815;1.978435;0.951872;1.978435;
0.001960;1.113275;-0.809398;0.999996;0.894423;1.986269;0.951968;1.986269;
0.001980;1.110558;-0.806827;0.999996;0.893674;2.001256;0.952069;2.001256;
0.002000;1.108424;-0.804233;0.999996;0.892583;2.023075;0.952176;2.023075;
0.002020;1.106835;-0.801622;0.999996;0.891184;2.051048;0.952290;2.051048;
0.002040;1.105741;-0.798999;0.999996;0.889529;2.084157;0.952412;2.084157;
0.002060;1.105079;-0.796368;0.999996;0.887682;2.121081;0.952545;2.121081;
0.002080;1.104776;-0.793732;0.999996;0.885725;2.160236;0.952689;2.160236;
0.002100;1.104750;-0.791090;0.999996;0.883745;2.199825;0.952844;2.199825;
0.002120;1.104915;-0.788442;0.999996;0.881841;2.237903;0.953012;2.237903;
0.002140;1.105181;-0.785785;0.999996;0.880115;2.272435;0.953191;2.272435;
0.002160;1.105456;-0.783114;0.999996;0.878668;2.301364;0.953382;2.301364;
0.002180;1.105651;-0.780421;0.999996;0.877603;2.322680;0.953582;2.322680;
0.002200;1.105682;-0.777697;0.999996;0.877012;2.334486;0.953790;2.334486;
0.002220;1.105471;-0.774934;0.999996;0.876984;2.335059;0.954003;2.335059;
0.002240;1.104946;-0.772119;0.999996;0.877591;2.322912;0.954220;2.322912;
0.002260;1.104050;-0.769239;0.999996;0.878894;2.296843;0.954435;2.296843;
0.002280;1.102735;-0.766283;0.999995;0.880937;2.255985;0.954645;2.255985;
0.002300;1.100966;-0.763237;0.999995;0.883744;2.199843;0.954847;2.199843;
0.002320;1.098724;-0.760088;0.999995;0.887321;2.128321;0.955036;2.128321;
0.002340;1.096001;-0.756824;0.999995;0.891650;2.041740;0.955207;2.041740;
0.002360;1.092804;-0.753433;0.999995;0.896694;1.940848;0.955355;1.940848;
