time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_psi1d;GEN_generator_psi2q;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_sePu;GEN_generator_UPu;
1.017305;0.476329;1.001438;1.010662;0.784224;-0.166895;0.000000;0.000000;0.108639;0.000000;
1.018227;0.476756;1.001515;1.010383;0.776588;-0.162606;0.000000;0.000000;0.108408;0.000000;
1.019149;0.477206;1.001591;1.010100;0.769156;-0.158433;0.000000;0.000000;0.108176;0.000000;
1.020070;0.477678;1.001668;1.009814;0.761924;-0.154372;0.000000;0.000000;0.107942;0.000000;
1.020992;0.478171;1.001744;1.009526;0.754886;-0.150420;0.000000;0.000000;0.107705;0.000000;
1.021913;0.478688;1.001821;1.009235;0.748037;-0.146574;0.000000;0.000000;0.107466;0.000000;
1.022835;0.479226;1.001897;1.008941;0.741371;-0.142832;0.000000;0.000000;0.107226;0.000000;
1.023757;0.479786;1.001974;1.008645;0.734884;-0.139191;0.000000;0.000000;0.106984;0.000000;
1.024678;0.480368;1.002050;1.008347;0.728570;-0.135647;0.000000;0.000000;0.106739;0.000000;
1.025600;0.480973;1.002126;1.008046;0.722425;-0.132199;0.000000;0.000000;0.106494;0.000000;
1.026521;0.481600;1.002203;1.007743;0.716444;-0.128844;0.000000;0.000000;0.106246;0.000000;
1.027443;0.482249;1.002279;1.007437;0.710623;-0.125579;0.000000;0.000000;0.105997;0.000000;
1.028365;0.482920;1.002356;1.007130;0.704957;-0.122402;0.000000;0.000000;0.105746;0.000000;
1.029286;0.483613;1.002432;1.006820;0.699442;-0.119310;0.000000;0.000000;0.105494;0.000000;
1.030208;0.484328;1.002508;1.006508;0.694073;-0.116301;0.000000;0.000000;0.105241;0.000000;
1.031129;0.485065;1.002585;1.006194;0.688848;-0.113374;0.000000;0.000000;0.104986;0.000000;
1.032051;0.485825;1.002661;1.005879;0.683761;-0.110525;0.000000;0.000000;0.104729;0.000000;
1.032973;0.486606;1.002738;1.005561;0.678809;-0.107753;0.000000;0.000000;0.104472;0.000000;
1.033894;0.487410;1.002814;1.005242;0.673988;-0.105055;0.000000;0.000000;0.104213;0.000000;
