time;GEN1A_generator_omegaPu;GEN1A_generator_PGenPu;GEN1A_generator_UPu;GEN1B_generator_omegaPu;GEN1B_generator_PGenPu;GEN1B_generator_UPu;GEN2A_generator_omegaPu;GEN2A_generator_PGenPu;GEN2A_generator_UPu;GEN2B_generator_omegaPu;GEN2B_generator_PGenPu;GEN2B_generator_UPu;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_1_value;OMEGA_REF_omegaRef_grp_2_value;OMEGA_REF_omegaRef_grp_3_value;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;NETWORK_GEN1A_BUS_numcc_value;NETWORK_GEN2A_BUS_numcc_value;
1.000001;1.000000;4.684338;1.077047;1.000000;3.200242;1.076226;1.000000;4.109403;0.909368;1.000000;3.705648;0.906032;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;
1.000002;1.000000;4.684338;1.077047;1.000000;3.200242;1.076226;1.000000;4.109403;0.909368;1.000000;3.705648;0.906032;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;
1.000004;1.000000;4.684341;1.077047;1.000000;3.200244;1.076226;1.000000;4.109407;0.909369;1.000000;3.705652;0.906033;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;
1.000008;1.000000;4.684338;1.077047;1.000000;3.200242;1.076226;1.000000;4.109403;0.909368;1.000000;3.705648;0.906032;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;
1.000016;1.000000;4.684338;1.077047;1.000001;3.200242;1.076226;1.000000;4.109403;0.909368;1.000001;3.705648;0.906032;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;
1.000032;1.000000;4.684338;1.077047;1.000001;3.200242;1.076226;1.000000;4.109403;0.909368;1.000001;3.705648;0.906032;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;0.000000;1.000000;
1.000064;1.000001;4.684338;1.077047;1.000001;3.200242;1.076226;1.000000;4.109403;0.909368;1.000002;3.705648;0.906032;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;0.000000;1.000000;
1.000128;1.000001;4.684338;1.077047;1.000003;3.200242;1.076226;1.000000;4.109403;0.909368;1.000003;3.705648;0.906032;1.000002;1.000002;1.000002;1.000002;1.000002;1.000002;0.000000;1.000000;
1.000256;1.000003;4.684338;1.077047;1.000005;3.200243;1.076226;1.000001;4.109402;0.909368;1.000006;3.705649;0.906032;1.000004;1.000004;1.000003;1.000003;1.000004;1.000003;0.000000;1.000000;
1.000512;1.000005;4.684337;1.077047;1.000010;3.200243;1.076226;1.000001;4.109401;0.909368;1.000012;3.705649;0.906032;1.000007;1.000007;1.000006;1.000006;1.000007;1.000006;0.000000;1.000000;
1.001024;1.000010;4.684335;1.077047;1.000020;3.200247;1.076226;1.000002;4.109396;0.909368;1.000023;3.705653;0.906031;1.000014;1.000014;1.000012;1.000012;1.000014;1.000012;0.000000;1.000000;
