time;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;GEN_generator_delta;LOAD_load_PPu;LOAD_load_QPu;OMEGA_REF_setPoint_setPoint;NETWORK_BUS_Upu_value;
4.800000;0.942664;1.200000;0.199618;0.245588;-44.835829;1.200000;0.200000;1.000000;0.245588;
4.900000;0.941828;1.200000;0.199468;0.245620;-46.663364;1.200000;0.200000;1.000000;0.245620;
5.000000;0.941008;1.200000;0.199960;0.245618;-48.516664;1.200000;0.200000;1.000000;0.245618;
5.050000;0.940602;1.200000;0.199327;0.245562;-49.449692;1.200000;0.200000;1.000000;0.245562;
5.150000;0.939805;1.200000;0.199661;0.245465;-51.340758;1.200000;0.200000;1.000000;0.245465;
5.250000;0.939025;1.200000;0.199413;0.245570;-53.256345;1.200000;0.200000;1.000000;0.245570;
5.300000;0.938639;1.200000;0.200015;0.245623;-54.220207;1.200000;0.200000;1.000000;0.245623;
5.400000;0.937881;1.200000;0.199613;0.245508;-56.171734;1.200000;0.200000;1.000000;0.245508;
5.500000;0.937138;1.200000;0.199977;0.245620;-58.146595;1.200000;0.200000;1.000000;0.245620;
5.600000;0.936410;1.200000;0.200334;0.245651;-60.144333;1.200000;0.200000;1.000000;0.245651;
5.650000;0.936050;1.200000;0.200053;0.245626;-61.148864;1.200000;0.200000;1.000000;0.245626;
5.750000;0.935343;1.200000;0.199365;0.245475;-63.180134;1.200000;0.200000;1.000000;0.245475;
5.800000;0.934993;1.200000;0.200084;0.245629;-64.201266;1.200000;0.200000;1.000000;0.245629;
5.900000;0.934307;1.200000;0.199999;0.245622;-66.265084;1.200000;0.200000;1.000000;0.245622;
5.950000;0.933967;1.200000;0.200135;0.245634;-67.302329;1.200000;0.200000;1.000000;0.245634;
6.050000;0.933301;1.200000;0.199054;0.245440;-69.397742;1.200000;0.200000;1.000000;0.245440;
6.150000;0.932648;1.200000;0.199869;0.990620;-71.513669;1.200000;0.200000;1.000000;0.990620;
6.250000;0.932008;1.200000;0.199674;0.990664;-73.649707;1.200000;0.200000;1.000000;0.990664;
6.300000;0.931691;1.200000;0.200256;0.990533;-74.722703;1.200000;0.200000;1.000000;0.990533;
6.400000;0.931070;1.200000;0.199785;0.990598;-76.888219;1.200000;0.200000;1.000000;0.990598;
6.450000;0.930762;1.200000;0.200336;0.990515;-77.975808;1.200000;0.200000;1.000000;0.990515;
6.550000;0.930159;1.200000;0.200157;0.990548;-80.169937;1.200000;0.200000;1.000000;0.990548;
6.600000;0.929860;1.200000;0.200427;0.990495;-81.271692;1.200000;0.200000;1.000000;0.990495;
6.700000;0.929275;1.200000;0.200020;0.990572;-83.493595;1.200000;0.200000;1.000000;0.990572;
6.750000;0.928985;1.200000;0.200534;0.990471;-84.609099;1.200000;0.200000;1.000000;0.990471;
6.850000;0.928416;1.200000;0.199783;0.990616;-86.857963;1.200000;0.200000;1.000000;0.990616;
6.900000;0.928135;1.200000;0.200658;0.990443;-87.986814;1.200000;0.200000;1.000000;0.990443;
7.000000;0.927583;1.200000;0.199435;0.990683;-90.261848;1.200000;0.200000;1.000000;0.990683;
7.050000;0.927310;1.200000;0.200798;0.990412;-91.403655;1.200000;0.200000;1.000000;0.990412;
7.150000;0.926775;1.200000;0.200000;0.990591;-93.704091;1.200000;0.200000;1.000000;0.990591;
7.250000;0.926250;1.200000;0.199958;0.245618;-96.021021;1.200000;0.200000;1.000000;0.245618;
7.300000;0.925990;1.200000;0.199469;0.245575;-97.183569;1.200000;0.200000;1.000000;0.245575;
7.400000;0.925480;1.200000;0.199371;0.245566;-99.524673;1.200000;0.200000;1.000000;0.245566;
7.450000;0.925228;1.200000;0.199201;0.245551;-100.699188;1.200000;0.200000;1.000000;0.245551;
7.550000;0.924733;1.200000;0.199790;0.245603;-103.063759;1.200000;0.200000;1.000000;0.245603;
7.600000;0.924488;1.200000;0.200225;0.245642;-104.249891;1.200000;0.200000;1.000000;0.245642;
