time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;SM_pss_UPssPu;
1.075079;1.000277;21.059153;1.007694;4.119638;0.010567;
1.083271;1.000219;21.114352;1.009233;3.496177;0.010234;
1.091463;1.000158;21.152678;1.010402;2.978343;0.009805;
1.107847;1.000033;21.185794;1.011885;2.158481;0.008711;
1.124231;0.999907;21.167309;1.012436;1.569039;0.007360;
1.140615;0.999785;21.105972;1.012307;1.144569;0.005836;
1.156999;0.999672;21.009793;1.011700;0.840873;0.004215;
1.173383;0.999570;20.885918;1.010767;0.628292;0.002565;
1.189767;0.999482;20.740681;1.009622;0.486725;0.000942;
1.206151;0.999410;20.579738;1.008348;0.402436;-0.000610;
1.222535;0.999356;20.408202;1.007006;0.366000;-0.002052;
1.238919;0.999320;20.230759;1.005641;0.370908;-0.003357;
1.271687;0.999304;19.880205;1.003005;0.483057;-0.005453;
1.304455;0.999390;19.578158;1.000766;0.763665;-0.006430;
1.333372;0.999505;19.361789;0.999121;1.069687;-0.006703;
1.356661;0.999619;19.226929;0.998043;1.343996;-0.006554;
1.377620;0.999733;19.139046;0.997278;1.605298;-0.006152;
1.396483;0.999842;19.088059;0.996760;1.846180;-0.005597;
1.413460;0.999943;19.065130;0.996431;2.063224;-0.004960;
1.430437;1.000043;19.064823;0.996237;2.276311;-0.004208;
1.447415;1.000141;19.086349;0.996172;2.481412;-0.003364;
1.481369;1.000326;19.176097;0.996320;2.861806;-0.001536;
1.515323;1.000482;19.333748;0.996869;3.181159;0.000418;
1.549277;1.000597;19.547222;0.997753;3.419385;0.002341;
1.583231;1.000663;19.797847;0.998864;3.561558;0.004062;
1.617185;1.000672;20.063576;1.000087;3.599787;0.005431;
1.651139;1.000625;20.321319;1.001307;3.533661;0.006328;
1.685093;1.000526;20.548681;1.002430;3.370093;0.006676;
1.719048;1.000384;20.726435;1.003339;3.123997;0.006448;
1.753002;1.000210;20.839782;1.003969;2.816112;0.005666;
1.786956;1.000021;20.879241;1.004271;2.472193;0.004396;
1.820910;0.999831;20.841568;1.004217;2.121469;0.002750;
1.854864;0.999658;20.729916;1.003812;1.793887;0.000863;
1.899322;0.999482;20.492829;1.002806;1.454072;-0.001655;
1.943780;0.999384;20.184873;1.001393;1.255781;-0.003924;
1.988238;0.999376;19.851179;0.999770;1.227120;-0.005625;
2.028250;0.999447;19.566858;0.998313;1.349962;-0.006480;
2.051002;0.999527;19.432939;0.997586;1.497823;-0.006517;
2.073753;0.999624;19.326777;0.996984;1.676186;-0.006297;
2.096505;0.999731;19.251294;0.996527;1.876118;-0.005840;
2.142008;0.999957;19.176035;0.995984;2.297562;-0.004468;
2.187511;1.000182;19.220352;0.996045;2.717383;-0.002519;
2.233014;1.000375;19.376440;0.996687;3.080036;-0.000261;
2.278517;1.000511;19.619305;0.997791;3.336801;0.001974;
2.324020;1.000569;19.911539;0.999173;3.454705;0.003859;
2.369523;1.000544;20.209660;1.000623;3.420571;0.005126;
2.410476;1.000452;20.448532;1.001821;3.264435;0.005592;
2.431932;1.000373;20.545718;1.002334;3.125819;0.005465;
2.453388;1.000284;20.619173;1.002740;2.966865;0.005142;
2.474844;1.000189;20.667392;1.003032;2.793812;0.004643;
2.517756;0.999993;20.703145;1.003337;2.435510;0.003315;
2.560669;0.999805;20.644099;1.003194;2.083330;0.001576;
2.603581;0.999646;20.497557;1.002616;1.779553;-0.000365;
2.647540;0.999535;20.278007;1.001649;1.560452;-0.002297;
2.691500;0.999491;20.019219;1.000428;1.464794;-0.003910;
2.735459;0.999518;19.757960;0.999125;1.505521;-0.004981;
2.779418;0.999612;19.531012;0.997931;1.675040;-0.005367;
2.800905;0.999686;19.448632;0.997490;1.810621;-0.005202;
2.822392;0.999769;19.388221;0.997131;1.962764;-0.004863;
