time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_PGenPu;BUSGEN_bus_p_v_0_;BUSHV_bus_p_v_0_;
0.001740;0.999995;0.991201;0.676784;0.952874;0.998272;
0.001760;0.999995;0.994100;0.677852;0.945697;0.992133;
0.001780;0.999995;0.996936;0.678778;0.938503;0.986031;
0.001800;0.999995;0.999703;0.679558;0.931298;0.979964;
0.001820;0.999995;1.002394;0.680190;0.924089;0.973931;
0.001840;0.999995;1.005002;0.680672;0.916882;0.967930;
0.001860;0.999995;1.007519;0.681003;0.909683;0.961960;
0.001880;0.999995;1.009939;0.681181;0.902499;0.956020;
0.001900;0.999995;1.012256;0.681206;0.895336;0.950106;
0.001920;0.999995;1.014463;0.681078;0.888200;0.944217;
0.001940;0.999995;1.016554;0.680797;0.881096;0.938350;
0.001960;0.999994;1.018524;0.680355;0.874031;0.932502;
0.001980;0.999994;1.020366;0.679771;0.867009;0.926672;
0.002000;0.999994;1.022076;0.679037;0.860035;0.920855;
0.002020;0.999994;1.023649;0.678156;0.853115;0.915051;
0.002040;0.999994;1.025080;0.677131;0.846251;0.909255;
0.002060;0.999994;1.026364;0.675963;0.839448;0.903467;
0.002080;0.999994;1.027498;0.674656;0.832708;0.897683;
0.002100;0.999994;1.028477;0.673214;0.826035;0.891901;
0.002120;0.999994;1.029299;0.671639;0.819430;0.886120;
0.002140;0.999994;1.029959;0.669935;0.812895;0.880337;
0.002160;0.999994;1.030455;0.668107;0.806430;0.874552;
0.002180;0.999994;1.030785;0.666158;0.800037;0.868761;
0.002200;0.999994;1.030946;0.664094;0.793715;0.862966;
0.002220;0.999994;1.030936;0.661917;0.787463;0.857164;
0.002240;0.999994;1.030753;0.659634;0.781279;0.851356;
0.002260;0.999994;1.030397;0.657248;0.775163;0.845540;
0.002280;0.999994;1.029866;0.654764;0.769111;0.839717;
0.002300;0.999994;1.029160;0.652188;0.763120;0.833887;
0.002320;0.999994;1.028278;0.649524;0.757187;0.828051;
0.002340;0.999994;1.027221;0.646777;0.751309;0.822208;
0.002360;0.999994;1.025989;0.643953;0.745480;0.816359;
0.002380;0.999994;1.024582;0.641055;0.739695;0.810506;
0.002400;0.999994;1.023002;0.638090;0.733951;0.804649;
0.002420;0.999994;1.021249;0.635063;0.728240;0.798790;
0.002440;0.999994;1.019326;0.631978;0.722558;0.792930;
0.002460;0.999994;1.017235;0.628840;0.716898;0.787070;
0.002480;0.999994;1.014978;0.625656;0.711255;0.781212;
0.002500;0.999994;1.012558;0.622429;0.705621;0.775356;
