time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_psi2q;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_sePu;GEN_generator_UPu;
1.019456;0.947272;1.001617;0.815168;0.340225;-0.488461;0.000000;0.000000;0.025701;0.000000;
1.020480;0.947806;1.001702;0.814745;0.331574;-0.479697;0.000000;0.000000;0.024047;0.000000;
1.021504;0.948367;1.001787;0.814319;0.323081;-0.471074;0.000000;0.000000;0.022496;0.000000;
1.022528;0.948955;1.001872;0.813890;0.314745;-0.462592;0.000000;0.000000;0.021041;0.000000;
1.023552;0.949571;1.001957;0.813459;0.306562;-0.454246;0.000000;0.000000;0.019678;0.000000;
1.024576;0.950214;1.002041;0.813026;0.298530;-0.446037;0.000000;0.000000;0.018401;0.000000;
1.025600;0.950884;1.002126;0.812591;0.290647;-0.437960;0.000000;0.000000;0.017204;0.000000;
1.026624;0.951582;1.002211;0.812154;0.282910;-0.430015;0.000000;0.000000;0.016084;0.000000;
1.027648;0.952307;1.002296;0.811714;0.275316;-0.422199;0.000000;0.000000;0.015034;0.000000;
1.028672;0.953060;1.002381;0.811273;0.267863;-0.414510;0.000000;0.000000;0.014052;0.000000;
1.029696;0.953839;1.002466;0.810829;0.260549;-0.406947;0.000000;0.000000;0.013132;0.000000;
1.030720;0.954646;1.002551;0.810384;0.253372;-0.399507;0.000000;0.000000;0.012272;0.000000;
1.031744;0.955480;1.002636;0.809937;0.246329;-0.392189;0.000000;0.000000;0.011467;0.000000;
1.032768;0.956342;1.002721;0.809488;0.239418;-0.384990;0.000000;0.000000;0.010713;0.000000;
1.033792;0.957231;1.002805;0.809038;0.232637;-0.377910;0.000000;0.000000;0.010009;0.000000;
1.034816;0.958147;1.002890;0.808586;0.225983;-0.370945;0.000000;0.000000;0.009350;0.000000;
1.035840;0.959090;1.002975;0.808132;0.219456;-0.364094;0.000000;0.000000;0.008733;0.000000;
1.036864;0.960061;1.003060;0.807677;0.213051;-0.357356;0.000000;0.000000;0.008157;0.000000;
1.037888;0.961059;1.003145;0.807221;0.206769;-0.350729;0.000000;0.000000;0.007618;0.000000;
1.038912;0.962084;1.003229;0.806763;0.200605;-0.344211;0.000000;0.000000;0.007114;0.000000;
1.039936;0.963137;1.003314;0.806304;0.194559;-0.337800;0.000000;0.000000;0.006643;0.000000;
1.040960;0.964217;1.003399;0.805843;0.188629;-0.331495;0.000000;0.000000;0.006203;0.000000;
1.041984;0.965324;1.003484;0.805381;0.182812;-0.325293;0.000000;0.000000;0.005791;0.000000;
1.043008;0.966458;1.003568;0.804918;0.177107;-0.319195;0.000000;0.000000;0.005406;0.000000;
1.044032;0.967620;1.003653;0.804454;0.171512;-0.313197;0.000000;0.000000;0.005046;0.000000;
1.045056;0.968808;1.003738;0.803989;0.166024;-0.307299;0.000000;0.000000;0.004710;0.000000;
1.046080;0.970025;1.003823;0.803523;0.160643;-0.301498;0.000000;0.000000;0.004395;0.000000;
1.047104;0.971268;1.003907;0.803055;0.155367;-0.295794;0.000000;0.000000;0.004101;0.000000;
1.048128;0.972538;1.003992;0.802587;0.150193;-0.290184;0.000000;0.000000;0.003826;0.000000;
1.049152;0.973836;1.004077;0.802118;0.145120;-0.284668;0.000000;0.000000;0.003568;0.000000;
1.050176;0.975161;1.004161;0.801648;0.140147;-0.279244;0.000000;0.000000;0.003328;0.000000;
1.051200;0.976514;1.004246;0.801177;0.135271;-0.273910;0.000000;0.000000;0.003103;0.000000;
1.052224;0.977893;1.004331;0.800705;0.130491;-0.268665;0.000000;0.000000;0.002892;0.000000;
1.053248;0.979300;1.004415;0.800233;0.125805;-0.263508;0.000000;0.000000;0.002695;0.000000;
1.054272;0.980734;1.004500;0.799759;0.121213;-0.258437;0.000000;0.000000;0.002511;0.000000;
1.055296;0.982195;1.004584;0.799285;0.116711;-0.253451;0.000000;0.000000;0.002339;0.000000;
1.056320;0.983684;1.004669;0.798810;0.112300;-0.248548;0.000000;0.000000;0.002177;0.000000;
1.057344;0.985199;1.004754;0.798335;0.107976;-0.243728;0.000000;0.000000;0.002026;0.000000;
1.058368;0.986742;1.004838;0.797859;0.103740;-0.238989;0.000000;0.000000;0.001885;0.000000;
1.059392;0.988312;1.004923;0.797383;0.099588;-0.234330;0.000000;0.000000;0.001752;0.000000;
1.060416;0.989909;1.005007;0.796905;0.095521;-0.229749;0.000000;0.000000;0.001628;0.000000;
1.061440;0.991534;1.005092;0.796428;0.091535;-0.225246;0.000000;0.000000;0.001512;0.000000;
1.062464;0.993186;1.005176;0.795950;0.087631;-0.220819;0.000000;0.000000;0.001404;0.000000;
1.063488;0.994864;1.005261;0.795471;0.083807;-0.216466;0.000000;0.000000;0.001302;0.000000;
1.064512;0.996570;1.005345;0.794992;0.080060;-0.212188;0.000000;0.000000;0.001207;0.000000;
1.065536;0.998304;1.005430;0.794512;0.076391;-0.207982;0.000000;0.000000;0.001117;0.000000;
1.066560;1.000064;1.005514;0.794033;0.072797;-0.203847;0.000000;0.000000;0.001034;0.000000;
1.067584;1.001852;1.005599;0.793552;0.069278;-0.199783;0.000000;0.000000;0.000955;0.000000;
1.068608;1.003666;1.005683;0.793072;0.065832;-0.195788;0.000000;0.000000;0.000882;0.000000;
1.069632;1.005508;1.005768;0.792591;0.062458;-0.191861;0.000000;0.000000;0.000813;0.000000;
1.070000;1.006177;1.005798;0.792418;0.061262;-0.190466;0.000000;0.000000;0.000789;0.000000;
1.070000;1.006177;1.005798;0.792418;0.061262;-0.190466;1.143583;-0.940425;0.000790;0.800571;
1.070001;1.006179;1.005798;0.792418;0.061268;-0.190471;1.143585;-0.940416;0.000790;0.800573;
1.070002;1.006180;1.005798;0.792418;0.061274;-0.190476;1.143587;-0.940406;0.000790;0.800575;
1.070004;1.006184;1.005798;0.792417;0.061286;-0.190486;1.143591;-0.940388;0.000790;0.800580;
1.070008;1.006191;1.005798;0.792416;0.061310;-0.190507;1.143600;-0.940352;0.000790;0.800589;
1.070016;1.006206;1.005797;0.792415;0.061358;-0.190548;1.143617;-0.940280;0.000790;0.800606;
1.070032;1.006235;1.005796;0.792412;0.061453;-0.190630;1.143652;-0.940135;0.000790;0.800642;
1.070064;1.006293;1.005794;0.792407;0.061643;-0.190795;1.143722;-0.939846;0.000791;0.800713;
1.070128;1.006410;1.005791;0.792395;0.062023;-0.191124;1.143860;-0.939268;0.000793;0.800855;
1.070256;1.006643;1.005783;0.792373;0.062783;-0.191782;1.144136;-0.938113;0.000796;0.801139;
1.070512;1.007107;1.005768;0.792328;0.064300;-0.193097;1.144682;-0.935806;0.000803;0.801706;
1.071024;1.008032;1.005737;0.792240;0.067326;-0.195720;1.145752;-0.931208;0.000818;0.802833;
1.072048;1.009868;1.005675;0.792066;0.073341;-0.200939;1.147804;-0.922073;0.000850;0.805063;
1.073072;1.011684;1.005614;0.791897;0.079307;-0.206125;1.149739;-0.913020;0.000888;0.807262;
1.074096;1.013480;1.005552;0.791731;0.085225;-0.211276;1.151562;-0.904049;0.000930;0.809430;
1.075120;1.015256;1.005490;0.791569;0.091095;-0.216394;1.153274;-0.895159;0.000977;0.811568;
1.076144;1.017012;1.005427;0.791411;0.096918;-0.221478;1.154878;-0.886348;0.001030;0.813677;
1.077168;1.018747;1.005365;0.791256;0.102693;-0.226528;1.156377;-0.877616;0.001088;0.815758;
1.078192;1.020463;1.005302;0.791105;0.108420;-0.231544;1.157773;-0.868963;0.001152;0.817810;
1.079216;1.022159;1.005239;0.790958;0.114101;-0.236527;1.159069;-0.860387;0.001221;0.819836;
1.080240;1.023834;1.005176;0.790813;0.119735;-0.241476;1.160268;-0.851887;0.001297;0.821834;
1.081264;1.025488;1.005112;0.790672;0.125322;-0.246392;1.161372;-0.843462;0.001379;0.823807;
1.082288;1.027123;1.005049;0.790534;0.130863;-0.251274;1.162383;-0.835112;0.001467;0.825754;
1.083312;1.028737;1.004985;0.790399;0.136357;-0.256123;1.163304;-0.826836;0.001562;0.827676;
1.084336;1.030330;1.004922;0.790267;0.141806;-0.260939;1.164136;-0.818632;0.001664;0.829573;
1.085360;1.031903;1.004858;0.790137;0.147209;-0.265722;1.164883;-0.810501;0.001773;0.831447;
1.086384;1.033456;1.004794;0.790011;0.152567;-0.270472;1.165545;-0.802440;0.001890;0.833297;
