time;NL_G1_generator_omegaPu;NL_G1_generator_PGenPu;NL_G1_generator_QGenPu;NL_G1_generator_UPu;NL_G1_generator_efdPu;NL_G1_compensator_VcPu;NL_G1_pss_VPssPu;NL_G1_governor_PmPu;NL_G2_generator_omegaPu;NL_G2_generator_PGenPu;NL_G2_generator_QGenPu;NL_G2_generator_UPu;NL_G2_generator_efdPu;NL_G3_generator_omegaPu;NL_G3_generator_PGenPu;NL_G3_generator_QGenPu;NL_G3_generator_UPu;NL_G3_generator_efdPu;
0.049948;1.000000;5.716757;0.870612;1.018001;1.697223;1.018001;0.000063;0.519787;1.000001;1.327892;0.777449;1.018001;1.866492;1.000001;1.427896;0.833006;1.018001;2.040888;
0.050076;1.000000;5.716757;0.870612;1.018001;1.697223;1.018001;0.000063;0.519787;1.000001;1.327892;0.777449;1.018001;1.866495;1.000001;1.427897;0.833006;1.018001;2.040895;
0.050332;1.000000;5.716756;0.870611;1.018001;1.697223;1.018001;0.000063;0.519787;1.000001;1.327892;0.777449;1.018001;1.866501;1.000001;1.427897;0.833006;1.018001;2.040908;
0.050844;1.000000;5.716755;0.870611;1.018001;1.697224;1.018001;0.000063;0.519787;1.000001;1.327893;0.777449;1.018001;1.866512;1.000001;1.427898;0.833007;1.018001;2.040935;
0.051868;1.000000;5.716752;0.870609;1.018001;1.697226;1.018001;0.000064;0.519787;1.000001;1.327894;0.777449;1.018001;1.866535;1.000001;1.427899;0.833008;1.018001;2.040988;
0.053916;1.000000;5.716746;0.870607;1.018001;1.697229;1.018001;0.000064;0.519787;1.000001;1.327897;0.777449;1.018001;1.866578;1.000001;1.427902;0.833010;1.018001;2.041085;
0.058012;1.000000;5.716734;0.870602;1.018001;1.697236;1.018001;0.000064;0.519787;1.000001;1.327902;0.777450;1.018001;1.866655;1.000001;1.427908;0.833014;1.018001;2.041248;
0.066204;1.000000;5.716710;0.870594;1.018002;1.697251;1.018002;0.000063;0.519787;1.000001;1.327914;0.777451;1.018002;1.866773;1.000001;1.427922;0.833022;1.018002;2.041447;
0.082588;1.000000;5.716661;0.870578;1.018002;1.697287;1.018002;0.000060;0.519787;1.000001;1.327938;0.777454;1.018002;1.866877;1.000001;1.427952;0.833041;1.018002;2.041411;
0.115356;1.000000;5.716572;0.870545;1.018004;1.697372;1.018004;0.000058;0.519787;1.000001;1.327986;0.777463;1.018004;1.866757;1.000001;1.428009;0.833083;1.018004;2.040410;
0.148124;1.000001;5.716496;0.870517;1.018006;1.697462;1.018006;0.000059;0.519787;1.000002;1.328030;0.777475;1.018006;1.866408;1.000002;1.428058;0.833120;1.018006;2.038949;
