time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;
1.156016;1.172624;1.003993;0.765922;0.946719;0.044773;0.996534;
1.160112;1.177666;1.003847;0.765635;0.955572;0.045406;0.996435;
1.164208;1.182517;1.003696;0.765339;0.964067;0.045948;0.996328;
1.168304;1.187172;1.003541;0.765033;0.972192;0.046403;0.996215;
1.172400;1.191625;1.003382;0.764719;0.979934;0.046776;0.996096;
1.176496;1.195871;1.003219;0.764397;0.987282;0.047071;0.995973;
1.180592;1.199905;1.003053;0.764068;0.994225;0.047291;0.995846;
1.184688;1.203722;1.002883;0.763731;1.000754;0.047440;0.995717;
1.188784;1.207319;1.002710;0.763388;1.006860;0.047524;0.995587;
1.192880;1.210692;1.002533;0.763038;1.012533;0.047545;0.995456;
1.196976;1.213836;1.002355;0.762682;1.017766;0.047508;0.995327;
1.201072;1.216748;1.002173;0.762322;1.022552;0.047416;0.995198;
1.205168;1.219425;1.001989;0.761956;1.026885;0.047273;0.995073;
1.209264;1.221865;1.001803;0.761587;1.030759;0.047083;0.994950;
1.213360;1.224064;1.001616;0.761213;1.034169;0.046848;0.994832;
1.217456;1.226020;1.001426;0.760837;1.037112;0.046572;0.994718;
1.225648;1.229196;1.001044;0.760076;1.041580;0.045910;0.994507;
1.233021;1.231210;1.000697;0.759386;1.043977;0.045197;0.994339;
1.240393;1.232418;1.000348;0.758693;1.044831;0.044386;0.994193;
1.247766;1.232820;0.999999;0.758000;1.044145;0.043486;0.994072;
1.255139;1.232416;0.999652;0.757312;1.041929;0.042502;0.993975;
1.262512;1.231211;0.999307;0.756629;1.038200;0.041435;0.993902;
1.269885;1.229214;0.998966;0.755956;1.032983;0.040283;0.993852;
1.277257;1.226434;0.998631;0.755295;1.026305;0.039041;0.993822;
1.284630;1.222887;0.998303;0.754650;1.018207;0.037704;0.993811;
1.292003;1.218588;0.997982;0.754022;1.008734;0.036262;0.993815;
1.299376;1.213560;0.997671;0.753414;0.997936;0.034704;0.993830;
1.306011;1.208427;0.997400;0.752887;0.987131;0.033192;0.993849;
1.312647;1.202739;0.997139;0.752380;0.975346;0.031566;0.993870;
1.318619;1.197162;0.996912;0.751943;0.963941;0.029996;0.993888;
1.324591;1.191167;0.996694;0.751525;0.951822;0.028317;0.993902;
1.330563;1.184772;0.996485;0.751127;0.939031;0.026521;0.993910;
1.336535;1.177995;0.996286;0.750750;0.925612;0.024603;0.993908;
1.342507;1.170855;0.996098;0.750395;0.911611;0.022554;0.993894;
1.347881;1.164134;0.995937;0.750095;0.898550;0.020594;0.993870;
1.353256;1.157150;0.995786;0.749815;0.885092;0.018519;0.993832;
1.358631;1.149918;0.995643;0.749555;0.871272;0.016327;0.993779;
1.364006;1.142453;0.995510;0.749315;0.857128;0.014015;0.993710;
1.369381;1.134772;0.995387;0.749095;0.842699;0.011582;0.993623;
1.374755;1.126890;0.995273;0.748897;0.828021;0.009025;0.993518;
1.380130;1.118826;0.995170;0.748721;0.813133;0.006345;0.993392;
