time;NETWORK_LINE_i_a;NETWORK_LINE_i_b;NETWORK_LINE_i_c;NETWORK_B1_v_a;
0.000980;0.894679;-0.237963;-0.656716;1.677434;
0.000990;0.887150;-0.231765;-0.655385;1.680012;
0.001000;0.879555;-0.225555;-0.654000;1.682152;
0.001010;0.871901;-0.219336;-0.652565;1.683864;
0.001020;0.864198;-0.213113;-0.651085;1.685153;
0.001030;0.856453;-0.206890;-0.649563;1.686030;
0.001040;0.848675;-0.200672;-0.648003;1.686501;
0.001050;0.840870;-0.194462;-0.646409;1.686577;
0.001060;0.833047;-0.188263;-0.644784;1.686264;
0.001070;0.825214;-0.182081;-0.643133;1.685573;
0.001080;0.817376;-0.175918;-0.641458;1.684511;
0.001090;0.809542;-0.169778;-0.639764;1.683089;
0.001100;0.801719;-0.163665;-0.638054;1.681316;
0.001110;0.793912;-0.157581;-0.636331;1.679200;
0.001120;0.786128;-0.151530;-0.634598;1.676752;
0.001130;0.778375;-0.145516;-0.632859;1.673980;
0.001140;0.770657;-0.139540;-0.631117;1.670895;
0.001150;0.762980;-0.133606;-0.629374;1.667506;
0.001160;0.755351;-0.127716;-0.627634;1.663822;
0.001170;0.747774;-0.121874;-0.625900;1.659855;
0.001180;0.740256;-0.116081;-0.624174;1.655612;
0.001190;0.732800;-0.110341;-0.622460;1.651104;
0.001200;0.725413;-0.104654;-0.620758;1.646342;
0.001210;0.718098;-0.099024;-0.619074;1.641334;
0.001220;0.710860;-0.093453;-0.617407;1.636090;
0.001230;0.703704;-0.087942;-0.615762;1.630620;
0.001240;0.696633;-0.082493;-0.614140;1.624934;
0.001250;0.689651;-0.077108;-0.612544;1.619041;
0.001260;0.682763;-0.071788;-0.610975;1.612952;
0.001270;0.675971;-0.066536;-0.609435;1.606675;
0.001280;0.669278;-0.061351;-0.607927;1.600220;
0.001290;0.662689;-0.056237;-0.606452;1.593596;
0.001300;0.656206;-0.051193;-0.605012;1.586814;
0.001310;0.649831;-0.046222;-0.603609;1.579881;
0.001320;0.643567;-0.041323;-0.602244;1.572807;
0.001330;0.637416;-0.036498;-0.600918;1.565602;
0.001340;0.631382;-0.031748;-0.599634;1.558273;
0.001350;0.625465;-0.027072;-0.598392;1.550830;
0.001360;0.619667;-0.022473;-0.597194;1.543282;
0.001370;0.613990;-0.017950;-0.596040;1.535637;
0.001380;0.608436;-0.013504;-0.594932;1.527904;
0.001390;0.603006;-0.009135;-0.593872;1.520090;
0.001400;0.597701;-0.004843;-0.592858;1.512204;
0.001410;0.592522;-0.000628;-0.591894;1.504254;
0.001420;0.587470;0.003509;-0.590978;1.496247;
0.001430;0.582545;0.007568;-0.590113;1.488192;
0.001440;0.577748;0.011550;-0.589298;1.480096;
0.001450;0.573080;0.015455;-0.588535;1.471966;
0.001460;0.568540;0.019283;-0.587823;1.463809;
0.001470;0.564129;0.023034;-0.587163;1.455633;
0.001480;0.559846;0.026709;-0.586555;1.447444;
0.001490;0.555692;0.030308;-0.586000;1.439248;
0.001500;0.551666;0.033831;-0.585497;1.431054;
0.001510;0.547768;0.037280;-0.585048;1.422865;
0.001520;0.543996;0.040654;-0.584651;1.414690;
0.001530;0.540352;0.043955;-0.584307;1.406533;
0.001540;0.536832;0.047184;-0.584016;1.398401;
0.001550;0.533438;0.050340;-0.583778;1.390299;
0.001560;0.530167;0.053426;-0.583592;1.382233;
0.001570;0.527018;0.056441;-0.583459;1.374207;
0.001580;0.523991;0.059387;-0.583378;1.366227;
0.001590;0.521084;0.062265;-0.583349;1.358297;
0.001600;0.518295;0.065075;-0.583370;1.350423;
0.001610;0.515623;0.067820;-0.583443;1.342608;
0.001620;0.513067;0.070499;-0.583566;1.334857;
0.001630;0.510624;0.073115;-0.583740;1.327174;
0.001640;0.508294;0.075668;-0.583962;1.319562;
0.001650;0.506073;0.078160;-0.584233;1.312027;
0.001660;0.503961;0.080591;-0.584552;1.304570;
0.001670;0.501955;0.082964;-0.584919;1.297196;
0.001680;0.500053;0.085279;-0.585332;1.289907;
0.001690;0.498253;0.087538;-0.585791;1.282707;
0.001700;0.496554;0.089742;-0.586295;1.275599;
0.001710;0.494952;0.091892;-0.586844;1.268584;
0.001720;0.493446;0.093990;-0.587436;1.261666;
0.001730;0.492033;0.096037;-0.588070;1.254846;
0.001740;0.490710;0.098036;-0.588746;1.248128;
0.001750;0.489477;0.099986;-0.589463;1.241512;
0.001760;0.488330;0.101889;-0.590219;1.235001;
0.001770;0.487266;0.103748;-0.591014;1.228596;
0.001780;0.486284;0.105563;-0.591847;1.222298;
0.001790;0.485380;0.107336;-0.592717;1.216110;
0.001800;0.484553;0.109069;-0.593622;1.210031;
0.001810;0.483800;0.110762;-0.594562;1.204064;
0.001820;0.483118;0.112418;-0.595536;1.198208;
0.001830;0.482504;0.114037;-0.596541;1.192466;
0.001840;0.481957;0.115622;-0.597579;1.186836;
0.001850;0.481473;0.117173;-0.598646;1.181320;
0.001860;0.481050;0.118693;-0.599743;1.175917;
0.001870;0.480686;0.120182;-0.600868;1.170629;
0.001880;0.480377;0.121643;-0.602020;1.165454;
0.001890;0.480122;0.123076;-0.603197;1.160394;
0.001900;0.479917;0.124482;-0.604400;1.155447;
0.001910;0.479761;0.125864;-0.605625;1.150613;
0.001920;0.479650;0.127223;-0.606873;1.145892;
0.001930;0.479582;0.128560;-0.608143;1.141283;
0.001940;0.479555;0.129877;-0.609432;1.136786;
0.001950;0.479566;0.131174;-0.610740;1.132399;
0.001960;0.479613;0.132454;-0.612067;1.128122;
0.001970;0.479693;0.133717;-0.613410;1.123953;
0.001980;0.479803;0.134965;-0.614768;1.119893;
0.001990;0.479942;0.136199;-0.616141;1.115939;
0.002000;0.480107;0.137420;-0.617528;1.112089;
0.002010;0.480296;0.138630;-0.618926;1.108344;
0.002020;0.480506;0.139830;-0.620336;1.104701;
0.002030;0.480735;0.141021;-0.621756;1.101159;
0.002040;0.480980;0.142204;-0.623185;1.097716;
0.002050;0.481241;0.143381;-0.624622;1.094370;
0.002060;0.481514;0.144552;-0.626065;1.091120;
0.002070;0.481797;0.145718;-0.627515;1.087965;
0.002080;0.482088;0.146881;-0.628970;1.084901;
0.002090;0.482386;0.148042;-0.630428;1.081927;
0.002100;0.482688;0.149202;-0.631890;1.079042;
0.002110;0.482991;0.150361;-0.633353;1.076243;
0.002120;0.483296;0.151521;-0.634817;1.073528;
0.002130;0.483598;0.152683;-0.636281;1.070895;
0.002140;0.483897;0.153847;-0.637744;1.068342;
0.002150;0.484191;0.155015;-0.639206;1.065867;
0.002160;0.484478;0.156187;-0.640665;1.063467;
0.002170;0.484756;0.157364;-0.642120;1.061140;
0.002180;0.485024;0.158547;-0.643571;1.058884;
0.002190;0.485280;0.159736;-0.645016;1.056697;
0.002200;0.485522;0.160933;-0.646456;1.054576;
0.002210;0.485750;0.162138;-0.647888;1.052519;
0.002220;0.485961;0.163352;-0.649313;1.050524;
