time;CAPBUS_cap_p_v_0_;CAPBUS_cap_p_v_1_;CAPBUS_cap_p_v_2_;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;MACHINE_machine_Wr;MACHINE_machine_dtheta;MACHINE_machine_Te;
0.000980;1.259346;-0.399995;-0.859351;-0.304955;0.100441;0.204514;1.000000;1.919776;0.603247;
0.001000;1.257640;-0.392313;-0.865327;-0.304573;0.098556;0.206017;1.000000;1.919776;0.603281;
0.001020;1.255886;-0.384611;-0.871275;-0.304179;0.096670;0.207509;1.000000;1.919776;0.603314;
0.001040;1.254084;-0.376887;-0.877197;-0.303773;0.094781;0.208992;1.000000;1.919776;0.603347;
0.001060;1.252235;-0.369139;-0.883096;-0.303355;0.092890;0.210465;1.000000;1.919776;0.603378;
0.001080;1.250338;-0.361365;-0.888974;-0.302925;0.090998;0.211928;1.000000;1.919776;0.603409;
0.001100;1.248395;-0.353563;-0.894832;-0.302483;0.089103;0.213380;1.000000;1.919776;0.603439;
0.001120;1.246405;-0.345732;-0.900673;-0.302029;0.087208;0.214822;1.000000;1.919776;0.603467;
0.001140;1.244368;-0.337871;-0.906498;-0.301564;0.085311;0.216253;1.000000;1.919776;0.603494;
0.001160;1.242284;-0.329977;-0.912308;-0.301086;0.083413;0.217673;1.000000;1.919776;0.603520;
0.001180;1.240154;-0.322050;-0.918104;-0.300597;0.081513;0.219084;1.000000;1.919776;0.603545;
0.001200;1.237977;-0.314090;-0.923887;-0.300096;0.079613;0.220483;1.000000;1.919776;0.603568;
0.001220;1.235753;-0.306097;-0.929657;-0.299583;0.077711;0.221872;1.000000;1.919776;0.603589;
0.001240;1.233483;-0.298071;-0.935412;-0.299059;0.075809;0.223250;1.000000;1.919776;0.603609;
0.001260;1.231165;-0.290013;-0.941152;-0.298523;0.073905;0.224618;1.000000;1.919776;0.603628;
0.001280;1.228799;-0.281924;-0.946875;-0.297975;0.072000;0.225975;1.000000;1.919776;0.603645;
0.001300;1.226386;-0.273806;-0.952580;-0.297415;0.070094;0.227321;1.000000;1.919776;0.603660;
0.001320;1.223925;-0.265662;-0.958263;-0.296844;0.068187;0.228657;1.000000;1.919776;0.603675;
0.001340;1.221415;-0.257494;-0.963921;-0.296261;0.066278;0.229983;1.000000;1.919776;0.603687;
0.001360;1.218858;-0.249305;-0.969553;-0.295666;0.064369;0.231298;1.000000;1.919776;0.603698;
0.001380;1.216251;-0.241098;-0.975153;-0.295060;0.062458;0.232602;1.000000;1.919776;0.603707;
0.001400;1.213595;-0.232876;-0.980719;-0.294442;0.060547;0.233896;1.000000;1.919776;0.603715;
0.001420;1.210890;-0.224644;-0.986246;-0.293813;0.058634;0.235179;1.000000;1.919776;0.603722;
0.001440;1.208136;-0.216404;-0.991732;-0.293172;0.056720;0.236452;1.000000;1.919776;0.603726;
0.001460;1.205332;-0.208160;-0.997171;-0.292519;0.054806;0.237714;1.000000;1.919776;0.603729;
0.001480;1.202478;-0.199916;-1.002562;-0.291855;0.052890;0.238965;1.000000;1.919776;0.603730;
0.001500;1.199575;-0.191675;-1.007899;-0.291180;0.050974;0.240205;1.000000;1.919776;0.603730;
0.001520;1.196621;-0.183440;-1.013181;-0.290493;0.049057;0.241435;1.000000;1.919776;0.603727;
0.001540;1.193619;-0.175214;-1.018405;-0.289794;0.047140;0.242654;1.000000;1.919776;0.603723;
0.001560;1.190566;-0.166998;-1.023568;-0.289084;0.045222;0.243862;1.000000;1.919776;0.603716;
0.001580;1.187464;-0.158796;-1.028668;-0.288363;0.043304;0.245058;1.000000;1.919776;0.603707;
0.001600;1.184313;-0.150608;-1.033705;-0.287630;0.041386;0.246244;1.000000;1.919776;0.603696;
0.001620;1.181113;-0.142436;-1.038677;-0.286885;0.039467;0.247418;1.000000;1.919776;0.603682;
0.001640;1.177865;-0.134280;-1.043584;-0.286130;0.037549;0.248581;1.000000;1.919776;0.603666;
0.001660;1.174568;-0.126141;-1.048427;-0.285363;0.035631;0.249732;1.000000;1.919776;0.603647;
0.001680;1.171223;-0.118017;-1.053206;-0.284585;0.033712;0.250873;1.000000;1.919776;0.603626;
0.001700;1.167831;-0.109909;-1.057922;-0.283796;0.031795;0.252001;1.000000;1.919776;0.603602;
0.001720;1.164392;-0.101816;-1.062576;-0.282995;0.029877;0.253118;1.000000;1.919776;0.603575;
0.001740;1.160906;-0.093735;-1.067171;-0.282183;0.027960;0.254224;1.000000;1.919776;0.603546;
0.001760;1.157374;-0.085666;-1.071707;-0.281361;0.026043;0.255318;1.000000;1.919776;0.603514;
0.001780;1.153796;-0.077607;-1.076189;-0.280527;0.024126;0.256401;1.000000;1.919776;0.603480;
0.001800;1.150172;-0.069555;-1.080617;-0.279682;0.022210;0.257472;1.000000;1.919776;0.603443;
0.001820;1.146503;-0.061508;-1.084995;-0.278826;0.020294;0.258532;1.000000;1.919776;0.603404;
0.001840;1.142790;-0.053466;-1.089324;-0.277959;0.018378;0.259581;1.000000;1.919776;0.603362;
0.001860;1.139031;-0.045425;-1.093607;-0.277081;0.016462;0.260619;1.000000;1.919776;0.603319;
0.001880;1.135229;-0.037384;-1.097845;-0.276192;0.014546;0.261646;1.000000;1.919776;0.603274;
0.001900;1.131382;-0.029342;-1.102040;-0.275292;0.012630;0.262662;1.000000;1.919776;0.603228;
0.001920;1.127491;-0.021297;-1.106194;-0.274381;0.010714;0.263668;1.000000;1.919776;0.603180;
0.001940;1.123556;-0.013248;-1.110308;-0.273460;0.008797;0.264663;1.000000;1.919776;0.603132;
0.001960;1.119577;-0.005195;-1.114382;-0.272527;0.006880;0.265648;1.000000;1.919776;0.603083;
0.001980;1.115554;0.002862;-1.118416;-0.271584;0.004962;0.266622;1.000000;1.919776;0.603034;
0.002000;1.111486;0.010923;-1.122410;-0.270630;0.003043;0.267587;1.000000;1.919776;0.602985;
0.002020;1.107375;0.018988;-1.126364;-0.269665;0.001123;0.268542;1.000000;1.919776;0.602936;
0.002040;1.103220;0.027056;-1.130276;-0.268690;-0.000798;0.269488;1.000000;1.919776;0.602888;
0.002060;1.099020;0.035125;-1.134145;-0.267704;-0.002721;0.270424;1.000000;1.919776;0.602841;
0.002080;1.094776;0.043194;-1.137970;-0.266707;-0.004644;0.271351;1.000000;1.919776;0.602796;
0.002100;1.090487;0.051260;-1.141747;-0.265699;-0.006570;0.272269;1.000000;1.919776;0.602752;
0.002120;1.086154;0.059323;-1.145476;-0.264681;-0.008496;0.273177;1.000000;1.919776;0.602710;
0.002140;1.081776;0.067379;-1.149154;-0.263652;-0.010425;0.274077;1.000000;1.919776;0.602670;
0.002160;1.077353;0.075426;-1.152779;-0.262613;-0.012354;0.274967;1.000000;1.919776;0.602633;
0.002180;1.072885;0.083462;-1.156348;-0.261563;-0.014286;0.275849;1.000000;1.919776;0.602598;
0.002200;1.068373;0.091486;-1.159858;-0.260503;-0.016219;0.276722;1.000000;1.919776;0.602566;
0.002220;1.063815;0.099494;-1.163309;-0.259432;-0.018153;0.277585;1.000000;1.919776;0.602537;
0.002240;1.059213;0.107484;-1.166698;-0.258351;-0.020088;0.278439;1.000000;1.919776;0.602510;
0.002260;1.054567;0.115456;-1.170023;-0.257260;-0.022024;0.279285;1.000000;1.919776;0.602487;
0.002280;1.049876;0.123408;-1.173284;-0.256159;-0.023962;0.280121;1.000000;1.919776;0.602466;
0.002300;1.045142;0.131338;-1.176480;-0.255048;-0.025900;0.280948;1.000000;1.919776;0.602448;
0.002320;1.040363;0.139246;-1.179610;-0.253926;-0.027840;0.281766;1.000000;1.919776;0.602433;
0.002340;1.035541;0.147133;-1.182674;-0.252795;-0.029780;0.282574;1.000000;1.919776;0.602421;
0.002360;1.030677;0.154997;-1.185674;-0.251653;-0.031720;0.283374;1.000000;1.919776;0.602412;
0.002380;1.025770;0.162841;-1.188610;-0.250502;-0.033661;0.284163;1.000000;1.919776;0.602405;
0.002400;1.020820;0.170664;-1.191484;-0.249340;-0.035602;0.284943;1.000000;1.919776;0.602402;
0.002420;1.015830;0.178468;-1.194298;-0.248169;-0.037544;0.285713;1.000000;1.919776;0.602400;
0.002440;1.010798;0.186255;-1.197054;-0.246988;-0.039485;0.286473;1.000000;1.919776;0.602401;
0.002460;1.005726;0.194028;-1.199754;-0.245797;-0.041425;0.287223;1.000000;1.919776;0.602405;
0.002480;1.000615;0.201787;-1.202402;-0.244597;-0.043365;0.287962;1.000000;1.919776;0.602410;
0.002500;0.995464;0.209537;-1.205001;-0.243387;-0.045305;0.288692;1.000000;1.919776;0.602418;
0.002520;0.990274;0.217279;-1.207553;-0.242168;-0.047244;0.289411;1.000000;1.919776;0.602429;
0.002540;0.985046;0.225016;-1.210062;-0.240939;-0.049182;0.290120;1.000000;1.919776;0.602441;
0.002560;0.979781;0.232751;-1.212532;-0.239701;-0.051118;0.290819;1.000000;1.919776;0.602456;
0.002580;0.974478;0.240486;-1.214964;-0.238453;-0.053054;0.291507;1.000000;1.919776;0.602472;
0.002600;0.969139;0.248224;-1.217363;-0.237197;-0.054988;0.292185;1.000000;1.919776;0.602491;
0.002620;0.963763;0.255967;-1.219729;-0.235931;-0.056921;0.292852;1.000000;1.919776;0.602512;
0.002640;0.958351;0.263716;-1.222067;-0.234656;-0.058853;0.293509;1.000000;1.919776;0.602536;
0.002660;0.952903;0.271474;-1.224377;-0.233372;-0.060783;0.294155;1.000000;1.919776;0.602562;
0.002680;0.947420;0.279241;-1.226661;-0.232079;-0.062712;0.294791;1.000000;1.919776;0.602590;
0.002700;0.941901;0.287018;-1.228920;-0.230777;-0.064639;0.295416;1.000000;1.919776;0.602621;
0.002720;0.936348;0.294806;-1.231154;-0.229466;-0.066565;0.296031;1.000000;1.919776;0.602654;
0.002740;0.930759;0.302604;-1.233363;-0.228146;-0.068489;0.296635;1.000000;1.919776;0.602690;
