time;GEN_generator_UStatorPu;GEN_voltageRegulator_EfdPu;GEN_governor_PmPu;GEN_generator_omegaPu;GEN_generator_Te;
0.001760;0.915824;1.019760;0.602725;1.000000;0.603515;
0.001780;0.915912;1.017992;0.602725;1.000000;0.603481;
0.001800;0.915995;1.016328;0.602725;1.000000;0.603444;
0.001820;0.916072;1.014791;0.602725;1.000000;0.603405;
0.001840;0.916141;1.013407;0.602725;1.000000;0.603363;
0.001860;0.916201;1.012198;0.602725;1.000000;0.603320;
0.001880;0.916252;1.011186;0.602725;1.000000;0.603275;
0.001900;0.916292;1.010390;0.602725;1.000000;0.603228;
0.001920;0.916320;1.009826;0.602725;1.000000;0.603180;
0.001940;0.916336;1.009507;0.602725;1.000000;0.603132;
0.001960;0.916339;1.009442;0.602725;1.000000;0.603083;
0.001980;0.916329;1.009638;0.602725;1.000000;0.603033;
0.002000;0.916306;1.010095;0.602725;1.000000;0.602984;
0.002020;0.916271;1.010810;0.602725;1.000000;0.602935;
0.002040;0.916222;1.011778;0.602725;1.000000;0.602887;
0.002060;0.916162;1.012987;0.602725;1.000000;0.602840;
0.002080;0.916090;1.014423;0.602725;1.000000;0.602795;
0.002100;0.916008;1.016068;0.602725;1.000000;0.602751;
0.002120;0.915916;1.017902;0.602725;1.000000;0.602709;
0.002140;0.915816;1.019901;0.602725;1.000000;0.602669;
0.002160;0.915709;1.022041;0.602725;1.000000;0.602631;
0.002180;0.915596;1.024297;0.602725;1.000000;0.602597;
0.002200;0.915479;1.026640;0.602725;1.000000;0.602564;
0.002220;0.915360;1.029008;0.602725;1.000000;0.602535;
0.002240;0.915238;1.031452;0.602725;1.000000;0.602508;
0.002260;0.915115;1.033909;0.602725;1.000000;0.602485;
0.002280;0.914993;1.036357;0.602725;1.000000;0.602464;
0.002300;0.914872;1.038776;0.602725;1.000000;0.602446;
0.002320;0.914753;1.041149;0.602725;1.000000;0.602431;
0.002340;0.914638;1.043463;0.602725;1.000000;0.602419;
0.002360;0.914525;1.045708;0.602725;1.000000;0.602410;
0.002380;0.914417;1.047879;0.602725;1.000000;0.602403;
0.002400;0.914312;1.049972;0.602725;1.000000;0.602399;
0.002420;0.914211;1.051989;0.602725;1.000000;0.602398;
0.002440;0.914114;1.053933;0.602725;1.000000;0.602399;
0.002460;0.914020;1.055812;0.602725;1.000000;0.602403;
0.002480;0.913929;1.057635;0.602725;1.000000;0.602408;
0.002500;0.913840;1.059414;0.602725;1.000000;0.602417;
0.002520;0.913753;1.061162;0.602725;1.000000;0.602427;
0.002540;0.913666;1.062894;0.602725;1.000000;0.602439;
0.002560;0.913580;1.064622;0.602725;1.000000;0.602454;
0.002580;0.913493;1.066362;0.602725;1.000000;0.602471;
0.002600;0.913405;1.068124;0.602725;1.000000;0.602490;
0.002620;0.913315;1.069920;0.602725;1.000000;0.602511;
0.002640;0.913223;1.071758;0.602725;1.000000;0.602535;
0.002660;0.913129;1.073643;0.602725;1.000000;0.602561;
0.002680;0.913032;1.075576;0.602725;1.000000;0.602589;
0.002700;0.912933;1.077556;0.602725;1.000000;0.602620;
0.002720;0.912832;1.079578;0.602725;1.000000;0.602653;
0.002740;0.912729;1.081631;0.602725;1.000000;0.602689;
0.002760;0.912626;1.083702;0.602725;1.000000;0.602728;
0.002780;0.912522;1.085774;0.602725;1.000000;0.602769;
