time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;SM_pss_UPssPu;
1.051146;1.000426;20.756100;0.999877;4.483625;-0.001479;
1.059338;1.000383;20.827085;1.002082;3.393845;-0.001355;
1.067530;1.000337;20.875439;1.003685;2.635247;-0.001143;
1.075722;1.000289;20.904996;1.004801;2.119692;-0.000869;
1.083914;1.000240;20.919247;1.005533;1.780788;-0.000560;
1.092106;1.000190;20.921239;1.005970;1.569791;-0.000236;
1.100298;1.000141;20.913559;1.006183;1.450900;0.000084;
1.108490;1.000092;20.898360;1.006232;1.397558;0.000387;
1.116682;1.000044;20.877392;1.006166;1.389842;0.000665;
1.124874;0.999997;20.852052;1.006022;1.412711;0.000911;
1.141258;0.999908;20.793194;1.005634;1.498857;0.001294;
1.157642;0.999825;20.726281;1.005187;1.609527;0.001536;
1.174026;0.999750;20.654290;1.004760;1.714090;0.001648;
1.190410;0.999682;20.578784;1.004391;1.796670;0.001649;
1.206794;0.999623;20.500400;1.004090;1.851990;0.001560;
1.223178;0.999572;20.419291;1.003853;1.881290;0.001404;
1.239562;0.999530;20.335481;1.003663;1.889198;0.001200;
1.255946;0.999497;20.249079;1.003505;1.881611;0.000967;
1.272330;0.999473;20.160396;1.003363;1.864415;0.000717;
1.305098;0.999454;19.979969;1.003067;1.825300;0.000217;
1.337866;0.999473;19.800990;1.002722;1.795138;-0.000255;
1.370634;0.999529;19.632321;1.002301;1.789209;-0.000666;
1.403402;0.999617;19.483601;1.001805;1.814691;-0.000995;
1.436170;0.999734;19.364026;1.001248;1.872765;-0.001231;
1.468938;0.999872;19.281391;1.000656;1.960720;-0.001367;
1.501706;1.000023;19.241364;1.000056;2.073524;-0.001400;
1.534474;1.000176;19.247025;0.999477;2.204824;-0.001333;
1.567242;1.000324;19.298647;0.998947;2.347540;-0.001174;
1.600010;1.000456;19.393697;0.998488;2.494222;-0.000934;
1.632778;1.000564;19.527004;0.998121;2.637285;-0.000629;
1.665546;1.000641;19.691083;0.997862;2.769213;-0.000278;
1.698314;1.000681;19.876574;0.997724;2.882776;0.000096;
1.731082;1.000682;20.072757;0.997714;2.971286;0.000471;
1.763850;1.000641;20.268140;0.997837;3.028924;0.000822;
1.796618;1.000561;20.451063;0.998093;3.051116;0.001129;
1.829386;1.000445;20.610321;0.998473;3.034961;0.001372;
1.862154;1.000299;20.735774;0.998963;2.979641;0.001536;
1.894922;1.000132;20.818927;0.999540;2.886763;0.001608;
1.927690;0.999953;20.853464;1.000173;2.760552;0.001583;
1.960458;0.999772;20.835711;1.000824;2.607830;0.001460;
1.993226;0.999600;20.765004;1.001449;2.437729;0.001244;
2.025994;0.999449;20.643910;1.002003;2.261130;0.000946;
2.058762;0.999328;20.478273;1.002443;2.089860;0.000582;
2.091530;0.999246;20.277033;1.002732;1.935734;0.000171;
2.124298;0.999208;20.051803;1.002846;1.809543;-0.000263;
2.157066;0.999219;19.816193;1.002774;1.720130;-0.000694;
2.189834;0.999278;19.584942;1.002517;1.673673;-0.001094;
2.222602;0.999384;19.372898;1.002096;1.673259;-0.001439;
2.255370;0.999531;19.193972;1.001539;1.718796;-0.001704;
2.288138;0.999710;19.060140;1.000886;1.807233;-0.001870;
2.320906;0.999911;18.980614;1.000180;1.933013;-0.001924;
2.353674;1.000122;18.961226;0.999464;2.088664;-0.001859;
2.386442;1.000330;19.004070;0.998780;2.265399;-0.001677;
2.419210;1.000523;19.107415;0.998163;2.453644;-0.001387;
2.451978;1.000689;19.265858;0.997644;2.643458;-0.001005;
2.484746;1.000816;19.470688;0.997247;2.824832;-0.000553;
2.517514;1.000896;19.710425;0.996992;2.987937;-0.000058;
2.550282;1.000924;19.971470;0.996894;3.123366;0.000451;
2.583050;1.000897;20.238853;0.996964;3.222458;0.000942;
2.615818;1.000815;20.497009;0.997208;3.277748;0.001385;
2.648586;1.000681;20.730580;0.997625;3.283535;0.001754;
2.681354;1.000503;20.925196;0.998203;3.236540;0.002024;
2.714122;1.000289;21.068241;0.998922;3.136557;0.002178;
2.746890;1.000053;21.149578;0.999747;2.986971;0.002205;
2.779658;0.999806;21.162219;1.000633;2.795009;0.002100;
2.812426;0.999565;21.102924;1.001521;2.571616;0.001866;
2.845194;0.999344;20.972661;1.002347;2.330882;0.001513;
2.877962;0.999158;20.776887;1.003046;2.089030;0.001059;
2.910730;0.999018;20.525536;1.003559;1.863061;0.000528;
2.943498;0.998936;20.232676;1.003840;1.669204;-0.000051;
2.976266;0.998918;19.915772;1.003861;1.521404;-0.000645;
3.009034;0.998966;19.594583;1.003619;1.430045;-0.001217;
3.041802;0.999080;19.289780;1.003131;1.401121;-0.001730;
3.074570;0.999254;19.021422;1.002437;1.435943;-0.002150;
3.107338;0.999478;18.807454;1.001590;1.531393;-0.002447;
3.140106;0.999739;18.662402;1.000650;1.680623;-0.002599;
3.172874;1.000022;18.596376;0.999681;1.874011;-0.002592;
3.205642;1.000309;18.614457;0.998738;2.100155;-0.002422;
3.238410;1.000583;18.716472;0.997872;2.346730;-0.002096;
3.271178;1.000828;18.897134;0.997122;2.601083;-0.001633;
3.303946;1.001027;19.146478;0.996520;2.850565;-0.001059;
3.336714;1.001169;19.450541;0.996090;3.082673;-0.000408;
3.369482;1.001242;19.792203;0.995851;3.285124;0.000279;
3.402250;1.001243;20.152143;0.995822;3.446042;0.000962;
3.435018;1.001168;20.509839;0.996014;3.554351;0.001599;
3.467786;1.001020;20.844582;0.996436;3.600461;0.002151;
3.500554;1.000808;21.136471;0.997086;3.577224;0.002584;
3.533322;1.000541;21.367368;0.997951;3.481039;0.002872;
3.566090;1.000233;21.521822;0.998999;3.312930;0.002994;
3.598858;0.999903;21.587970;1.000177;3.079352;0.002940;
3.631626;0.999570;21.558403;1.001415;2.792497;0.002710;
3.664394;0.999253;21.430966;1.002624;2.469914;0.002311;
3.697162;0.998973;21.209414;1.003707;2.133372;0.001763;
3.729930;0.998749;20.903771;1.004569;1.807036;0.001092;
3.762698;0.998596;20.530256;1.005131;1.515151;0.000334;
3.795466;0.998527;20.110627;1.005336;1.279579;-0.000469;
3.828234;0.998547;19.670899;1.005162;1.117561;-0.001268;
3.861002;0.998659;19.239503;1.004624;1.040082;-0.002014;
3.893770;0.998857;18.845083;1.003770;1.051101;-0.002658;
3.926538;0.999131;18.514213;1.002674;1.147745;-0.003154;
3.959306;0.999464;18.269326;1.001424;1.321349;-0.003464;
3.992074;0.999837;18.127095;1.000112;1.559063;-0.003564;
4.024842;1.000228;18.097397;0.998821;1.845592;-0.003441;
4.057610;1.000612;18.182876;0.997621;2.164717;-0.003097;
4.090378;1.000967;18.379053;0.996565;2.500292;-0.002552;
4.123146;1.001269;18.674881;0.995689;2.836663;-0.001836;
4.155914;1.001501;19.053622;0.995020;3.158601;-0.000994;
4.188682;1.001647;19.493952;0.994579;3.450995;-0.000076;
4.221450;1.001697;19.971202;0.994387;3.698600;0.000861;
4.254218;1.001646;20.458664;0.994464;3.886126;0.001761;
4.286986;1.001495;20.928887;0.994832;3.998858;0.002570;
4.319754;1.001250;21.354919;0.995507;4.023862;0.003238;
4.352522;1.000923;21.711479;0.996490;3.951692;0.003725;
4.385290;1.000532;21.976053;0.997766;3.778336;0.004001;
4.418058;1.000097;22.129984;0.999284;3.507018;0.004046;
4.450826;0.999644;22.159591;1.000964;3.149438;0.003854;
4.483594;0.999198;22.057356;1.002692;2.726024;0.003429;
4.516362;0.998788;21.823118;1.004329;2.264963;0.002789;
4.549130;0.998441;21.465088;1.005729;1.799945;0.001963;
4.581898;0.998181;21.000422;1.006754;1.366852;0.000992;
4.614666;0.998026;20.454994;1.007296;0.999834;-0.000072;
4.647434;0.997992;19.862161;1.007297;0.727421;-0.001170;
4.680202;0.998082;19.260453;1.006754;0.569349;-0.002233;
4.709694;0.998269;18.743820;1.005892;0.531011;-0.003106;
4.739185;0.998548;18.280678;1.004669;0.592510;-0.003846;
4.765727;0.998868;17.930914;1.003358;0.728120;-0.004363;
4.792269;0.999240;17.662294;1.001928;0.930765;-0.004708;
4.818811;0.999650;17.487126;1.000453;1.189447;-0.004861;
4.845353;1.000081;17.413333;0.998998;1.492332;-0.004810;
4.871895;1.000515;17.444315;0.997626;1.827012;-0.004554;
4.898437;1.000935;17.578750;0.996378;2.181455;-0.004101;
4.924979;1.001323;17.811323;0.995280;2.545085;-0.003467;
4.951522;1.001664;18.132971;0.994350;2.907944;-0.002679;
4.978064;1.001943;18.531356;0.993600;3.260564;-0.001769;
5.004606;1.002149;18.991455;0.993035;3.593597;-0.000774;
5.031148;1.002273;19.496169;0.992663;3.897389;0.000264;
5.057690;1.002309;20.026949;0.992495;4.161684;0.001303;
5.084232;1.002254;20.564625;0.992548;4.375563;0.002302;
5.110774;1.002109;21.089359;0.992838;4.527626;0.003220;
5.137316;1.001877;21.581752;0.993389;4.606737;0.004021;
5.163858;1.001565;22.023233;0.994215;4.602933;0.004675;
5.190400;1.001184;22.396479;0.995327;4.508588;0.005154;
5.216942;1.000747;22.685869;0.996718;4.320014;0.005441;
5.243484;1.000269;22.877777;0.998355;4.037687;0.005522;
5.270026;0.999768;22.961256;1.000189;3.668042;0.005392;
5.296569;0.999262;22.928370;1.002145;3.223730;0.005051;
5.323111;0.998772;22.774764;1.004120;2.723176;0.004507;
5.349653;0.998319;22.500854;1.006007;2.190459;0.003773;
5.376195;0.997923;22.112157;1.007678;1.653219;0.002872;
5.402737;0.997603;21.619979;1.009017;1.140822;0.001831;
5.429279;0.997374;21.041559;1.009922;0.682064;0.000684;
5.455821;0.997249;20.399737;1.010320;0.302714;-0.000528;
5.482363;0.997237;19.722026;1.010177;0.023285;-0.001759;
