time;BE_G1_generator_omegaPu;BE_G1_generator_PGenPu;BE_G1_generator_QGenPu;BE_G1_generator_UPu;BE_G1_generator_efdPu;BE_G1_compensator_VcPu;BE_G1_pss_VPssPu;BE_G1_governor_Pm1Pu;BE_G2_generator_omegaPu;BE_G2_generator_PGenPu;BE_G2_generator_QGenPu;BE_G2_generator_UPu;
0.011278;1.000005;0.889700;-0.734800;0.987411;0.828533;0.987411;0.012765;0.300000;1.000003;1.172471;0.780592;1.047212;
0.015374;1.000006;0.889676;-0.734773;0.987418;0.858308;0.987418;0.014583;0.300000;1.000004;1.172531;0.780529;1.047216;
0.019061;1.000008;0.889697;-0.734737;0.987427;0.886574;0.987427;0.015401;0.300000;1.000005;1.172557;0.780447;1.047222;
0.022747;1.000009;0.889759;-0.734692;0.987440;0.914666;0.987440;0.015638;0.300000;1.000006;1.172558;0.780339;1.047229;
0.026433;1.000011;0.889863;-0.734636;0.987456;0.941481;0.987456;0.015441;0.300000;1.000007;1.172534;0.780207;1.047239;
0.030120;1.000012;0.890007;-0.734572;0.987475;0.966242;0.987475;0.014925;0.300000;1.000008;1.172488;0.780049;1.047250;
0.033806;1.000013;0.890189;-0.734500;0.987497;0.988423;0.987497;0.014184;0.300000;1.000009;1.172422;0.779867;1.047264;
0.041179;1.000016;0.890653;-0.734337;0.987550;1.023903;0.987550;0.012322;0.300000;1.000010;1.172237;0.779441;1.047298;
0.048552;1.000019;0.891235;-0.734155;0.987613;1.047403;0.987613;0.010160;0.299999;1.000012;1.171993;0.778940;1.047339;
0.063297;1.000024;0.892615;-0.733766;0.987760;1.062238;0.987760;0.005870;0.299999;1.000016;1.171413;0.777805;1.047437;
0.075650;1.000027;0.893910;-0.733436;0.987898;1.046266;0.987899;0.002586;0.299998;1.000020;1.170877;0.776769;1.047531;
0.088002;1.000029;0.895215;-0.733125;0.988040;1.011678;0.988040;-0.000132;0.299997;1.000024;1.170359;0.775730;1.047629;
0.099120;1.000031;0.896324;-0.732877;0.988164;0.970033;0.988164;-0.002021;0.299996;1.000028;1.169947;0.774839;1.047717;
0.110237;1.000033;0.897311;-0.732667;0.988278;0.923414;0.988278;-0.003378;0.299995;1.000031;1.169614;0.774027;1.047800;
0.121354;1.000034;0.898138;-0.732502;0.988381;0.875730;0.988381;-0.004237;0.299993;1.000035;1.169378;0.773318;1.047875;
0.132472;1.000034;0.898682;-0.732404;0.988461;0.832171;0.988461;-0.004465;0.299992;1.000039;1.169306;0.772788;1.047937;
0.141883;1.000035;0.898998;-0.732352;0.988516;0.799506;0.988516;-0.004423;0.299990;1.000043;1.169324;0.772431;1.047980;
0.150171;1.000035;0.899170;-0.732329;0.988557;0.774343;0.988557;-0.004233;0.299989;1.000046;1.169398;0.772182;1.048013;
0.157630;1.000035;0.899242;-0.732324;0.988586;0.754781;0.988586;-0.003957;0.299987;1.000048;1.169509;0.772010;1.048038;
0.164343;1.000035;0.899244;-0.732333;0.988607;0.739819;0.988607;-0.003639;0.299986;1.000051;1.169644;0.771894;1.048057;
0.171056;1.000036;0.899188;-0.732353;0.988623;0.727443;0.988623;-0.003264;0.299985;1.000053;1.169809;0.771814;1.048072;
0.177769;1.000036;0.899079;-0.732383;0.988635;0.717606;0.988635;-0.002846;0.299983;1.000055;1.170003;0.771766;1.048084;
0.191195;1.000036;0.898757;-0.732462;0.988650;0.703552;0.988650;-0.001946;0.299980;1.000060;1.170445;0.771736;1.048103;
0.204621;1.000037;0.898290;-0.732568;0.988652;0.698008;0.988652;-0.000987;0.299977;1.000064;1.170964;0.771794;1.048113;
0.218047;1.000038;0.897713;-0.732693;0.988645;0.700166;0.988645;-0.000035;0.299974;1.000068;1.171541;0.771920;1.048116;
0.231474;1.000040;0.897069;-0.732830;0.988633;0.708571;0.988632;0.000850;0.299971;1.000071;1.172152;0.772088;1.048116;
0.244900;1.000041;0.896398;-0.732972;0.988618;0.721645;0.988617;0.001621;0.299968;1.000075;1.172776;0.772272;1.048114;
0.258326;1.000043;0.895737;-0.733112;0.988603;0.737713;0.988603;0.002248;0.299964;1.000078;1.173394;0.772452;1.048112;
0.271752;1.000046;0.895118;-0.733247;0.988592;0.755165;0.988592;0.002711;0.299960;1.000081;1.173989;0.772611;1.048112;
0.285178;1.000048;0.894563;-0.733374;0.988586;0.772558;0.988585;0.003008;0.299956;1.000083;1.174548;0.772735;1.048116;
0.296280;1.000051;0.894193;-0.733468;0.988588;0.785472;0.988588;0.003080;0.299953;1.000085;1.174960;0.772791;1.048125;
0.307383;1.000053;0.893889;-0.733554;0.988594;0.796533;0.988593;0.003061;0.299949;1.000087;1.175336;0.772815;1.048137;
0.318485;1.000056;0.893647;-0.733634;0.988605;0.805527;0.988604;0.002968;0.299945;1.000089;1.175675;0.772808;1.048152;
0.340689;1.000062;0.893297;-0.733783;0.988636;0.818472;0.988636;0.002655;0.299937;1.000092;1.176272;0.772737;1.048189;
0.362894;1.000067;0.893139;-0.733917;0.988679;0.823632;0.988679;0.002199;0.299929;1.000094;1.176746;0.772590;1.048236;
0.385098;1.000073;0.893137;-0.734045;0.988730;0.821589;0.988730;0.001685;0.299919;1.000097;1.177110;0.772398;1.048288;
0.407303;1.000079;0.893241;-0.734174;0.988782;0.813897;0.988782;0.001194;0.299909;1.000099;1.177382;0.772197;1.048341;
0.429507;1.000085;0.893402;-0.734312;0.988832;0.802569;0.988832;0.000785;0.299898;1.000101;1.177581;0.772021;1.048393;
0.451712;1.000090;0.893581;-0.734462;0.988875;0.789437;0.988875;0.000488;0.299886;1.000103;1.177722;0.771895;1.048440;
0.473916;1.000095;0.893740;-0.734626;0.988907;0.776745;0.988907;0.000315;0.299873;1.000104;1.177820;0.771842;1.048478;
0.492810;1.000100;0.893838;-0.734779;0.988920;0.767905;0.988920;0.000285;0.299861;1.000106;1.177859;0.771888;1.048500;
0.511704;1.000104;0.893909;-0.734939;0.988925;0.760934;0.988925;0.000300;0.299848;1.000107;1.177871;0.771987;1.048515;
0.530598;1.000108;0.893961;-0.735100;0.988922;0.755746;0.988922;0.000341;0.299835;1.000109;1.177855;0.772134;1.048523;
0.568385;1.000116;0.894041;-0.735421;0.988901;0.748819;0.988901;0.000438;0.299807;1.000112;1.177748;0.772513;1.048526;
0.606173;1.000124;0.894104;-0.735729;0.988859;0.746223;0.988859;0.000524;0.299777;1.000115;1.177524;0.773002;1.048511;
0.649821;1.000133;0.894203;-0.736034;0.988785;0.747002;0.988785;0.000534;0.299737;1.000119;1.177057;0.773677;1.048468;
0.686539;1.000140;0.894301;-0.736257;0.988716;0.747891;0.988716;0.000509;0.299701;1.000124;1.176596;0.774259;1.048423;
0.759974;1.000153;0.894443;-0.736588;0.988567;0.750412;0.988567;0.000460;0.299622;1.000135;1.175625;0.775390;1.048318;
0.833408;1.000166;0.894467;-0.736826;0.988423;0.754223;0.988423;0.000454;0.299536;1.000148;1.174768;0.776418;1.048210;
0.906843;1.000178;0.894373;-0.736997;0.988292;0.759177;0.988291;0.000483;0.299445;1.000163;1.174088;0.777318;1.048108;
1.053713;1.000201;0.893894;-0.737226;0.988098;0.769838;0.988098;0.000569;0.299247;1.000194;1.173421;0.778615;1.047958;
1.200582;1.000225;0.893112;-0.737380;0.988046;0.776617;0.988047;0.000619;0.299017;1.000225;1.173929;0.779020;1.047926;
