time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_ifPu;MACHINE_machine_MdSatPPu;MACHINE_machine_MqSatPPu;MACHINE_machine_lambdaAirGapPu;
0.001480;1.000067;0.521110;0.862040;1.529726;1.479726;0.924478;
0.001500;1.000068;0.502259;0.873616;1.532553;1.482553;0.921361;
0.001520;1.000068;0.492697;0.884344;1.535144;1.485144;0.918458;
0.001540;1.000069;0.492920;0.894228;1.537511;1.487511;0.915765;
0.001560;1.000069;0.502088;0.903287;1.539668;1.489668;0.913276;
0.001580;1.000070;0.518369;0.911558;1.541632;1.491632;0.910980;
0.001600;1.000070;0.539489;0.919088;1.543419;1.493419;0.908864;
0.001620;1.000070;0.563247;0.925934;1.545047;1.495047;0.906914;
0.001640;1.000071;0.587820;0.932157;1.546534;1.496534;0.905114;
0.001660;1.000071;0.611889;0.937821;1.547896;1.497896;0.903449;
0.001680;1.000071;0.634641;0.942987;1.549148;1.499148;0.901905;
0.001700;1.000072;0.655722;0.947710;1.550303;1.500303;0.900467;
0.001720;1.000072;0.675155;0.952037;1.551371;1.501371;0.899127;
0.001740;1.000072;0.693271;0.956006;1.552361;1.502361;0.897876;
0.001760;1.000072;0.710638;0.959638;1.553277;1.503277;0.896710;
0.001780;1.000072;0.728002;0.962942;1.554119;1.504119;0.895631;
0.001800;1.000073;0.746234;0.965911;1.554885;1.504885;0.894643;
0.001820;1.000073;0.766296;0.968520;1.555569;1.505569;0.893756;
0.001840;1.000073;0.789196;0.970730;1.556161;1.506161;0.892985;
0.001860;1.000073;0.815955;0.972487;1.556647;1.506647;0.892349;
0.001880;1.000073;0.847561;0.973724;1.557011;1.507011;0.891871;
0.001900;1.000073;0.884921;0.974362;1.557233;1.507233;0.891578;
0.001920;1.000073;0.928798;0.974315;1.557292;1.507292;0.891500;
0.001940;1.000074;0.979747;0.973492;1.557164;1.507164;0.891668;
0.001960;1.000074;1.038055;0.971800;1.556821;1.506821;0.892117;
0.001980;1.000074;1.103698;0.969147;1.556238;1.506238;0.892879;
0.002000;1.000074;1.176307;0.965450;1.555385;1.505385;0.893989;
0.002020;1.000074;1.255173;0.960634;1.554233;1.504233;0.895476;
0.002040;1.000074;1.339258;0.954636;1.552753;1.502753;0.897369;
