time;NETWORK_B1_Urms;NETWORK_DL1_fict_Urms;NETWORK_DL1_Irms;
0.001500;1.014583;0.596105;0.119221;
0.001510;1.010706;0.598785;0.119757;
0.001520;1.006875;0.601409;0.120282;
0.001530;1.003093;0.603978;0.120796;
0.001540;0.999363;0.606493;0.121299;
0.001550;0.995688;0.608954;0.121791;
0.001560;0.992071;0.611363;0.122273;
0.001570;0.988515;0.613720;0.122744;
0.001580;0.985023;0.616026;0.123205;
0.001590;0.981596;0.618283;0.123657;
0.001600;0.978237;0.620491;0.124098;
0.001610;0.974948;0.622651;0.124530;
0.001620;0.971731;0.624765;0.124953;
0.001630;0.968587;0.626832;0.125366;
0.001640;0.965519;0.628854;0.125771;
0.001650;0.962527;0.630833;0.126167;
0.001660;0.959613;0.632769;0.126554;
0.001670;0.956779;0.634662;0.126932;
0.001680;0.954025;0.636515;0.127303;
0.001690;0.951352;0.638328;0.127666;
0.001700;0.948761;0.640102;0.128020;
0.001710;0.946253;0.641838;0.128368;
0.001720;0.943828;0.643537;0.128707;
0.001730;0.941487;0.645200;0.129040;
0.001740;0.939230;0.646829;0.129366;
0.001750;0.937057;0.648423;0.129685;
0.001760;0.934969;0.649985;0.129997;
0.001770;0.932964;0.651514;0.130303;
0.001780;0.931044;0.653013;0.130603;
0.001790;0.929208;0.654481;0.130896;
0.001800;0.927455;0.655921;0.131184;
0.001810;0.925786;0.657332;0.131466;
0.001820;0.924199;0.658717;0.131743;
0.001830;0.922695;0.660075;0.132015;
0.001840;0.921272;0.661408;0.132282;
0.001850;0.919930;0.662716;0.132543;
0.001860;0.918668;0.664001;0.132800;
0.001870;0.917485;0.665263;0.133053;
0.001880;0.916380;0.666503;0.133301;
0.001890;0.915353;0.667723;0.133545;
0.001900;0.914401;0.668923;0.133785;
0.001910;0.913525;0.670103;0.134021;
0.001920;0.912722;0.671265;0.134253;
0.001930;0.911992;0.672409;0.134482;
0.001940;0.911334;0.673536;0.134707;
0.001950;0.910745;0.674647;0.134929;
0.001960;0.910225;0.675743;0.135149;
0.001970;0.909772;0.676825;0.135365;
0.001980;0.909385;0.677892;0.135578;
0.001990;0.909063;0.678946;0.135789;
0.002000;0.908803;0.679988;0.135998;
0.002010;0.908605;0.681017;0.136203;
0.002020;0.908467;0.682036;0.136407;
0.002030;0.908386;0.683043;0.136609;
0.002040;0.908363;0.684041;0.136808;
0.002050;0.908395;0.685029;0.137006;
0.002060;0.908480;0.686009;0.137202;
0.002070;0.908617;0.686980;0.137396;
0.002080;0.908804;0.687943;0.137589;
0.002090;0.909040;0.688899;0.137780;
0.002100;0.909323;0.689848;0.137970;
0.002110;0.909651;0.690791;0.138158;
0.002120;0.910023;0.691728;0.138346;
0.002130;0.910436;0.692659;0.138532;
