time;CAPBUS_cap_p_v_0_;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;MACHINE_machine_omegaPu;MACHINE_machine_theta;MACHINE_machine_cePu;MACHINE_machine_UStatorPu;MACHINE_machine_ifPu;
0.001000;1.135842;0.266977;-0.333185;0.066209;1.000031;1.120141;-0.104507;1.245583;0.561413;
0.001020;1.085072;0.277223;-0.339695;0.062472;1.000033;1.126424;-0.109037;1.112031;0.558107;
0.001040;1.040704;0.281684;-0.342927;0.061243;1.000035;1.132707;-0.110094;0.978123;0.556594;
0.001060;1.000910;0.280241;-0.342838;0.062597;1.000037;1.138991;-0.107636;0.847960;0.556920;
0.001080;0.963743;0.272870;-0.339437;0.066567;1.000039;1.145274;-0.101676;0.726686;0.559104;
0.001100;0.927218;0.259640;-0.332783;0.073143;1.000041;1.151558;-0.092287;0.620863;0.563135;
0.001120;0.889384;0.240716;-0.322988;0.082271;1.000043;1.157841;-0.079597;0.538518;0.568972;
0.001140;0.848409;0.216352;-0.310210;0.093858;1.000045;1.164125;-0.063786;0.487667;0.576545;
0.001160;0.802650;0.186887;-0.294656;0.107770;1.000047;1.170408;-0.045086;0.472115;0.585757;
0.001180;0.750720;0.152736;-0.276572;0.123836;1.000049;1.176692;-0.023768;0.487434;0.596487;
0.001200;0.691547;0.114382;-0.256238;0.141855;1.000051;1.182975;-0.000142;0.522845;0.608589;
0.001220;0.624420;0.072366;-0.233964;0.161598;1.000052;1.189259;0.025455;0.566970;0.621899;
0.001240;0.549026;0.027269;-0.210083;0.182814;1.000054;1.195542;0.052662;0.611196;0.636241;
0.001260;0.465471;-0.020294;-0.184941;0.205235;1.000056;1.201826;0.081108;0.649954;0.651422;
0.001280;0.374288;-0.069696;-0.158891;0.228586;1.000057;1.208109;0.110419;0.679976;0.667248;
0.001300;0.276433;-0.120304;-0.132285;0.252588;1.000058;1.214393;0.140222;0.699578;0.683518;
0.001320;0.173260;-0.171498;-0.105467;0.276965;1.000060;1.220676;0.170158;0.708194;0.700038;
0.001340;0.066492;-0.222684;-0.078764;0.301448;1.000061;1.226960;0.199888;0.706094;0.716617;
0.001360;-0.041826;-0.273303;-0.052483;0.325785;1.000062;1.233243;0.229098;0.694207;0.733075;
0.001380;-0.149388;-0.322844;-0.026900;0.349744;1.000063;1.239527;0.257507;0.674013;0.749247;
0.001400;-0.253689;-0.370854;-0.002262;0.373116;1.000064;1.245811;0.284869;0.647469;0.764985;
0.001420;-0.352103;-0.416942;0.021224;0.395718;1.000065;1.252094;0.310977;0.616944;0.780160;
0.001440;-0.441958;-0.460788;0.043388;0.417400;1.000066;1.258378;0.335667;0.585140;0.794666;
0.001460;-0.520621;-0.502142;0.064101;0.438041;1.000066;1.264661;0.358816;0.554967;0.808417;
0.001480;-0.585578;-0.540828;0.083275;0.457553;1.000067;1.270945;0.380344;0.529319;0.821354;
0.001500;-0.634512;-0.576743;0.100861;0.475882;1.000068;1.277229;0.400210;0.510718;0.833437;
0.001520;-0.665379;-0.609848;0.116846;0.493002;1.000068;1.283512;0.418412;0.500878;0.844650;
0.001540;-0.676476;-0.640170;0.131254;0.508916;1.000069;1.289796;0.434980;0.500335;0.854996;
0.001560;-0.666494;-0.667789;0.144137;0.523653;1.000069;1.296079;0.449975;0.508376;0.864498;
0.001580;-0.634570;-0.692834;0.155571;0.537264;1.000070;1.302363;0.463481;0.523334;0.873193;
0.001600;-0.580317;-0.715469;0.165651;0.549817;1.000070;1.308647;0.475603;0.543087;0.881130;
0.001620;-0.503846;-0.735882;0.174487;0.561395;1.000070;1.314930;0.486455;0.565538;0.888367;
0.001640;-0.405773;-0.754280;0.182193;0.572087;1.000071;1.321214;0.496161;0.588924;0.894967;
0.001660;-0.287209;-0.770871;0.188885;0.581986;1.000071;1.327498;0.504842;0.611947;0.900996;
0.001680;-0.149740;-0.785856;0.194671;0.591184;1.000071;1.333781;0.512617;0.633796;0.906516;
0.001700;0.004615;-0.799417;0.199650;0.599768;1.000071;1.340065;0.519593;0.654098;0.911584;
0.001720;0.173445;-0.811711;0.203901;0.607811;1.000072;1.346348;0.525862;0.672856;0.916248;
0.001740;0.354013;-0.822859;0.207483;0.615376;1.000072;1.352632;0.531500;0.690375;0.920546;
0.001760;0.543323;-0.832939;0.210431;0.622508;1.000072;1.358916;0.536558;0.707195;0.924501;
0.001780;0.738196;-0.841983;0.212752;0.629231;1.000072;1.365199;0.541066;0.724032;0.928122;
0.001800;0.935354;-0.849974;0.214424;0.635550;1.000072;1.371483;0.545030;0.741733;0.931402;
0.001820;1.131500;-0.856844;0.215395;0.641449;1.000073;1.377767;0.548430;0.761236;0.934314;
0.001840;1.323408;-0.862476;0.215587;0.646889;1.000073;1.384050;0.551224;0.783532;0.936820;
0.001860;1.508000;-0.866707;0.214895;0.651812;1.000073;1.390334;0.553350;0.809633;0.938863;
0.001880;1.682424;-0.869332;0.213190;0.656142;1.000073;1.396618;0.554727;0.840527;0.940374;
0.001900;1.844126;-0.870114;0.210327;0.659787;1.000073;1.402901;0.555260;0.877135;0.941274;
0.001920;1.990909;-0.868787;0.206146;0.662642;1.000073;1.409185;0.554845;0.920239;0.941472;
0.001940;2.120986;-0.865072;0.200478;0.664594;1.000073;1.415468;0.553371;0.970424;0.940874;
0.001960;2.233010;-0.858681;0.193154;0.665527;1.000074;1.421752;0.550730;1.028015;0.939385;
0.001980;2.326110;-0.849333;0.184010;0.665324;1.000074;1.428036;0.546815;1.093021;0.936910;
0.002000;2.399891;-0.836765;0.172892;0.663872;1.000074;1.434319;0.541533;1.165110;0.933360;
0.002020;2.454435;-0.820738;0.159667;0.661071;1.000074;1.440603;0.534805;1.243605;0.928657;
0.002040;2.490284;-0.801055;0.144224;0.656831;1.000074;1.446887;0.526571;1.327492;0.922734;
0.002060;2.508409;-0.777567;0.126483;0.651084;1.000074;1.453170;0.516795;1.415459;0.915543;
0.002080;2.510162;-0.750182;0.106400;0.643782;1.000075;1.459454;0.505468;1.505937;0.907053;
