time;GEN1A_generator_omegaPu;GEN1A_generator_PGenPu;GEN1A_generator_UPu;GEN1B_generator_omegaPu;GEN1B_generator_PGenPu;GEN1B_generator_UPu;GEN2A_generator_omegaPu;GEN2A_generator_PGenPu;GEN2A_generator_UPu;GEN2B_generator_omegaPu;GEN2B_generator_PGenPu;GEN2B_generator_UPu;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_1_value;OMEGA_REF_omegaRef_grp_2_value;OMEGA_REF_omegaRef_grp_3_value;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;NETWORK_GEN1A_BUS_numcc_value;NETWORK_GEN2A_BUS_numcc_value;
1.000001;1.000009;5.125336;1.154907;1.000008;3.632225;1.153656;1.000008;3.735677;0.847507;1.000008;3.279897;0.842019;1.000009;1.000009;1.000008;1.000008;1.000009;1.000008;0.000000;1.000000;
1.000002;1.000009;5.125336;1.154907;1.000009;3.632225;1.153656;1.000008;3.735677;0.847507;1.000008;3.279897;0.842019;1.000009;1.000009;1.000008;1.000008;1.000009;1.000008;0.000000;1.000000;
1.000004;1.000009;5.125336;1.154907;1.000009;3.632225;1.153656;1.000008;3.735677;0.847507;1.000009;3.279897;0.842019;1.000009;1.000009;1.000008;1.000008;1.000009;1.000008;0.000000;1.000000;
1.000008;1.000009;5.125336;1.154907;1.000009;3.632225;1.153656;1.000008;3.735677;0.847507;1.000009;3.279897;0.842019;1.000009;1.000009;1.000008;1.000008;1.000009;1.000008;0.000000;1.000000;
1.000016;1.000009;5.125336;1.154907;1.000009;3.632225;1.153656;1.000008;3.735677;0.847507;1.000009;3.279897;0.842019;1.000009;1.000009;1.000008;1.000008;1.000009;1.000008;0.000000;1.000000;
1.000032;1.000009;5.125336;1.154907;1.000010;3.632225;1.153656;1.000008;3.735677;0.847507;1.000009;3.279897;0.842019;1.000009;1.000009;1.000008;1.000008;1.000009;1.000008;0.000000;1.000000;
1.000064;1.000010;5.125336;1.154907;1.000011;3.632225;1.153656;1.000007;3.735677;0.847507;1.000009;3.279897;0.842019;1.000010;1.000010;1.000008;1.000008;1.000010;1.000008;0.000000;1.000000;
1.000128;1.000011;5.125336;1.154907;1.000013;3.632225;1.153656;1.000006;3.735677;0.847507;1.000010;3.279897;0.842019;1.000012;1.000012;1.000008;1.000008;1.000012;1.000008;0.000000;1.000000;
1.000256;1.000013;5.125336;1.154907;1.000017;3.632226;1.153656;1.000004;3.735676;0.847507;1.000011;3.279897;0.842019;1.000015;1.000015;1.000008;1.000008;1.000015;1.000008;0.000000;1.000000;
1.000512;1.000017;5.125334;1.154907;1.000026;3.632227;1.153656;1.000000;3.735675;0.847507;1.000014;3.279898;0.842019;1.000021;1.000021;1.000007;1.000007;1.000021;1.000007;0.000000;1.000000;
1.001024;1.000025;5.125329;1.154907;1.000043;3.632233;1.153656;0.999991;3.735669;0.847506;1.000020;3.279902;0.842018;1.000033;1.000033;1.000005;1.000005;1.000033;1.000005;0.000000;1.000000;
1.002048;1.000042;5.125306;1.154907;1.000078;3.632259;1.153656;0.999973;3.735644;0.847506;1.000032;3.279917;0.842017;1.000057;1.000057;1.000002;1.000002;1.000057;1.000002;0.000000;1.000000;
1.004096;1.000075;5.125217;1.154909;1.000148;3.632359;1.153656;0.999938;3.735545;0.847505;1.000055;3.279978;0.842012;1.000106;1.000106;0.999995;0.999995;1.000106;0.999995;0.000000;1.000000;
1.008192;1.000142;5.124859;1.154917;1.000287;3.632759;1.153656;0.999867;3.735150;0.847500;1.000102;3.280219;0.841992;1.000203;1.000203;0.999981;0.999981;1.000203;0.999981;0.000000;1.000000;
1.016384;1.000277;5.123436;1.154947;1.000564;3.634348;1.153656;0.999727;3.733576;0.847481;1.000195;3.281179;0.841912;1.000398;1.000398;0.999953;0.999953;1.000398;0.999953;0.000000;1.000000;
1.032768;1.000551;5.117887;1.155065;1.001109;3.640537;1.153653;0.999454;3.727377;0.847405;1.000373;3.284937;0.841597;1.000786;1.000786;0.999898;0.999898;1.000786;0.999898;0.000000;1.000000;
1.065536;1.001136;5.097723;1.155477;1.002134;3.662866;1.153630;0.998958;3.703940;0.847086;1.000673;3.298813;0.840379;1.001556;1.001556;0.999788;0.999788;1.001556;0.999788;0.000000;1.000000;
1.098304;1.001785;5.068448;1.156031;1.003046;3.694801;1.153556;0.998557;3.667739;0.846499;1.000877;3.319157;0.838415;1.002316;1.002316;0.999680;0.999680;1.002316;0.999680;0.000000;1.000000;
1.131072;1.002511;5.034967;1.156600;1.003821;3.730647;1.153414;0.998278;3.622228;0.845603;1.000962;3.342945;0.835809;1.003063;1.003063;0.999577;0.999577;1.003063;0.999577;0.000000;1.000000;
1.163840;1.003317;5.002915;1.157091;1.004459;3.764382;1.153229;0.998141;3.571844;0.844428;1.000918;3.367172;0.832759;1.003798;1.003798;0.999485;0.999485;1.003798;0.999485;0.000000;1.000000;
1.196608;1.004192;4.977678;1.157445;1.004982;3.790592;1.153053;0.998150;3.521541;0.843073;1.000751;3.389281;0.829551;1.004524;1.004524;0.999409;0.999409;1.004524;0.999409;0.000000;1.000000;
1.229376;1.005112;4.963482;1.157638;1.005426;3.805266;1.152948;0.998297;3.476327;0.841712;1.000478;3.407502;0.826536;1.005244;1.005244;0.999352;0.999352;1.005244;0.999352;0.000000;1.000000;
1.262144;1.006049;4.962600;1.157662;1.005843;3.806308;1.152953;0.998558;3.440690;0.840552;1.000122;3.420862;0.824079;1.005962;1.005962;0.999315;0.999315;1.005962;0.999315;0.000000;1.000000;
1.294912;1.006969;4.974953;1.157515;1.006286;3.793759;1.153063;0.998900;3.418129;0.839789;0.999710;3.428976;0.822496;1.006681;1.006681;0.999292;0.999292;1.006681;0.999292;0.000000;1.000000;
1.327680;1.007844;4.998165;1.157200;1.006804;3.769770;1.153235;0.999282;3.410799;0.839554;0.999270;3.431753;0.821994;1.007406;1.007406;0.999276;0.999276;1.007406;0.999276;0.000000;1.000000;
1.360448;1.008654;5.028071;1.156744;1.007433;3.738310;1.153409;0.999657;3.419307;0.839886;0.998833;3.429171;0.822630;1.008140;1.008140;0.999258;0.999258;1.008140;0.999258;0.000000;1.000000;
1.393216;1.009390;5.059535;1.156206;1.008192;3.704592;1.153540;0.999982;3.442662;0.840716;0.998427;3.421214;0.824304;1.008885;1.008885;0.999229;0.999229;1.008885;0.999229;0.000000;1.000000;
1.425984;1.010054;5.087385;1.155682;1.009076;3.674239;1.153612;1.000217;3.478370;0.841894;0.998080;3.408002;0.826779;1.009642;1.009642;0.999183;0.999183;1.009642;0.999183;0.000000;1.000000;
1.458752;1.010661;5.107242;1.155282;1.010061;3.652318;1.153640;1.000333;3.522696;0.843221;0.997819;3.390048;0.829726;1.010408;1.010408;0.999117;0.999117;1.010408;0.999117;0.000000;1.000000;
1.491520;1.011235;5.116143;1.155098;1.011105;3.642436;1.153648;1.000314;3.571081;0.844500;0.997665;3.368520;0.832789;1.011180;1.011180;0.999032;0.999032;1.011180;0.999032;0.000000;1.000000;
1.524288;1.011805;5.112888;1.155168;1.012158;3.646081;1.153648;1.000154;3.618668;0.845584;0.997631;3.345360;0.835647;1.011953;1.011953;0.998933;0.998933;1.011953;0.998933;0.000000;1.000000;
1.557056;1.012398;5.098161;1.155469;1.013168;3.662384;1.153631;0.999866;3.660852;0.846398;0.997718;3.323147;0.838050;1.012722;1.012722;0.998826;0.998826;1.012722;0.998826;0.000000;1.000000;
1.589824;1.013039;5.074427;1.155922;1.014093;3.688328;1.153576;0.999470;3.693749;0.846936;0.997910;3.304710;0.839839;1.013482;1.013482;0.998715;0.998715;1.013482;0.998715;0.000000;1.000000;
1.622592;1.013745;5.045597;1.156428;1.014904;3.719356;1.153467;0.999001;3.714504;0.847232;0.998181;3.292583;0.840930;1.014233;1.014233;0.998604;0.998604;1.014233;0.998604;0.000000;1.000000;
1.655360;1.014521;5.016453;1.156893;1.015593;3.750231;1.153316;0.998494;3.721441;0.847325;0.998490;3.288465;0.841290;1.014972;1.014972;0.998492;0.998492;1.014972;0.998492;0.000000;1.000000;
