time;GEN_A1_generator_omegaPu;GEN_A1_generator_PGen;GEN_A1_generator_QGen;GEN_A1_generator_UStatorPu;GEN_A1_voltageRegulator_EfdPu;GEN_A2_generator_omegaPu;GEN_A2_generator_PGen;GEN_A2_generator_QGen;GEN_A2_generator_UStatorPu;GEN_B1_generator_omegaPu;GEN_B1_generator_PGen;GEN_B1_generator_QGen;GEN_B1_generator_UStatorPu;GEN_B1_voltageRegulator_EfdPu;GEN_B2_generator_omegaPu;GEN_B2_generator_PGen;GEN_B2_generator_QGen;GEN_B2_generator_UStatorPu;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_2_value;NETWORK_A_HV1_Upu_value;NETWORK_A_HV2_Upu_value;NETWORK_A_HV3_Upu_value;NETWORK_B_HV1_Upu_value;NETWORK_B_HV2_Upu_value;NETWORK_A_LD1_Upu_value;NETWORK_B_LD2_Upu_value;NETWORK_A_HV1_numcc_value;NETWORK_B_HV1_numcc_value;HVDC1_hvdc_PInj1Pu;HVDC1_hvdc_PInj2Pu;HVDC1_hvdc_P1RefPu;LOAD_A1_load_PPu;
0.008192;1.000000;794.190175;-5.204558;1.002046;2.202371;1.000000;158.784232;25.812900;1.012318;1.000001;401.498273;31.930200;1.003540;1.519351;1.000001;100.383755;10.450547;1.005023;1.000000;1.000001;1.000000;1.000001;0.999999;0.999999;0.999999;1.000049;1.000040;0.986942;0.992596;0.000000;1.000000;-0.599997;0.599997;0.599997;3.499992;
0.016384;1.000000;794.189790;-5.204562;1.002046;2.202371;1.000000;158.784225;25.812902;1.012318;1.000001;401.503114;31.929894;1.003541;1.519339;1.000002;100.379846;10.451067;1.005023;1.000000;1.000001;1.000000;1.000001;0.999999;0.999999;0.999999;1.000049;1.000041;0.986942;0.992596;0.000000;1.000000;-0.599993;0.599993;0.599993;3.499992;
0.032768;1.000000;794.189074;-5.204558;1.002046;2.202372;1.000000;158.784163;25.812900;1.012318;1.000003;401.509903;31.928821;1.003541;1.519331;1.000004;100.374279;10.452391;1.005024;1.000000;1.000003;1.000000;1.000003;0.999998;0.999999;0.999999;1.000050;1.000041;0.986942;0.992597;0.000000;1.000000;-0.599986;0.599986;0.599986;3.499992;
0.065536;1.000000;794.187793;-5.204519;1.002046;2.202372;1.000000;158.783888;25.812879;1.012318;1.000005;401.514390;31.925443;1.003539;1.519362;1.000008;100.370397;10.455728;1.005025;1.000000;1.000006;1.000000;1.000006;0.999998;0.999999;0.999999;1.000049;1.000041;0.986942;0.992596;0.000000;1.000000;-0.599970;0.599970;0.599970;3.499992;
0.131072;1.000000;794.185488;-5.204385;1.002046;2.202368;1.000000;158.783010;25.812819;1.012318;1.000010;401.500898;31.916802;1.003532;1.519520;1.000015;100.381467;10.463068;1.005023;1.000000;1.000011;1.000000;1.000011;0.999999;0.999999;0.999999;1.000042;1.000035;0.986943;0.992591;0.000000;1.000000;-0.599936;0.599936;0.599936;3.499993;
0.262144;1.000000;794.180382;-5.204041;1.002047;2.202354;1.000000;158.781275;25.812646;1.012319;1.000020;401.450369;31.900630;1.003512;1.519905;1.000026;100.424780;10.475463;1.005014;1.000000;1.000021;1.000000;1.000021;0.999999;0.999999;0.999999;1.000024;1.000021;0.986943;0.992577;0.000000;1.000000;-0.599858;0.599858;0.599858;3.499997;
0.524288;1.000000;794.164471;-5.203045;1.002049;2.202318;1.000000;158.779943;25.811880;1.012320;1.000038;401.450389;31.885495;1.003495;1.520258;1.000040;100.430365;10.488132;1.005006;1.000000;1.000038;1.000000;1.000038;1.000001;1.000001;1.000001;1.000007;1.000007;0.986945;0.992563;0.000000;1.000000;-0.599663;0.599663;0.599663;3.500006;
1.000000;1.000001;794.131286;-5.201020;1.002052;2.202255;1.000001;158.776302;25.810340;1.012322;1.000063;401.524222;31.883480;1.003503;1.520101;1.000063;100.404420;10.492121;1.005015;1.000001;1.000063;1.000001;1.000063;1.000004;1.000004;1.000004;1.000015;1.000015;0.986948;0.992571;0.000000;1.000000;-0.599256;0.599256;0.599256;3.500023;
1.000000;1.000001;897.843694;7.172712;0.986183;2.519633;1.000001;177.684267;33.211974;0.999679;1.000063;401.524222;31.883481;1.003503;1.520101;1.000063;100.404421;10.492121;1.005015;1.000001;1.000063;1.000001;1.000063;0.982147;0.983557;0.982905;1.000015;1.000015;0.966452;0.992571;0.000000;1.000000;-0.599256;0.599256;0.599256;4.845093;
1.000001;1.000001;897.843493;7.172669;0.986183;2.519636;1.000001;177.684318;33.212004;0.999679;1.000063;401.524226;31.883481;1.003503;1.520101;1.000063;100.404421;10.492121;1.005015;1.000001;1.000063;1.000001;1.000063;0.982147;0.983557;0.982905;1.000015;1.000015;0.966452;0.992571;0.000000;1.000000;-0.599256;0.599256;0.599256;4.845092;
