time;PFC_controller_PGenPu;PFC_controller_QGenPu;PFC_controller_pfActual;PFC_controller_VPfPu;
0.000000;0.700000;0.230000;0.950032;0.000000;
0.000001;0.700000;0.230000;0.950032;0.000000;
0.000002;0.700000;0.230000;0.950032;0.000000;
0.000004;0.700000;0.230000;0.950032;0.000000;
0.000008;0.700000;0.230000;0.950032;0.000000;
0.000016;0.700000;0.230000;0.950032;0.000000;
0.000032;0.700000;0.230000;0.950032;0.000000;
0.000064;0.700000;0.230000;0.950032;0.000000;
0.000128;0.700000;0.230000;0.950032;0.000000;
0.000256;0.700000;0.230000;0.950032;0.000000;
0.000512;0.700000;0.230000;0.950032;0.000000;
0.001024;0.700000;0.230000;0.950032;0.000000;
0.002048;0.700000;0.230000;0.950032;0.000000;
0.004096;0.700000;0.230000;0.950032;0.000000;
0.008192;0.700000;0.230000;0.950032;0.000000;
0.016384;0.700000;0.230000;0.950032;0.000000;
0.032768;0.700000;0.230000;0.950032;0.000000;
0.065536;0.700000;0.230000;0.950032;0.000000;
0.131072;0.700000;0.230000;0.950032;0.000000;
0.262144;0.700000;0.230000;0.950032;0.000000;
0.524288;0.700000;0.230000;0.950032;0.000000;
1.048576;0.700000;0.230000;0.950032;0.000000;
2.048576;0.700000;0.230000;0.950032;0.000000;
3.048576;0.700000;0.230000;0.950032;0.000000;
4.048576;0.700000;0.230000;0.950032;0.000000;
4.999999;0.700000;0.230000;0.950032;0.000000;
4.999999;0.700000;0.500000;0.813733;0.000000;
5.000000;0.700000;0.500000;0.813733;0.000000;
5.000001;0.700000;0.500000;0.813733;0.000000;
5.000003;0.700000;0.500000;0.813733;0.000000;
5.000007;0.700000;0.500000;0.813733;0.000000;
5.000015;0.700000;0.500000;0.813733;0.000000;
5.000031;0.700000;0.500000;0.813733;0.000000;
5.000063;0.700000;0.500000;0.813733;0.000000;
5.000127;0.700000;0.500000;0.813733;0.000001;
5.000255;0.700000;0.500000;0.813733;0.000001;
5.000511;0.700000;0.500000;0.813733;0.000002;
5.001023;0.700000;0.500000;0.813733;0.000004;
5.002047;0.700000;0.500000;0.813733;0.000009;
5.004095;0.700000;0.500000;0.813733;0.000017;
5.008191;0.700000;0.500000;0.813733;0.000034;
5.016383;0.700000;0.500000;0.813733;0.000069;
5.032767;0.700000;0.500000;0.813733;0.000138;
5.065535;0.700000;0.500000;0.813733;0.000276;
5.131071;0.700000;0.500000;0.813733;0.000552;
5.262143;0.700000;0.500000;0.813733;0.001103;
5.524287;0.700000;0.500000;0.813733;0.002207;
6.048575;0.700000;0.500000;0.813733;0.004413;
7.048575;0.700000;0.500000;0.813733;0.008622;
8.048575;0.700000;0.500000;0.813733;0.012831;
9.048575;0.700000;0.500000;0.813733;0.017040;
10.048575;0.700000;0.500000;0.813733;0.021249;
11.048575;0.700000;0.500000;0.813733;0.025458;
12.048575;0.700000;0.500000;0.813733;0.029667;
13.048575;0.700000;0.500000;0.813733;0.033876;
14.048575;0.700000;0.500000;0.813733;0.038084;
15.048575;0.700000;0.500000;0.813733;0.042293;
16.048575;0.700000;0.500000;0.813733;0.046502;
17.048575;0.700000;0.500000;0.813733;0.050711;
18.048575;0.700000;0.500000;0.813733;0.054920;
19.048575;0.700000;0.500000;0.813733;0.059129;
20.048575;0.700000;0.500000;0.813733;0.063338;
21.048575;0.700000;0.500000;0.813733;0.067547;
22.048575;0.700000;0.500000;0.813733;0.071755;
23.048575;0.700000;0.500000;0.813733;0.075964;
24.048575;0.700000;0.500000;0.813733;0.080173;
25.048575;0.700000;0.500000;0.813733;0.084382;
26.048575;0.700000;0.500000;0.813733;0.088591;
27.048575;0.700000;0.500000;0.813733;0.092800;
28.048575;0.700000;0.500000;0.813733;0.097009;
28.759312;0.700000;0.500000;0.813733;0.100000;
28.759313;0.700000;0.500000;0.813733;0.100000;
28.759314;0.700000;0.500000;0.813733;0.100000;
28.759316;0.700000;0.500000;0.813733;0.100000;
28.759320;0.700000;0.500000;0.813733;0.100000;
28.759328;0.700000;0.500000;0.813733;0.100000;
28.759344;0.700000;0.500000;0.813733;0.100000;
28.759376;0.700000;0.500000;0.813733;0.100000;
28.759440;0.700000;0.500000;0.813733;0.100000;
28.759568;0.700000;0.500000;0.813733;0.100000;
28.759824;0.700000;0.500000;0.813733;0.100000;
28.760336;0.700000;0.500000;0.813733;0.100000;
28.761360;0.700000;0.500000;0.813733;0.100000;
28.763408;0.700000;0.500000;0.813733;0.100000;
28.767504;0.700000;0.500000;0.813733;0.100000;
28.775696;0.700000;0.500000;0.813733;0.100000;
28.792080;0.700000;0.500000;0.813733;0.100000;
28.824848;0.700000;0.500000;0.813733;0.100000;
28.890384;0.700000;0.500000;0.813733;0.100000;
29.021456;0.700000;0.500000;0.813733;0.100000;
29.283600;0.700000;0.500000;0.813733;0.100000;
29.807888;0.700000;0.500000;0.813733;0.100000;
30.807888;0.700000;0.500000;0.813733;0.100000;
31.807888;0.700000;0.500000;0.813733;0.100000;
32.807888;0.700000;0.500000;0.813733;0.100000;
33.807888;0.700000;0.500000;0.813733;0.100000;
34.807888;0.700000;0.500000;0.813733;0.100000;
35.807888;0.700000;0.500000;0.813733;0.100000;
36.807888;0.700000;0.500000;0.813733;0.100000;
37.807888;0.700000;0.500000;0.813733;0.100000;
38.807888;0.700000;0.500000;0.813733;0.100000;
39.807888;0.700000;0.500000;0.813733;0.100000;
40.807888;0.700000;0.500000;0.813733;0.100000;
41.807888;0.700000;0.500000;0.813733;0.100000;
42.807888;0.700000;0.500000;0.813733;0.100000;
43.807888;0.700000;0.500000;0.813733;0.100000;
44.807888;0.700000;0.500000;0.813733;0.100000;
45.807888;0.700000;0.500000;0.813733;0.100000;
46.807888;0.700000;0.500000;0.813733;0.100000;
47.807888;0.700000;0.500000;0.813733;0.100000;
48.807888;0.700000;0.500000;0.813733;0.100000;
49.807888;0.700000;0.500000;0.813733;0.100000;
50.807888;0.700000;0.500000;0.813733;0.100000;
51.807888;0.700000;0.500000;0.813733;0.100000;
52.807888;0.700000;0.500000;0.813733;0.100000;
53.807888;0.700000;0.500000;0.813733;0.100000;
54.807888;0.700000;0.500000;0.813733;0.100000;
55.807888;0.700000;0.500000;0.813733;0.100000;
56.807888;0.700000;0.500000;0.813733;0.100000;
57.807888;0.700000;0.500000;0.813733;0.100000;
58.807888;0.700000;0.500000;0.813733;0.100000;
59.807888;0.700000;0.500000;0.813733;0.100000;
60.000000;0.700000;0.500000;0.813733;0.100000;
