time;LINE_line_p_v_0_;LINE_line_p_v_1_;LINE_line_p_v_2_;LINE_line_p_i_0_;LINE_line_p_i_1_;LINE_line_p_i_2_;LINE_line_n_v_0_;LINE_line_n_v_1_;LINE_line_n_v_2_;
0.000940;1.354282;-0.324379;-1.029903;0.925258;-0.264334;-0.660924;1.664177;-0.615965;-1.048212;
0.000960;1.351695;-0.315723;-1.035972;0.910807;-0.252078;-0.658729;1.672562;-0.611109;-1.061453;
0.000980;1.349056;-0.307056;-1.042000;0.895982;-0.239714;-0.656268;1.679110;-0.605289;-1.073821;
0.001000;1.346363;-0.298376;-1.047987;0.880854;-0.227279;-0.653575;1.683877;-0.598542;-1.085335;
0.001020;1.343617;-0.289684;-1.053933;0.865491;-0.214809;-0.650682;1.686924;-0.590910;-1.096014;
0.001040;1.340819;-0.280981;-1.059837;0.849959;-0.202338;-0.647621;1.688316;-0.582434;-1.105881;
0.001060;1.337967;-0.272267;-1.065700;0.834322;-0.189899;-0.644423;1.688119;-0.573156;-1.114963;
0.001080;1.335062;-0.263542;-1.071520;0.818639;-0.177522;-0.641117;1.686404;-0.563120;-1.123283;
0.001100;1.332105;-0.254807;-1.077298;0.802968;-0.165237;-0.637731;1.683243;-0.552371;-1.130872;
0.001120;1.329095;-0.246062;-1.083033;0.787363;-0.153069;-0.634293;1.678711;-0.540953;-1.137757;
0.001140;1.326032;-0.237307;-1.088726;0.771874;-0.141045;-0.630829;1.672883;-0.528912;-1.143970;
0.001160;1.322918;-0.228542;-1.094375;0.756550;-0.129188;-0.627362;1.665836;-0.516294;-1.149542;
0.001180;1.319751;-0.219769;-1.099982;0.741436;-0.117519;-0.623917;1.657648;-0.503143;-1.154505;
0.001200;1.316532;-0.210987;-1.105545;0.726573;-0.106057;-0.620515;1.648397;-0.489506;-1.158892;
0.001220;1.313260;-0.202196;-1.111064;0.711999;-0.094821;-0.617177;1.638162;-0.475426;-1.162736;
0.001240;1.309938;-0.193398;-1.116540;0.697749;-0.083827;-0.613922;1.627020;-0.460949;-1.166070;
0.001260;1.306563;-0.184592;-1.121971;0.683856;-0.073089;-0.610768;1.615049;-0.446119;-1.168930;
0.001280;1.303137;-0.175779;-1.127358;0.670349;-0.062618;-0.607730;1.602324;-0.430977;-1.171348;
0.001300;1.299659;-0.166958;-1.132701;0.657252;-0.052427;-0.604825;1.588923;-0.415565;-1.173358;
0.001320;1.296130;-0.158131;-1.137999;0.644589;-0.042524;-0.602065;1.574919;-0.399926;-1.174994;
0.001340;1.292550;-0.149298;-1.143252;0.632380;-0.032917;-0.599463;1.560385;-0.384097;-1.176288;
0.001360;1.288919;-0.140459;-1.148460;0.620641;-0.023611;-0.597029;1.545392;-0.368118;-1.177274;
0.001380;1.285237;-0.131615;-1.153622;0.609386;-0.014612;-0.594774;1.530008;-0.352026;-1.177982;
0.001400;1.281504;-0.122765;-1.158739;0.598626;-0.005921;-0.592705;1.514301;-0.335855;-1.178446;
0.001420;1.277721;-0.113910;-1.163810;0.588371;0.002459;-0.590830;1.498335;-0.319641;-1.178694;
0.001440;1.273887;-0.105051;-1.168836;0.578626;0.010528;-0.589154;1.482172;-0.303415;-1.178757;
0.001460;1.270003;-0.096188;-1.173815;0.569395;0.018287;-0.587681;1.465872;-0.287209;-1.178663;
0.001480;1.266069;-0.087321;-1.178747;0.560679;0.025738;-0.586417;1.449492;-0.271051;-1.178440;
0.001500;1.262084;-0.078451;-1.183634;0.552477;0.032884;-0.585361;1.433085;-0.254970;-1.178115;
0.001520;1.258050;-0.069577;-1.188473;0.544787;0.039730;-0.584517;1.416704;-0.238990;-1.177714;
0.001540;1.253967;-0.060701;-1.193266;0.537603;0.046281;-0.583884;1.400396;-0.223136;-1.177259;
0.001560;1.249833;-0.051822;-1.198011;0.530918;0.052543;-0.583461;1.384207;-0.207431;-1.176776;
0.001580;1.245651;-0.042941;-1.202710;0.524725;0.058523;-0.583248;1.368179;-0.191894;-1.176285;
0.001600;1.241419;-0.034059;-1.207360;0.519012;0.064229;-0.583241;1.352353;-0.176546;-1.175807;
0.001620;1.237138;-0.025175;-1.211963;0.513768;0.069670;-0.583437;1.336764;-0.161402;-1.175361;
0.001640;1.232809;-0.016290;-1.216519;0.508980;0.074853;-0.583833;1.321446;-0.146479;-1.174967;
0.001660;1.228430;-0.007405;-1.221026;0.504634;0.079790;-0.584424;1.306430;-0.131790;-1.174639;
0.001680;1.224004;0.001481;-1.225485;0.500713;0.084490;-0.585204;1.291743;-0.117348;-1.174395;
0.001700;1.219529;0.010367;-1.229895;0.497203;0.088964;-0.586167;1.277410;-0.103162;-1.174247;
0.001720;1.215005;0.019252;-1.234257;0.494085;0.093222;-0.587307;1.263453;-0.089243;-1.174210;
0.001740;1.210434;0.028136;-1.238571;0.491342;0.097276;-0.588618;1.249890;-0.075597;-1.174293;
0.001760;1.205815;0.037020;-1.242835;0.488954;0.101137;-0.590091;1.236739;-0.062231;-1.174509;
0.001780;1.201149;0.045902;-1.247050;0.486902;0.104818;-0.591720;1.224013;-0.049148;-1.174865;
0.001800;1.196435;0.054782;-1.251217;0.485167;0.108328;-0.593495;1.211723;-0.036353;-1.175370;
0.001820;1.191673;0.063660;-1.255333;0.483728;0.111681;-0.595409;1.199878;-0.023848;-1.176030;
0.001840;1.186865;0.072535;-1.259400;0.482566;0.114888;-0.597453;1.188484;-0.011633;-1.176851;
0.001860;1.182010;0.081408;-1.263418;0.481658;0.117961;-0.599619;1.177544;0.000293;-1.177838;
0.001880;1.177108;0.090277;-1.267386;0.480986;0.120911;-0.601897;1.167061;0.011931;-1.178993;
0.001900;1.172160;0.099143;-1.271303;0.480528;0.123750;-0.604278;1.157035;0.023284;-1.180319;
0.001920;1.167166;0.108005;-1.275170;0.480264;0.126490;-0.606754;1.147462;0.034355;-1.181817;
0.001940;1.162125;0.116863;-1.278987;0.480173;0.129142;-0.609315;1.138339;0.045149;-1.183488;
0.001960;1.157038;0.125716;-1.282754;0.480236;0.131716;-0.611952;1.129659;0.055672;-1.185331;
0.001980;1.151906;0.134564;-1.286470;0.480433;0.134224;-0.614657;1.121416;0.065929;-1.187344;
0.002000;1.146729;0.143406;-1.290135;0.480744;0.136675;-0.617419;1.113599;0.075927;-1.189526;
0.002020;1.141506;0.152243;-1.293749;0.481151;0.139081;-0.620231;1.106199;0.085675;-1.191874;
0.002040;1.136238;0.161074;-1.297312;0.481635;0.141449;-0.623084;1.099203;0.095180;-1.194383;
0.002060;1.130925;0.169899;-1.300824;0.482178;0.143791;-0.625969;1.092599;0.104451;-1.197050;
0.002080;1.125567;0.178717;-1.304285;0.482764;0.146114;-0.628878;1.086372;0.113498;-1.199869;
0.002100;1.120165;0.187528;-1.307694;0.483375;0.148428;-0.631803;1.080506;0.122329;-1.202836;
0.002120;1.114719;0.196332;-1.311051;0.483995;0.150740;-0.634736;1.074988;0.130955;-1.205943;
0.002140;1.109229;0.205127;-1.314357;0.484610;0.153059;-0.637669;1.069798;0.139387;-1.209185;
0.002160;1.103695;0.213915;-1.317610;0.485204;0.155391;-0.640595;1.064921;0.147634;-1.212555;
0.002180;1.098118;0.222694;-1.320812;0.485764;0.157743;-0.643507;1.060338;0.155707;-1.216045;
0.002200;1.092497;0.231465;-1.323962;0.486277;0.160122;-0.646399;1.056031;0.163617;-1.219648;
0.002220;1.086833;0.240226;-1.327059;0.486730;0.162533;-0.649264;1.051981;0.171375;-1.223356;
0.002240;1.081126;0.248978;-1.330104;0.487113;0.164983;-0.652095;1.048169;0.178992;-1.227161;
0.002260;1.075376;0.257720;-1.333096;0.487413;0.167475;-0.654888;1.044577;0.186478;-1.231055;
0.002280;1.069584;0.266452;-1.336036;0.487622;0.170014;-0.657636;1.041185;0.193844;-1.235029;
0.002300;1.063750;0.275173;-1.338923;0.487730;0.172605;-0.660336;1.037973;0.201102;-1.239075;
0.002320;1.057874;0.283884;-1.341757;0.487729;0.175251;-0.662981;1.034924;0.208260;-1.243184;
0.002340;1.051956;0.292583;-1.344539;0.487612;0.177955;-0.665567;1.032017;0.215331;-1.247348;
0.002360;1.045996;0.301270;-1.347267;0.487371;0.180721;-0.668092;1.029235;0.222323;-1.251559;
0.002380;1.039995;0.309946;-1.349942;0.487001;0.183549;-0.670550;1.026559;0.229248;-1.255807;
0.002400;1.033954;0.318610;-1.352563;0.486495;0.186443;-0.672939;1.023970;0.236113;-1.260084;
0.002420;1.027871;0.327261;-1.355132;0.485851;0.189404;-0.675255;1.021452;0.242930;-1.264382;
0.002440;1.021748;0.335899;-1.357646;0.485064;0.192433;-0.677496;1.018987;0.249706;-1.268693;
0.002460;1.015584;0.344524;-1.360108;0.484130;0.195530;-0.679660;1.016558;0.256450;-1.273008;
0.002480;1.009380;0.353135;-1.362515;0.483048;0.198697;-0.681745;1.014149;0.263171;-1.277320;
0.002500;1.003137;0.361732;-1.364869;0.481816;0.201932;-0.683748;1.011745;0.269876;-1.281621;
0.002520;0.996853;0.370315;-1.367169;0.480432;0.205237;-0.685669;1.009331;0.276573;-1.285904;
0.002540;0.990531;0.378883;-1.369414;0.478896;0.208610;-0.687506;1.006891;0.283269;-1.290161;
0.002560;0.984169;0.387437;-1.371606;0.477208;0.212051;-0.689259;1.004414;0.289972;-1.294386;
0.002580;0.977769;0.395975;-1.373744;0.475368;0.215559;-0.690927;1.001885;0.296686;-1.298571;
0.002600;0.971330;0.404497;-1.375827;0.473377;0.219132;-0.692509;0.999293;0.303418;-1.302711;
0.002620;0.964852;0.413004;-1.377856;0.471238;0.222768;-0.694006;0.996626;0.310173;-1.306799;
0.002640;0.958337;0.421494;-1.379831;0.468952;0.226466;-0.695418;0.993873;0.316956;-1.310829;
0.002660;0.951783;0.429968;-1.381751;0.466521;0.230224;-0.696745;0.991024;0.323773;-1.314797;
0.002680;0.945192;0.438424;-1.383617;0.463948;0.234040;-0.697987;0.988070;0.330626;-1.318696;
0.002700;0.938564;0.446864;-1.385428;0.461236;0.237911;-0.699147;0.985003;0.337520;-1.322522;
0.002720;0.931899;0.455285;-1.387184;0.458390;0.241834;-0.700224;0.981813;0.344457;-1.326271;
0.002740;0.925197;0.463689;-1.388886;0.455412;0.245808;-0.701220;0.978496;0.351442;-1.329938;
0.002760;0.918458;0.472074;-1.390532;0.452306;0.249829;-0.702136;0.975043;0.358476;-1.333519;
0.002780;0.911683;0.480441;-1.392124;0.449078;0.253895;-0.702973;0.971450;0.365561;-1.337011;
0.002800;0.904872;0.488789;-1.393661;0.445731;0.258003;-0.703733;0.967711;0.372700;-1.340411;
0.002820;0.898026;0.497117;-1.395143;0.442270;0.262149;-0.704419;0.963823;0.379892;-1.343716;
0.002840;0.891144;0.505426;-1.396570;0.438700;0.266330;-0.705031;0.959782;0.387141;-1.346922;
0.002860;0.884227;0.513715;-1.397941;0.435027;0.270545;-0.705572;0.955584;0.394445;-1.350028;
0.002880;0.877275;0.521983;-1.399258;0.431254;0.274788;-0.706043;0.951228;0.401805;-1.353033;
0.002900;0.870288;0.530231;-1.400519;0.427388;0.279058;-0.706446;0.946711;0.409222;-1.355933;
0.002920;0.863267;0.538458;-1.401725;0.423434;0.283351;-0.706785;0.942034;0.416694;-1.358728;
0.002940;0.856211;0.546664;-1.402876;0.419396;0.287664;-0.707060;0.937194;0.424222;-1.361417;
