time;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;GEN_generator_delta;LOAD_load_PPu;LOAD_load_QPu;OMEGA_REF_setPoint_setPoint;NETWORK_BUS_Upu_value;
1.753376;0.977827;1.200000;0.199987;0.990592;-4.356079;1.200000;0.200000;1.000000;0.990592;
1.818912;0.976813;1.200000;0.199987;0.990593;-4.822975;1.200000;0.200000;1.000000;0.990593;
1.851680;0.976311;1.200000;0.199986;0.990593;-5.064235;1.200000;0.200000;1.000000;0.990593;
1.917216;0.975318;1.200000;0.199973;0.990595;-5.562126;1.200000;0.200000;1.000000;0.990595;
1.949984;0.974826;1.200000;0.199976;0.990594;-5.818731;1.200000;0.200000;1.000000;0.990594;
2.015520;0.973851;1.200000;0.199948;0.990600;-6.347013;1.200000;0.200000;1.000000;0.990600;
2.048288;0.973369;1.200000;0.199962;0.990596;-6.618665;1.200000;0.200000;1.000000;0.990596;
2.113824;0.972413;1.200000;0.199907;0.990606;-7.176748;1.200000;0.200000;1.000000;0.990606;
2.146592;0.971940;1.200000;0.199940;0.990598;-7.463154;1.200000;0.200000;1.000000;0.990598;
2.212128;0.971003;1.200000;0.199841;0.990617;-8.050456;1.200000;0.200000;1.000000;0.990617;
2.244896;0.970540;1.200000;0.199911;0.990602;-8.351328;1.200000;0.200000;1.000000;0.990602;
2.310432;0.969621;1.200000;0.199961;0.990598;-8.967281;1.200000;0.200000;1.000000;0.990598;
2.343200;0.969166;1.200000;0.199872;0.990606;-9.282339;1.200000;0.200000;1.000000;0.990606;
2.408736;0.968266;1.200000;0.199929;0.990604;-9.926385;1.200000;0.200000;1.000000;0.990604;
2.441504;0.967820;1.200000;0.199979;0.990595;-10.255351;1.200000;0.200000;1.000000;0.990595;
2.507040;0.966936;1.200000;0.199880;0.990613;-10.926943;1.200000;0.200000;1.000000;0.990613;
2.539808;0.966499;1.200000;0.199967;0.990597;-11.269547;1.200000;0.200000;1.000000;0.990597;
2.605344;0.965633;1.200000;0.199804;0.990626;-11.968149;1.200000;0.200000;1.000000;0.990626;
2.638112;0.965204;1.200000;0.199949;0.990600;-12.324126;1.200000;0.200000;1.000000;0.990600;
2.654496;0.964991;1.200000;0.199993;0.990592;-12.503772;1.200000;0.200000;1.000000;0.990592;
2.687264;0.964567;1.200000;0.199977;0.990594;-12.866344;1.200000;0.200000;1.000000;0.990594;
2.752800;0.963726;1.200000;0.199896;0.990611;-13.604493;1.200000;0.200000;1.000000;0.990611;
